"","c1_HuAgeGBsplitRnaseq_53....NSCbyNPC__"
"1","ABHD8"
"2","ACADS"
"3","ALAS1"
"4","ANO6"
"5","APEH"
"6","ARHGAP11A"
"7","ARHGEF39"
"8","ARL5B"
"9","ASF1B"
"10","ASPM"
"11","AUNIP"
"12","AURKA"
"13","AURKB"
"14","BARD1"
"15","BIRC5"
"16","BMS1"
"17","BRCA2"
"18","BUB1"
"19","C17orf53"
"20","CALHM2"
"21","CCDC18"
"22","CCNA2"
"23","CCNB1"
"24","CCNB2"
"25","CCNY"
"26","CDC20"
"27","CDC25C"
"28","CDCA2"
"29","CDCA5"
"30","CDCA8"
"31","CDK1"
"32","CDKN3"
"33","CENPA"
"34","CENPE"
"35","CENPF"
"36","CENPI"
"37","CENPW"
"38","CEP152"
"39","CEP55"
"40","CEP68"
"41","CGGBP1"
"42","CKAP2L"
"43","CLSPN"
"44","CYP27A1"
"45","DCLRE1C"
"46","DCP1A"
"47","DEPDC1"
"48","DEPDC1B"
"49","DLGAP5"
"50","DUSP7"
"51","E2F1"
"52","E2F2"
"53","E2F7"
"54","ECT2"
"55","ENO3"
"56","ESCO2"
"57","ESPL1"
"58","FANCB"
"59","FANCD2"
"60","FANCI"
"61","GAS2L3"
"62","GDI2"
"63","GMPPB"
"64","GNAI2"
"65","HAUS8"
"66","HJURP"
"67","HMGB2"
"68","HMMR"
"69","HNRNPF"
"70","HSPA14"
"71","IFRD2"
"72","IL13RA1"
"73","INCENP"
"74","IQGAP3"
"75","ITPRIPL1"
"76","JARID2"
"77","KBTBD8"
"78","KIF11"
"79","KIF14"
"80","KIF15"
"81","KIF18A"
"82","KIF20A"
"83","KIF20B"
"84","KIF24"
"85","KIF2C"
"86","KIF4A"
"87","KIFC1"
"88","KLHL18"
"89","KNL1"
"90","KNSTRN"
"91","LAMB2"
"92","LARP4B"
"93","MAD2L1"
"94","MAPKAPK3"
"95","MASTL"
"96","MCM10"
"97","MELK"
"98","MKI67"
"99","MLLT10"
"100","MON1A"
"101","MTFR2"
"102","MXD3"
"103","MYBL2"
"104","NCAPG"
"105","NCAPH"
"106","NCEH1"
"107","NDC80"
"108","NDE1"
"109","NEIL3"
"110","NEK2"
"111","NME6"
"112","NUDT5"
"113","NUF2"
"114","NUSAP1"
"115","OIP5"
"116","OTOR"
"117","PBK"
"118","PBRM1"
"119","PIF1"
"120","PIMREG"
"121","PITRM1"
"122","PLK1"
"123","PLK4"
"124","POC1A"
"125","POLA1"
"126","POLA2"
"127","POLE2"
"128","POLQ"
"129","PPP1R9B"
"130","PRKAR2A"
"131","PRR11"
"132","QRICH1"
"133","RACGAP1"
"134","RAD54L"
"135","REEP4"
"136","RFT1"
"137","RINL"
"138","RNF123"
"139","RRP9"
"140","RTKN2"
"141","SACM1L"
"142","SEPHS1"
"143","SETD2"
"144","SFMBT1"
"145","SHCBP1"
"146","SHISA5"
"147","SKA1"
"148","SKA3"
"149","SLFN5"
"150","SMARCC1"
"151","SPC24"
"152","SPC25"
"153","STIL"
"154","SUV39H2"
"155","TAF3"
"156","TOP2A"
"157","TPX2"
"158","TRAIP"
"159","TROAP"
"160","TTK"
"161","TWF2"
"162","UBE2C"
"163","UBE2T"
"164","UPF2"
"165","USP37"
"166","USP4"
"167","WDHD1"
"168","XRCC2"
"169","ZEB1"
"170","ZWILCH"
