"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Overlap_Number"
"27","H3K36me3 CD4+ CD25- Th Primary Cells","8/131",0.999933212043194,1,0,0,0.361781411671068,2.41634482185241e-05,"AKNA;MIR4689;SLC6A16;DQX1;PECAM1;ELMO3;OR10AD1;SEC31B",8
"28","H3K9me3 CD4 Memory Primary Cells","3/80",0.999942138282335,1,0,0,0.222156398104265,1.28547226864048e-05,"OR2L2;ZNF227;OR10AD1",3
"29","H3K36me3 Neurosphere Cultured Cells Cortex Derived","10/151",0.999943070596652,1,0,0,0.392329179875082,2.2335701911599e-05,"KDM6B;HYAL1;DQX1;KCNJ14;MRI1;GNB3;SPDYE5;DNASE1L2;AGER;ANAPC2",10
"30","H3K9me3 CD4+ CD25+ CD127- Treg Primary Cells","4/96",0.999969589907086,1,0,0,0.246840442338073,7.50655492443025e-06,"EPHA5;TFAP2A;FAAH;REG1A",4
"31","H3K36me3 Peripheral Blood Mononuclear Primary Cells","14/196",0.999978082931189,1,0,0,0.423155044008125,9.27441985187733e-06,"MAMDC4;CCDC17;ZNF383;MIR23A;DQX1;DENND4C;MIR27A;GDPD3;PRRC2B;TXNRD3NB;MIR24-2;MIR4689;MIR331;TAS2R5",14
"32","H3K9me3 Fetal Lung","2/74",0.999978681891718,1,0,0,0.160112719354426,3.41333667160845e-06,"RDH16;RIMBP2",2
"33","H3K36me3 Bone Marrow Derived Mesenchymal Stem Cell Cultured Cells","9/153",0.999983814551981,1,0,0,0.348480624477279,5.64036067913484e-06,"KDM6B;ZNF137P;DDAH2;DQX1;KCNJ14;GNB3;GP1BA;AGER;REC8",9
"34","H3K36me3 Duodenum Smooth Muscle","10/164",0.999985795667441,1,0,0,0.361229915616692,5.13106629363103e-06,"MIR30B;KDM6B;CCDC17;MIR24-2;MIR23A;CCDC125;DENND2A;MIR27A;AGER;R3HDM2",10
"35","H3K36me3 Pancreatic Islets","15/211",0.999986961844074,1,0,0,0.421149569865906,5.49104955683733e-06,"AOC2;DQX1;EVX2;NEAT1;OR10AD1;LRP2BP;GOLGA2P5;HOXA11;SPATA25;IQCK;LBX2;CLDN15;GNB3;ZNF404;BNIPL",15
"36","H3K9me3 Fetal Brain","5/115",0.999988117513826,1,0,0,0.257572635483206,3.06062146377848e-06,"ZNF658;RIMBP2;C2ORF16;SLC6A10P;FSIP2",5
"37","H3K9me3 Rectal Smooth Muscle","23/283",0.999989233406484,1,0,0,0.481469696715958,5.18381642091603e-06,"ACHE;LINC00461;FAAH;G6PD;AMN;ABCC8;IZUMO1;GAD1;TMEM59L;FZD9;C2ORF16;HOXC13;HOXD12;KLHL35;EVX2;FBLL1;C1QL4;HOXC10;NTN3;PDZD4;CLDN3;LONRF3;C3ORF35",23
"38","H3K4me3 Breast vHMEC","829/10027",0.999989248206039,1,0,0,0.489791307545457,5.26616353314881e-06,"C5ORF22;ZFYVE1;LIPA;ENDOV;ALKBH4;TMEM8B;FNBP4;MEF2A;HEMK1;PRKAB2;GABARAPL1;STARD9;DHDH;ZFYVE21;FRS3;SIGIRR;ISL2;SEPT7P2;TXNIP;LETMD1;HPD;SKAP2;ZNF277;EXD3;NYAP1;COL13A1;TTYH2;SHMT2;NPRL2;NPRL3;TEX22;SLCO5A1;PLA2G6;C12ORF66;LOH12CR2;CYB5R1;RNF216;RDH10;AFMID;MYO6;KCNMB4;HMGXB3;ZNF266;GSTM4;CTC1;MYH7B;ABCA2;NEBL;EDEM1;ABCA3;EIF2AK3;SPAG5-AS1;VANGL2;ZNF30;FXYD5;EZH1;LGMN;STAG3L1;ZNF496;LRSAM1;MTMR10;ZNF493;PIGZ;MRPL36;TMEM52;ARHGAP5;JPH1;MMP25;KIAA1147;HEY2;TCP11L2;RPL23AP82;CHST6;ARG2;ZNF483;LRRC46;GSTO2;NSUN5;METRN;RAB3IL1;EPS15L1;DUSP8;GMIP;HEXDC;PGM2L1;FAHD2B;GPRC5B;OAF;SLC29A4;VAMP1;HAP1;PPARA;RAPGEF3;ERGIC1;ZNF234;KANK2;ZNF471;IDUA;PELI2;ADAM22;SNX30;MRPL55;GGA1;BTAF1;GBX2;ZNF226;CEPT1;ZNF467;ZNF225;ZNF224;MEF2D;ZNF221;RIC3;ZNF461;LRRC23;ZNF460;SAMD4A;SNX24;WTIP;TARBP1;ST7-AS1;SPSB2;TTLL4;TTLL3;ZNF74;ZNF219;RPL23AP53;YPEL3;YPEL2;ZNF211;PECR;TMEM167B;ZBTB25;RASL11A;C11ORF71;MUM1;MSI1;RORB;ATP12A;FRY;LEPR;FBRSL1;ZNF444;SH2D5;MAP3K4;KCNH3;ZNF680;FBXW8;CISH;FBXW7;ATP11A;NEAT1;FBXO10;POLRMT;SRCIN1;STON1-GTF2A1L;TPST2;CDKL1;OSBP2;ANAPC2;MAX;NTPCR;NPAS1;LIN7B;SPATA6;FOXO1;SPATA7;C1ORF228;CNTNAP3B;ZKSCAN3;BMF;ZNF667;ZNF425;FUK;ZKSCAN1;MYPOP;TMEM120A;RABL2A;BCDIN3D;LRCH1;NOXA1;ZNF658;HPSE;LRCH4;ITGB4;POMT1;AKAP8L;NRARP;ATP7B;BOC;MIR4665;CEP290;NKX3-2;CERS4;EMX1;ACTR5;VPS13D;VPS37D;FOXL2;RABGGTA;PPM1B;NPC1;RRM2B;BMP2K;SLC25A4;TRIM56;ZBTB47;GTPBP10;U2AF1;FOXK1;PPM1K;SLC25A27;SLC25A29;RP9P;SH3BP1;DRAM2;SLC25A23;ZNF862;E2F7;TRIM45;MBOAT1;BAIAP2;MERTK;SYT17;TTC39B;DBNDD1;TSPAN15;ZNF610;AHCYL2;CPNE5;FOXI3;ECI2;CCT6P3;IKZF5;HERC5;LGALS3;C7ORF31;ATXN7L1;ATXN7L2;BSN;CCDC93;SCN1B;ST6GAL1;ECH1;RSAD1;PAQR3;KCNK15;THAP2;PPP1R3F;CDC34;SNHG10;NINJ1;CCNO;NUMBL;TMEM63A;GIPR;ZBTB1;LPAR2;C7ORF57;TTBK2;SYNGR1;SEC14L1;PGBD4;ZNF703;ZNF701;RAB11FIP3;B4GALNT4;APOBEC3C;BBS2;PPP1R26;STAT5B;TMEM86A;FOXF2;MICAL3;ACER2;WNK1;MYO5B;RANBP10;FBXL2;IGSF9B;CD24;GLIPR1L2;RGL2;HERPUD2;USPL1;ICA1;N4BP2L1;PCSK4;EDA2R;REV3L;CTSF;MCF2L2;ACADS;AASS;GAA;PRPF40B;GAB2;RNF144A;GAK;GAN;CNKSR3;FAM193B;GLCCI1;STK40;KIAA1324L;HSD17B7;STX11;CAMKK1;ZFP14;CREG2;PLEKHA2;GAD1;C7ORF26;MIB2;KAZALD1;TFAP4;SGSM2;ENGASE;SCARB1;CRTC1;NPPC;ZNF83;CAPN7;KIF5A;ENPP5;PPFIA3;G6PD;SLC30A3;TTC7B;LMTK3;COX6B2;RUNDC3A;FAM173A;INO80B-WBP1;GEMIN8;SIDT2;COX19;NXPH4;PLD1;NDRG2;HOXB13;PLD3;NME1-NME2;HCAR1;GRK4;PACSIN2;TBC1D14;KIF3C;TBC1D15;MFAP3L;SUGT1P1;ARHGEF37;TFAP2E;DENND4A;CCDC136;CCZ1;ISG15;KLHL24;AP4B1;IFT27;GALK1;MAST3;ARHGEF10L;SOBP;USE1;PITPNC1;TMEM221;ZIC2;BCL7A;GATAD1;PLA2G4C;TBC1D8;SHROOM3;TBC1D9;VTRNA1-1;PEX1;NDUFS7;ACOX1;VTRNA1-3;RBM20;ATG4B;IRF5;GNB1L;RBM24;BLVRA;DDX24;SFSWAP;ANKS3;ASAP3;AGPAT2;BSN-AS2;PDLIM3;CBS;CLMN;C19ORF73;KTN1-AS1;CYTH1;EYA1;TAF11;SDHAP1;ACVR2B;MAPK13;IRGQ;EEPD1;MAPK11;FAM131C;FAM131A;FAM98C;CYFIP2;SERPINE2;WDR83;FAM86FP;CHKB-CPT1B;SLC4A4;FGFRL1;GJA3;AP1S2;FDXR;DIP2A;RPL37;DIP2C;CHGB;CDK5RAP2;ACOT7;DAPK1;DNAAF1;ZNF160;C9ORF66;ATG14;SYTL2;BCAM;DAAM1;TEP1;ZSCAN21;PRKCQ;PPIEL;ZNF155;POM121;CTBP1;PRKRIP1;PRDM15;TPTE2P1;RNPC3;C9ORF72;FAM149A;XKRX;POM121C;ST3GAL5;RPL23AP7;JUND;CHKB;NSUN5P2;HOMER1;CHKA;ZNF382;FZD4;FZD9;MTHFR;C14ORF178;GPR137B;POU6F1;SLC6A8;WDR60;CYP1A1;ATG2A;GTF2IRD1;HBP1;ATG2B;SETD5;RARG;BTG1;PRSS27;PYGL;PHF7;LYST;TRIM9;ING5;FAM102A;ADAMTSL5;RBPMS2;RNF150;CIC;TEAD3;BATF2;CNTD1;BATF3;TIGD5;KIAA1024;ARHGAP5-AS1;ITPKB;KAT2A;EXOC3;ZNF358;GAS5;ASAH1;RPL12;GPR153;TMEM169;UBN2;TP53TG1;SLC17A5;GPR155;ORAOV1;HSPA1L;NR1H3;NMNAT3;C1ORF21;SULF1;DHRS1;FAM213A;DEF8;GNMT;XAB2;LPCAT4;AGBL2;ZNF337;C16ORF86;PLCD1;ZNF333;RAB3B;ZNF330;GHDC;RAB3A;CLSTN3;IRS2;CLU;WASH2P;TM7SF2;FGF9;GRB14;SLC26A11;ZNF561;PPTC7;RALGAPA1;ANKRD44;RPS6;TTC21A;MITF;SYPL2;LEMD2;MIR100HG;TLE6;PGF;ENKUR;TOM1L2;CLIP2;CLIP1;DGKQ;TSSK6;ZNF555;ZNF554;RTN4R;NOTCH3;ZNF790;ANKRD16;ITPR1;MRI1;ABHD6;C1ORF52;KLC1;RHOBTB1;PHF21B;KLC4;SAFB2;ANKRD10;DVL3;ZNF546;SRGAP1;MAP2K5;ZNF783;ZNF540;SLC37A2;ANKRD24;TNK2;TRAPPC5;TNK1;MAFA;MARCH2;MAP3K10;LHX6;SPIRE1;NACAD;REEP6;ZNF774;DDX11L2;SERINC5;MAP3K12;RNF187;LMBR1L;CALCOCO1;CBWD5;CBWD1;DUSP16;RPL7A;AP1G2;ZNF529;EFHD1;ZNF766;PGPEP1;TPRN;CDADC1;COBL;NOA1;CATSPERG;RP9;HDAC5;RNF32;NFAT5;PLEKHH2;CEBPD;PLAG1;GLS2;WBP2;CDNF;CEBPG;NOD1;HDAC9;HDAC7;STOX2;KIAA0355;RAB26;RAB24;ZNF746;RNF39;RPL32P3;BCO2;PLEKHH1;WASF3;KCNJ11;TXNRD3;NCKAP5L;TPCN1;P2RX7;RAD52;NFASC;P2RX4;PSAT1;IMPDH1;MGAT4A;BET1;CCDC62;FAAH;IFITM2;FAM89A;HDAC11;DDX60L;RAPGEFL1;RPS15;GOLGA3;GOLGA4;ZNF608;HABP4;DPF3;ZNF843;CHAC1;IL15RA;ACSL1;MTUS1;MIF4GD;SRRM1;MAPK8IP1;KATNAL1;NEIL1;ANKRA2;HRASLS;SLC22A4;BEX4;BEX2;HKR1;APCDD1;LIAS;INPP5J;DPH5;FAM43B;RALGDS;ATP6V0A1;SETDB2;SNHG8;NARFL;OCEL1;HOTTIP;STAG3;SESTD1;CCDC88C;DCP1B;ZNRF2P2;SLC44A1;CAB39L;ANKRD9;ZNF808;ZNF805;AUH;GLIPR2;RALGPS2;PARP6;MANBA;CAMLG;BTN3A1;TUBG2;TEKT4P2;PACS2;B3GNT7;B3GNT4;RHOJ;FAM181B;MAPT;MRRF;RHOQ;TLR2;DNASE1L1;AMIGO1;RFNG;ARNTL;KIAA0513;DUOX1;FAM184B;PDPN;SPTSSB;APBB3;CA12;FAM46B;FAM46C;RSG1;VAX2;GSTA4;MARS;C21ORF2;SERHL2;APBA3;CDK5R1;STEAP3;ROGDI;CIB2;HOXA13;TMEM143;HOXA11;TMEM38A;PSPH;NANOS1;ARID5A;TSC2;RSBN1;ALDH3A2;TMEM134;MAU2;RGS9BP;FAM185A;RELL2;LRIF1;STEAP2;ISCU;PMEL;ZCCHC6;C17ORF97;CTTNBP2;DTX2;LTBP3;DTX3;FBLN5;ARHGAP20;EFNB3;ZMAT3;TMEM129;C14ORF28;GAS2L1;MARK4;KLHDC2;CBX7;ACBD4;RHBDD2;HSPA2;TDRD3;ARHGAP32;EFNA3;DLG4;CAPRIN2;CRYL1;LRP10;DOCK6;ABCD4;USP36;SOWAHB;SLC40A1;SLC2A4;HAPLN3;PKD1;DBP;SIX2;CYP4V2;PDE4A;MAN2C1;RBM5;ABCC5;RHBDF2;AXIN1;IQCD;AXIN2;KLF15;FCHSD1;CETN4P;DNLZ;HAGH;FAN1;UBE2Q2P1;ETFDH;OPRL1;THBS3;DLL4;RASD2;ERBB3;FAM120B;S1PR1;LRIG2;SASH1;HES4;TCF7L1;USP20;LIMK1;ARID3A;ARID3C;MEIS3;SLC4A8;MEIS1;PIK3IP1;RGS10;BAX;TBKBP1;LPIN3;FSIP2",829
