"","DEG_edgeRnames","DEG_Limmanames","DEG_Simplenames"
"DEG_edgeRnames",0,1.44681161671239e-17,1.59093402941309e-168
"DEG_Limmanames",1.44681161671238e-17,0,1
"DEG_Simplenames",1.59093402941313e-168,1,5.97494665330866e-218
