"","logFC","logCPM","LR","PValue","adj.P.Val","Contrast","FC"
"mt-Nd4",-0.0627626659967828,13.1686166954532,0.0346794898965754,0.852268868645417,0.951309700969347,"NSCbyNPC",0.957428949383244
"Pcsk7",0.0807803073100021,3.20912027627776,0.0346415715348836,0.852348726126,0.951309700969347,"NSCbyNPC",1.05758990223296
"C2cd2l",-0.107151631526465,2.42210921024245,0.0346018564481207,0.852432416075907,0.951309700969347,"NSCbyNPC",0.928419267560763
"Taf10",0.0835360691536792,3.36800497553473,0.0346005664605409,0.852435135246061,0.951309700969347,"NSCbyNPC",1.05961198667959
"Sox18",0.177741344308896,1.82892722894347,0.0345504821610589,0.85254074872089,0.951351462598396,"NSCbyNPC",1.13111165165848
"Derl2",-0.0535774785914514,6.1371261282409,0.0345073397022819,0.852631787344325,0.951376954750114,"NSCbyNPC",0.963544045386384
"Scfd1",-0.0760170521904126,3.24584531353655,0.0344508639118004,0.852751050805166,0.951433933923774,"NSCbyNPC",0.948673102063871
"Gm44257",-0.229348751458574,1.26137895988987,0.0344001570696442,0.852858217802323,0.95146329467776,"NSCbyNPC",0.853019867498726
"Sema6a",-0.113470868207459,2.18160773315649,0.0343738887704803,0.852913766987317,0.95146329467776,"NSCbyNPC",0.924361534859988
"Carns1",-0.106557870936583,2.65019626788505,0.0343309446127229,0.853004627670308,0.951488571250377,"NSCbyNPC",0.928801449665013
"Zkscan14",0.0746853488633694,4.19243878023062,0.0342710055718349,0.853131544233256,0.951531629564152,"NSCbyNPC",1.05313132343979
"Zfp277",-0.096200943311244,2.49001650331798,0.0341909717589298,0.85330118911578,0.951531629564152,"NSCbyNPC",0.935493190187806
"Esyt1",0.100154715136897,2.56379963262029,0.0341751529127992,0.853334744068354,0.951531629564152,"NSCbyNPC",1.07188840607243
"Map3k3",0.0980285686961779,2.52355525887074,0.0341532132662032,0.853381295765718,0.951531629564152,"NSCbyNPC",1.07030989282636
"Mrps25",-0.0530018624559862,5.56694490928224,0.0341518185793124,0.853384255544884,0.951531629564152,"NSCbyNPC",0.963928563350366
"Zfp180",0.0808735474912148,3.29146603479991,0.0341023337691153,0.853489311787135,0.951572715475291,"NSCbyNPC",1.05765825559798
"Gm13226",-0.11331516068273,2.27977584605126,0.0339134836167689,0.85389096675878,0.951944452393458,"NSCbyNPC",0.924461304949858
"Supt7l",-0.061587013320251,4.23904232741871,0.0338087488737759,0.854114219852933,0.952117257784121,"NSCbyNPC",0.958209476540489
"Adck5",0.068992765882684,3.70937824955337,0.0337269226145946,0.854288889981061,0.952125421609514,"NSCbyNPC",1.04898406763253
"Kcnk13",-0.175591375881546,1.52492626060666,0.0336495107914858,0.854454338590108,0.952125421609514,"NSCbyNPC",0.885404508079729
"Setbp1",0.099752473311735,2.41222107229689,0.0336468849661391,0.854459954089494,0.952125421609514,"NSCbyNPC",1.07158959153716
"Dnajc27",0.0957725524449295,2.49847322023582,0.033640476375389,0.854473660231319,0.952125421609514,"NSCbyNPC",1.06863750227817
"Fam3a",-0.0531212236835303,5.59043089409269,0.033619787137197,0.85451791780448,0.952125421609514,"NSCbyNPC",0.963848816117655
"Supv3l1",0.118158304155713,2.09087599287906,0.0336023029098791,0.854555330324335,0.952125421609514,"NSCbyNPC",1.08534845854973
"Gatm",-0.0640267644513785,7.08745169641231,0.0334945459590443,0.854786129626092,0.952125421609514,"NSCbyNPC",0.956590411545085
"Kdelr1",0.066487301521853,4.7311172873149,0.0334887208221879,0.854798617123736,0.952125421609514,"NSCbyNPC",1.04716392455979
"Ptch2",0.15575421126737,1.67025591206854,0.033486860404556,0.854802605585965,0.952125421609514,"NSCbyNPC",1.11400384430391
"Rpl36a-ps3",0.115707042982375,2.2077767079824,0.0334861999072427,0.854804021622763,0.952125421609514,"NSCbyNPC",1.08350592526585
"Nhlrc2",0.110546248533813,2.20364241632677,0.0334353133652683,0.854913160441132,0.952157205012292,"NSCbyNPC",1.07963694274218
"Sox2ot",0.167521832293964,1.57647567541503,0.0333964577063646,0.854996553846373,0.952157205012292,"NSCbyNPC",1.12312759125577
"Olfr344",0.199548184337541,1.37940617167686,0.0333455862745602,0.855105811754305,0.952157205012292,"NSCbyNPC",1.14833866799932
"Med6",-0.0647372505024272,3.8775355450724,0.0333275258792614,0.855144621251354,0.952157205012292,"NSCbyNPC",0.956119434103887
"A930024N18Rik",0.136103223752879,1.97776402043548,0.0332837679397233,0.855238696589391,0.952157205012292,"NSCbyNPC",1.09893284258835
"Podnl1",-0.237941683385771,1.21155701625097,0.0331736711820092,0.855475676984709,0.952157205012292,"NSCbyNPC",0.847954239943921
"Pum3",0.0600646716348785,4.40848819157554,0.0331253626282173,0.85557978812509,0.952157205012292,"NSCbyNPC",1.04251249246093
"Gm14662",0.0935777808814137,2.62316739878236,0.0331007858037982,0.855632784440522,0.952157205012292,"NSCbyNPC",1.06701302031915
