"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Overlap_Number"
"42","osteoclasts","1/110",0.813304187616615,1,0,0,0.602046959662854,0.124413055329735,"TRAF6",1
"43","epidermis","4/373",0.817600973661768,1,0,0,0.710189443033929,0.143018566948145,"TRAF6;ANO9;BBOX1;LRP4",4
"44","T-cells_foxP3+","1/112",0.818930633465556,1,0,0,0.591296121097446,0.118114886080465,"TOX",1
"45","B-cells_GL7_positive_KLH","2/207",0.822573828888682,1,0,0,0.639856672105448,0.124974910454715,"DNHD1;ARNTL",2
"46","umbilical_cord","2/208",0.824630662312081,1,0,0,0.636780438104941,0.122783797079052,"LRCH2;PRDM11",2
"47","hypothalamus","3/296",0.827206241150082,1,0,0,0.67120100232683,0.12732765595073,"TUB;CHL1;ARHGAP36",3
"48","B-cells_GL7_negative_KLH","2/212",0.832645827243477,1,0,0,0.624765712857678,0.114423906414847,"PSMA1;NUP160",2
"49","liver","11/928",0.83342548362605,1,0,0,0.784996574560402,0.143034997153943,"PEX16;DEPDC7;CYP2R1;CAT;RDH16;MRPL17;NR1H3;BBOX1;PROX1;ELP4;NAV2",11
"50","MEF","3/300",0.833988332691951,1,0,0,0.662251655629139,0.120222428012743,"TMEM41B;PIK3C2A;TEAD1",3
"51","osteoblast_day14","3/301",0.835647790635754,1,0,0,0.660051484015753,0.118510961961972,"TOX;CHRDL1;BET1L",3
"52","retinal_pigment_epithelium","5/473",0.844839362315837,1,0,0,0.700054604259132,0.118035348182809,"ABTB2;RIC3;TMEM41B;SMPD1;LGR4",5
"53","retina","7/664",0.877603739101141,1,0,0,0.698156865874092,0.0911514368090911,"RIC3;MADD;FAR1;AP2A2;SBF2;DRD4;FANCF",7
"54","pancreas","7/667",0.880378637649811,1,0,0,0.695016730045573,0.088547351286306,"CHID1;EHF;GABBR1;STC2;APIP;SH3BGR;NUCB2",7
"55","uterus","1/141",0.883856473452512,1,0,0,0.469682025268893,0.0579872198930057,"DCHS1",1
