,logFC,logCPM,LR,PValue,adj.P.Val,Contrast,FC
RF01225,9.876067517,5.931505197,7.295289442,0.006913563,0.999991211,QNPbyTAP,939.707216
Nog,9.325855736,7.458260632,7.668596867,0.005619014,0.999991211,QNPbyTAP,641.7447311
Ngfr,9.158590912,7.357127256,7.587556266,0.005877256,0.999991211,QNPbyTAP,571.4925622
Bloc1s3,9.067507761,5.157150519,6.807221426,0.009078993,0.999991211,QNPbyTAP,536.5272963
NEWGENE_1307313,8.858065818,5.547834906,7.157334668,0.007465805,0.999991211,QNPbyTAP,464.0272817
Sparc,8.821345242,10.06941184,6.243285046,0.012466503,0.999991211,QNPbyTAP,452.3655462
Sox9,8.608687015,6.643343548,7.000964646,0.00814658,0.999991211,QNPbyTAP,390.366926
Anxa1,8.549890923,6.562903912,7.066931879,0.00785196,0.999991211,QNPbyTAP,374.7776014
Nptx1,8.545926037,5.39367494,7.044682304,0.007950092,0.999991211,QNPbyTAP,373.749033
Hrc,8.048562248,5.715185122,6.146058865,0.013170528,0.999991211,QNPbyTAP,264.7638323
Tnfrsf12a,7.713842318,7.854710292,5.626900061,0.017686883,0.999991211,QNPbyTAP,209.9413181
Mir497,7.685872944,3.896788069,5.685248712,0.017108114,0.999991211,QNPbyTAP,205.9104079
Lmo1,7.593516206,5.786449802,5.655033525,0.017405342,0.999991211,QNPbyTAP,193.1417448
Arl4d,7.525898991,5.669603153,5.723767639,0.016736779,0.999991211,QNPbyTAP,184.2983048
Eid2b,7.410814684,4.94981586,5.595011706,0.018011691,0.999991211,QNPbyTAP,170.1678502
Mir6326,7.391969309,3.644928347,5.403939039,0.020091357,0.999991211,QNPbyTAP,167.9594675
Plekhg2,7.330479206,6.559414252,5.437727005,0.019706298,0.999991211,QNPbyTAP,160.9511646
Ahnak,7.292369983,9.051757682,5.341166381,0.020827533,0.999991211,QNPbyTAP,156.7552534
LOC103689931,7.239265569,4.723187435,5.434350808,0.019744429,0.999991211,QNPbyTAP,151.0901259
Zfp36,7.14950148,6.900591738,5.146483761,0.023293496,0.999991211,QNPbyTAP,141.9758245
AC103090.1,7.125555518,8.006075366,4.903216208,0.026806725,0.999991211,QNPbyTAP,139.6387481
Acan,7.080697003,4.800731062,5.670822283,0.017249369,0.999991211,QNPbyTAP,135.363691
AC109096.1,7.070623543,6.486231026,5.299942806,0.021326125,0.999991211,QNPbyTAP,134.421821
Cd151,7.004754711,4.15576355,4.99962385,0.025352828,0.999991211,QNPbyTAP,128.4225474
Sez6,6.962102273,6.063760051,5.433299966,0.019756312,0.999991211,QNPbyTAP,124.6813847
Ppp1r15a,6.889322128,8.561983724,4.325239471,0.03755113,0.999991211,QNPbyTAP,118.5475575
Furin,6.847711054,5.902601415,5.016928016,0.025100663,0.999991211,QNPbyTAP,115.1771768
LOC100911730,6.840548109,4.535023562,5.038067988,0.02479613,0.999991211,QNPbyTAP,114.6067423
Ntf4,6.711025502,3.370185928,4.52730852,0.033358042,0.999991211,QNPbyTAP,104.7659072
AABR07003030.1,6.610990172,3.016968112,4.456061715,0.034777591,0.999991211,QNPbyTAP,97.74765398
Tax1bp3,6.584776594,7.354239849,4.426805739,0.03537866,0.999991211,QNPbyTAP,95.98763019
Gfap,6.581945551,4.415769392,5.087265518,0.024102167,0.999991211,QNPbyTAP,95.79945553
Slc25a10,6.56647857,7.26428117,4.381554375,0.036329853,0.999991211,QNPbyTAP,94.77788551
Ifitm2,6.535355519,7.261079182,4.436530312,0.03517767,0.999991211,QNPbyTAP,92.75515244
Fzd4,6.519963168,5.909059059,4.78447605,0.028717383,0.999991211,QNPbyTAP,91.77079296
Ypel3,6.515645459,6.132978714,4.488154635,0.034130501,0.999991211,QNPbyTAP,91.49655114
Borcs6,6.495332075,5.436027198,4.592371144,0.032114557,0.999991211,QNPbyTAP,90.21729188
Plekhh3,6.484378941,5.778945441,4.626808338,0.031476065,0.999991211,QNPbyTAP,89.53494363
Emp3,6.427751074,8.803772345,4.576344731,0.032416294,0.999991211,QNPbyTAP,86.08864614
Paqr4,6.419746651,3.5511437,4.222375754,0.039894265,0.999991211,QNPbyTAP,85.61232797
Kazald1,6.411418571,7.16920487,4.331629018,0.037410426,0.999991211,QNPbyTAP,85.11954719
Nr1d1,6.403728779,7.327532009,4.253641503,0.039166262,0.999991211,QNPbyTAP,84.66705358
Cend1,6.364952514,4.700889224,4.523253516,0.033437187,0.999991211,QNPbyTAP,82.42171135
Zbtb4,6.345304814,7.093451329,4.210510754,0.040174239,0.999991211,QNPbyTAP,81.30683967
Mvp,6.336500819,4.580789385,4.574430092,0.032452539,0.999991211,QNPbyTAP,80.81217841
Fosb,6.315533761,4.889438886,4.507018166,0.033756039,0.999991211,QNPbyTAP,79.64620747
Irgq,6.307695699,5.333362605,4.39557994,0.036032203,0.999991211,QNPbyTAP,79.21466845
Pold4,6.301097688,6.210636434,4.368760544,0.036603607,0.999991211,QNPbyTAP,78.85321582
Nkiras2,6.279280144,6.124803403,4.294100101,0.038244831,0.999991211,QNPbyTAP,77.66970839
Ppp2r5b,6.276013928,6.17721036,4.370740844,0.036561093,0.999991211,QNPbyTAP,77.49406552
Ctsd,6.263048869,8.220166639,4.400023431,0.035938437,0.999991211,QNPbyTAP,76.80076992
Prss23,6.253490158,6.913232548,4.542679956,0.033059795,0.999991211,QNPbyTAP,76.29360123
Cebpa,6.231472964,6.185217327,4.348507235,0.0370414,0.999991211,QNPbyTAP,75.13811217
RGD1561590,6.227518498,4.378557253,4.562064472,0.032687648,0.999991211,QNPbyTAP,74.9324386
LOC100910875,6.218017353,5.094958397,4.469396543,0.034507177,0.999991211,QNPbyTAP,74.44057804
Mrpl43,6.214345108,8.38694537,3.741312491,0.053082733,0.999991211,QNPbyTAP,74.25133745
Atp1b2,6.206540503,6.524297977,4.125208696,0.042248809,0.999991211,QNPbyTAP,73.8507416
Vstm2b,6.187604501,4.670042141,4.408631801,0.035757509,0.999991211,QNPbyTAP,72.88775205
Rcn3,6.171751969,6.88016019,4.103297977,0.04279965,0.999991211,QNPbyTAP,72.09123549
Sphk2,6.129615029,6.695520437,4.149555943,0.041645444,0.999991211,QNPbyTAP,70.0161112
Tgfb1,6.126450445,4.527121089,4.458745864,0.034722982,0.999991211,QNPbyTAP,69.86269757
Clec11a,6.125586822,5.036933069,4.625507839,0.031499935,0.999991211,QNPbyTAP,69.82088902
Slc9a3r2,6.105592998,4.435464289,4.386964425,0.036214737,0.999991211,QNPbyTAP,68.85993899
AABR07005633.1,6.104325216,6.010114472,4.106869462,0.042709349,0.999991211,QNPbyTAP,68.79945426
Trim47,6.101159324,4.648603403,4.622959646,0.031546761,0.999991211,QNPbyTAP,68.64864428
Smpd1,6.100102323,8.292801056,3.702278354,0.054338222,0.999991211,QNPbyTAP,68.59836677
