"","QNP_SRR3486449","QNP_SRR3486450","TAP_SRR3486455","TAP_SRR3486456"
"","Min.   : 0.000  ","Min.   : 0.0000  ","Min.   : 0.000  ","Min.   : 0.000  "
"","1st Qu.: 1.487  ","1st Qu.: 0.0000  ","1st Qu.: 1.785  ","1st Qu.: 1.038  "
"","Median : 2.246  ","Median : 0.0000  ","Median : 2.575  ","Median : 2.472  "
"","Mean   : 2.549  ","Mean   : 0.4465  ","Mean   : 2.867  ","Mean   : 2.959  "
"","3rd Qu.: 3.255  ","3rd Qu.: 0.0000  ","3rd Qu.: 3.566  ","3rd Qu.: 4.316  "
"","Max.   :17.221  ","Max.   :13.3851  ","Max.   :18.023  ","Max.   :16.439  "
