"","QNP_SRR3486449","QNP_SRR3486450","TAP_SRR3486455","TAP_SRR3486456"
"","Min.   : 0.000  ","Min.   : 0.0000  ","Min.   : 0.000  ","Min.   : 0.000  "
"","1st Qu.: 1.602  ","1st Qu.: 0.0000  ","1st Qu.: 1.868  ","1st Qu.: 1.553  "
"","Median : 2.464  ","Median : 0.0000  ","Median : 2.703  ","Median : 2.772  "
"","Mean   : 2.773  ","Mean   : 0.4543  ","Mean   : 3.001  ","Mean   : 3.297  "
"","3rd Qu.: 3.549  ","3rd Qu.: 0.0000  ","3rd Qu.: 3.734  ","3rd Qu.: 4.483  "
"","Max.   :17.643  ","Max.   :13.3851  ","Max.   :18.023  ","Max.   :16.439  "
