"","QNP_SRR3486449","QNP_SRR3486450","TAP_SRR3486455","TAP_SRR3486456"
"1700020N01Rik",0.333226896521786,1.69823616329215,0.479223464616226,3.39210365930438
"AA926063",1.33384857034129,0,1.44172377113462,5.67941627399447
"AABR07000147.1",0.077317622012068,1.62607857424962,0.299601992382036,2.64504443111797
"AABR07000156.1",1.72263189697449,0,3.22429489102338,5.12024471751798
"AABR07000158.1",0.574208219713342,1.21630945911074,0.751162089011657,4.04914846624377
"AABR07000173.1",0.11061002054304,1.8435063915733,0.553543253861582,2.82475611109906
"AABR07000200.1",0.296249835416263,1.24812900451926,0.309067251151669,2.8513396920314
"AABR07000382.1",0.507016657546266,2.47517649743466,0.633840772806,6.34682439831854
"AABR07000385.2",0.224142814077743,2.78989111534599,0.338275940605515,4.48492069612245
"AABR07000398.1",6.4343525969933,0,7.8285568028471,0
"AABR07000433.1",0.206204434607319,1.80566041565074,0.568621980559497,2.22236691544155
"AABR07000452.1",0.116166194154868,1.288183621222,0.277330353298823,2.51302269028996
"AABR07000484.1",0.0826772187470818,1.61026098191434,0.349093515011912,2.54243007450441
"AABR07000493.1",0.12118822220924,1.94371538834884,0.604491941538895,2.7173001293447
"AABR07000740.2",1.01460390187126,0,1.25175381548448,4.10707082141972
"AABR07000747.1",1.92825938873196,0,2.61976130429518,0
"AABR07000765.2",0.119381987052746,1.92703905778002,0.625270422586966,5.65558939614959
"AABR07000978.1",0,3.31168722727784,0.656375655125831,5.74066003059967
"AABR07000989.1",1.89840730684659,8.06007371920775,3.49735272039396,10.510992644258
"AABR07001099.1",1.54082571615294,0,1.83451480626863,5.59030452347614
"AABR07001099.2",2.84402786910005,0,2.95250727550029,3.49689189747181
"AABR07001348.1",0.298001308431083,2.72040335924029,0.566512853265977,4.51732875096686
"AABR07001358.1",0.190435084679877,1.33806105363882,0.445209657207432,2.80453352145147
"AABR07001382.1",1.63320457338617,4.42352822351659,1.07354811796874,6.97339756365794
"AABR07001435.1",6.17149124643215,5.87602798551425,6.45542261965,12.5762942891073
"AABR07001444.1",0.797158168022022,3.12553038363013,0.933892148239886,6.24830947034018
"AABR07001452.1",0,0,1.597427361519,5.96594840660222
"AABR07001493.1",0.220238090363749,1.83078111552289,0.502250830331473,4.39480335465741
"AABR07001497.1",0.252663990836585,1.82533544641799,0.559893814130717,2.93427814937665
"AABR07001512.1",3.73204385097856,6.25789160797991,4.98323441211199,9.57329918336758
"AABR07001519.1",0.393001638025946,1.97351180438653,0.734633393500341,4.72456751555711
"AABR07001573.1",0.178774289269338,1.54103003536525,0.213258658926641,3.9293061686617
"AABR07001592.2",0.311271292321714,2.83238146428837,0.983011934964961,5.92982718637524
"AABR07001599.1",1.39216339316388,4.03521934716576,2.22941983467709,6.70584096516226
"AABR07001610.1",0.167154443333771,1.49048213572237,0.344226759616161,4.735134102846
"AABR07001634.1",1.02095333827261,3.36296839474538,1.35511691677472,7.04434144854342
"AABR07001662.1",2.38846964639431,5.75645064638568,2.95228060031443,8.57358845592452
"AABR07001700.1",0.430444917965615,1.77150150909382,0.736511400080204,5.28530257835214
"AABR07001734.1",2.13629240179496,5.40630504910687,2.71646001332187,7.49672085726542
"AABR07001799.1",0.206883049581306,1.0889006300178,0.384080887595487,1.83821590565304
"AABR07001807.1",2.19025608517398,1.66183130259972,2.25401906427362,4.32737818807127
"AABR07001896.1",2.33693258658522,6.24976290276515,2.71437154315285,8.15123330654693
"AABR07001905.2",0.61851066271783,3.52680580367097,1.21954780617921,6.25357785608914
"AABR07001910.1",1.34146200309933,4.25727145809285,1.21132080521231,6.55742223779183
"AABR07001923.1",4.73349619920534,8.06435776820911,4.49889614732999,10.580016818123
"AABR07001926.1",0.159134936879984,2.74050352205952,0.983887974538601,5.50862323051386
"AABR07001926.2",0.203160849309945,1.32862379340219,0.584813038953459,4.53646106434925
"AABR07001926.3",3.77896762373621,7.51646843656707,4.22246626962896,10.5169460253674
"AABR07001929.1",0.610075217786358,2.42673053642642,0.651998035815683,5.50015855232156
"AABR07001942.1",0.263737094622272,1.22753171751568,0.525070682736033,4.33245717759064
"AABR07002247.1",1.49433581194971,5.70220242222907,1.78100501202717,7.89812958420437
"AABR07002258.1",0.164048492634253,1.64803533071255,0.401933448212827,4.14732598545982
"AABR07002337.1",0.286331682924329,1.82670292331188,0.421861945833757,5.28241496940024
"AABR07002351.2",1.0867240369034,2.33830998190599,0.93823078160231,4.63461011629543
"AABR07002564.1",4.24873489923648,8.03463515392671,5.30111489906964,7.94601034398048
"AABR07002674.1",1.68977304053775,5.75960791988624,2.53689458771481,7.82007824653111
"AABR07002898.1",0.215043299818282,1.85242121261232,0.668691685184927,5.55548532083602
"AABR07003235.1",0.390974617453374,1.59578007402539,0.798659563907278,2.31083082299554
"AABR07004812.2",4.57619165230689,3.15363787859685,3.9799928886504,6.55200329229189
"AABR07005569.1",3.221455905937,3.69326539631109,3.72169645934567,6.15249501751219
"AABR07005581.1",1.23948461537555,1.388378841125,1.23694358521606,3.77354041168692
"AABR07006333.1",5.40775766979269,0,6.87357045713414,9.38746360240112
"AABR07007385.1",6.00920182752902,0,6.22295457427735,8.49411085833041
"AABR07007997.1",5.01356234795145,4.92590545962111,5.15374132794409,6.28127290456781
"AABR07008293.3",2.54674860533384,1.96857254612132,2.25095796362564,6.11869917850927
"AABR07008420.1",1.71250717185327,0,2.80052464594322,0
"AABR07008439.1",1.15187375752265,0,0.765891687678115,2.21574008731403
"AABR07008608.1",2.13308851260938,0,1.74440549240109,3.79126264872892
