"","QNP_SRR3486449","QNP_SRR3486450","TAP_SRR3486455","TAP_SRR3486456"
"","Min.   : 0.000  ","Min.   : 0.0000  ","Min.   : 0.000  ","Min.   : 0.000  "
"","1st Qu.: 1.491  ","1st Qu.: 0.0000  ","1st Qu.: 1.791  ","1st Qu.: 1.074  "
"","Median : 2.254  ","Median : 0.0000  ","Median : 2.586  ","Median : 2.502  "
"","Mean   : 2.556  ","Mean   : 0.4495  ","Mean   : 2.875  ","Mean   : 2.983  "
"","3rd Qu.: 3.265  ","3rd Qu.: 0.0000  ","3rd Qu.: 3.576  ","3rd Qu.: 4.327  "
"","Max.   :17.221  ","Max.   :13.3851  ","Max.   :18.023  ","Max.   :16.439  "
