"","M_PSVZ_GSM2652134","M_PSVZ_GSM2652135","M_PSVZ_GSM2652136","M_QSVZ_GSM2652126","M_QSVZ_GSM2652127","M_QSVZ_GSM2652129"
"Copg1",9.83315364048633,9.79333235519073,9.97739918899338,9.7015952608868,9.17990909001493,9.72593424807656
"Atp6v0d1",10.0909945322206,9.54689445988764,8.07012094447682,11.2571422650386,10.5666883292523,11.2214864271422
"Golga7",9.82760734608405,9.97727992349992,10.2359144997437,9.83526091862749,10.8643151352253,10.8422848601266
"Psph",8.04348303941602,7.91935994757073,7.63843591399047,8.4093909361377,7.876516946565,8.13699111208023
"Trappc4",9.9135127730146,9.12455215998556,8.97297978606629,7.97775692632816,5.21593739919915,8.38370429247405
"Dpm2",5.16992500144231,6.75042785397277,8.49718654063271,7.70965824817047,7.23681148124941,7.43045255166553
"Psmb5",10.3665043612116,8.94836723158468,7.74034295436853,9.17866485100647,5.95031287589965,9.45994384837493
"Dhrs1",9.24594877902163,8.92925840863697,6.92777796208234,8.98441845880114,8.85278957160245,8.58370961741107
"Ppm1a",8.13699111208023,9.26013546025182,9.39571263160121,9.140829770773,6.07681559705083,7.13271392234524
"Psenen",9.75042785397277,10.53462712002,8.84575138507078,11.1751336685229,11.6681463149342,11.2380065897321
"Anapc1",6.05528243550119,8.45327063401062,7.56605403817109,6.60486205815886,3.96962635095648,4.05889368905357
"Mrpl43",8.34577483684173,8.64385618977473,8.03342300153745,6.25424128737579,6.07681559705083,10.2622906375997
"Xpo7",8.97297978606629,8.39303286789181,9.00398631959352,7.50647288560245,7.25974326369078,3.87446911791614
"Nmt1",9.29576893442051,7.75822321472672,8.24158598656976,7.02236781302845,8.31816617609116,7.84705734609134
"Atg5",7.26834705468252,4.8988532765431,2.8073549220576,2.8073549220576,2.8073549220576,5.76818432477693
"Mtif2",8.38298420509155,6.88060390408824,7.00187728724067,3.84130225398094,4.49185309632967,8.90036368851937
"Rab14",10.2480263789595,10.7489615229481,9.54109661534952,10.1623913287569,10.3326892882678,10.0406322005623
"Psap",7.47640869193865,7.08037341646402,5.10153802646206,12.4224152326001,12.2305208675816,11.7526594012714
"Ube2g1",3,8.10590850857116,6.52356195605701,8.02652344251977,10.0879047757126,8.63117705570398
"Zkscan3",5.89481776330794,6.91687468418114,5.14295795384204,6.23521646169403,10.6212887713395,9.42486611664695
"Mrpl27",8.3290488278201,7.3030196323373,8.74539421623679,7.92084905319844,6.35167543828141,7.97154355395077
"Dlg1",7.22721480479329,7.34429590791582,7.20782779357991,8.89784545600551,8.51569983828404,8.69754680551968
"Canx",9.07034460078932,10.5256023702812,9.45172626807451,10.5965003805489,11.027042055565,11.2326207879565
"Derl1",8.47167521439204,7.63299519714296,6.7791721542869,9.3887348655842,11.8797108709177,10.2117869211812
"Wars",8.88366154219686,5.44294349584873,6.12928301694497,5.5077946401987,4.16992500144231,6.43462822763672
"Psma1",8.40868355929544,10.0421153397962,10.0338818010455,8.85278957160245,10.095177217042,8.44017706155735
"Sar1a",10.843201355782,11.2408410108879,10.9878561298895,11.0824817278631,10.496853777388,10.7265020147273
"G3bp2",9.49685377738804,8.79034849675191,6.69464808033133,7.12239663135973,11.1248752116848,9.83038315855417
"Golm1",8.13185696060879,8.74623437643187,7.23681148124941,6.31288295528436,6.11894107272351,11.1248752116848
"Gps1",9.78749449969676,9.1963972128035,9.12799432097639,8.71881824745595,7.54496443278924,7.77258950389693
"Ssr3",12.1819804400346,12.4974152708487,12.6485822833637,12.9612085015462,12.856295830685,12.8822290811756
"LOC100044627",13.1712549988628,13.23755854006,13.0550564317346,12.0133808360589,11.7370712564375,11.6067136456313
"Ctbp1",8.64385618977473,9.78517997877424,9.90363083311425,9.50961007777164,6.86418614465428,9.04530462430561
"Huwe1",9.65761618873019,10.3053017763,9.51930862821574,6.95419631038687,6.28540221886225,9.59432460392485
"Cdv3",12.1559777047047,11.9120160718783,11.6566483117474,10.11731842601,10.1804272063936,9.51586407017458
"Smim7",8.62509998251907,8.0597950917951,7.37503943134692,6.31288295528436,8.09890936790145,8.58933904374648
"Copa",10.5698556083309,11.1588200396096,10.4988492065317,10.1069990634956,11.5233169123127,12.8681473389511
"Anapc2",8.60053242348971,6.80950019388916,8.2558154228739,9.09341756438796,8.16155182041731,3.34577483684173
"Tug1",10.2742810772418,10.2059968329777,10.2242027046507,9.20945336562895,8.73245011304371,7.8538293518571
"Gbf1",10.3216462909914,6.92876509523128,7.85278957160245,9.20191969294354,9.19967234483636,10.5862142969306
"Cox18",4.12928301694497,7.43045255166553,4.65344223860392,3.22239242133645,7.23681148124941,4.15650448567999
"Arfgef1",9.37883671321061,8.22480562798926,9.59401351065337,7.84496724063212,9.27029532647204,8.23521646169403
"Zranb1",6.52877966532803,9.91985648691169,10.9901039638575,10.7934678385961,10.1519678709682,10.8411711892485
"Ddx24",4.65344223860392,7.35093918154643,7.48917896203135,7.60733031374961,5.95031287589965,8.88264304936184
"Snrnp27",7.88772833852162,8.57396270308581,11.8583695998547,5.06249592573376,7.29001884693262,5.05166211982249
"Tmem129",4.99246632731459,6.75042785397277,6.2667865406949,9.47607110095996,9.54817971167945,10.0179682901941
"Rps27",14.602524896124,14.8582643630764,14.8582643630764,14.1027002277245,13.5111143341191,14.2844867573378
"Rnf220",8.01495034146597,7.26834705468252,7.82866542830302,7.3279268355088,7.97823377149558,6.00749453654692
"Sap30l",5.98109153744994,7.14550763646306,4.84966572691557,8.50911518495075,9.25325657978115,9.17866485100647
"Armc1",8.8475793996671,7.44156094179861,6.00562454919388,8.11980573864144,6.16992500144231,8.75933340719466
"Mad2l1bp",4.26052755022322,3,2.58496250072116,2.58496250072116,2.58496250072116,2.58496250072116
"Naa60",6.64625867999003,7.82601876632264,7.90939310281169,8.18239435340453,7.80628108870629,6.3779335046161
"Vta1",7.59991284218713,9.14508300215804,7.85278957160245,9.81778312177453,7.74371242660679,7.53915881110803
"Eif5",11.76224360422,11.9002693340841,12.0544912673756,12.1641212734183,11.0996765548596,12.0133808360589
"Cdc42",9.12196513889625,8.38442402062113,8.82017896241519,8.91587937883577,8.88467931651836,7.70965824817047
"Rrn3",8.09539702279256,8.69754680551968,9.60640521269779,8.48179943166575,8.14210705730255,7.16658155836794
"Ankrd17",7.20782779357991,9.26013546025182,8.85278957160245,7.61960864352805,9.86186234005915,6.67478076296963
"Apoa1bp",10.1272420497175,9.26561504648446,6.90086680798075,9.85992297286176,8.54946381949977,10.0678824722808
"Pabpn1",8.86056971830716,9.86302471023689,9.71510400923617,8.37286506011259,9.75474834662529,10.6697708885255
"Pdpk1",7.67360353316878,7.9331988550358,9.39767463294827,7.06608919045777,7.91338810720844,7.80842795672283
"Cpsf7",8.70707148477839,9.63420601974101,8.41609377391362,9.76514794262677,8.91985648691169,8.66829407906
"Angel2",6.54174197212203,7.12412131182919,6.59991284218713,6.40087943628218,6.26052755022322,6.25738784269265
"Abhd16a",8.62509998251907,4.65344223860392,4.49185309632967,7.95903594941339,9.22982021434095,8.68883309849311
"Gm8069",9.02097993890421,9.05754052805936,8.42346612134942,7.39945595807998,7.3279268355088,7.57364718749332
"Rab7",10.537461094633,10.247531983615,10.5074643150591,11.5197181473763,11.3623091517392,11.5681936538501
"Ddb1",10.5467337228766,10.3285814370618,8.97775692632816,8.70303838898642,9.22580994062354,7.26522433692462
"Pfdn5",11.9800205384839,11.5731737846865,11.3236177632916,9.66444728454797,4.93073733756289,11.6681463149342
"Rfk",9.10656294044488,7.96626510287713,7.48917896203135,7.45395648857115,6.21107710810861,5.01495034146597
"Txndc12",8.43149760425805,8.40230151135138,9.61378946447258,8.11980573864144,8.07503339170882,9.06024558205353
"Rbm42",8.74539421623679,8.38801728534514,9.37068740680722,9.20660741140572,6.72109918870718,7.48784003382305
