"","PSVZbyQSVZ","AveExpr","F","P.Value","adj.P.Val"
"Mir1949",4.02630686278429,4.33508152627951,125.373689764936,0.000223917370705708,0.0190241260210244
"Efcab11",4.97928088428228,5.14873374997445,124.571043800488,0.000226984257873293,0.01920876623223
"Uba52",1.5873346047228,12.7709324371341,123.947479149973,0.00022940935812594,0.0193152085824248
"Sesn1",-3.39809256891709,8.10564796977312,123.787089853603,0.000230039236896988,0.0193152085824248
"Kif18b",5.37727877246637,5.27360188695434,123.435692411027,0.000231428088440955,0.0193562130779701
"Hn1l",5.42685107650775,6.53289440933272,121.96774790679,0.000237364237238562,0.0197757530210965
"Hdgf",5.06836463711653,9.00916177508164,121.319559254683,0.000240056293523706,0.0198652102363458
"Atp1a2",-2.32063813474644,12.9264224892004,121.264663357819,0.000240286329911603,0.0198652102363458
"Ifit2",5.79880891712303,5.92411827947902,120.478610125537,0.000243615789350437,0.0199523400028305
"Cyp4f15",-4.90122607299787,7.05490518323325,120.309374685991,0.00024434141333856,0.0199523400028305
"Ttf2",4.91270774349769,4.86596010191414,120.247409919658,0.000244607885835457,0.0199523400028305
"Gm21571",2.56722135837114,10.90832127071,120.144085625819,0.00024505316402639,0.0199523400028305
"Sox4",4.87563853891476,7.38220869778428,119.88712039548,0.000246165701237512,0.019954471606925
"Nes",4.37309792072134,5.21126278127817,119.710191817704,0.000246936005928916,0.019954471606925
"Calm1",-1.2266792257549,11.7765869029831,118.941659544693,0.000250323154872645,0.0201204485875058
"Dennd5b",2.245422929761,3.9300663869381,118.658116031545,0.00025158994314901,0.0201204485875058
"LOC100044627",1.36890141084323,12.4701726181308,118.516251631247,0.00025222726360819,0.0201204485875058
"Gm10257",2.48997185891525,10.7941395214076,118.403788196296,0.000252734176256179,0.0201204485875058
"Ythdf2",3.53575341410741,6.4467681941816,117.313600802418,0.000257726007153942,0.0204421421541476
"Ermn",-5.79255884905337,6.74916309458896,116.792214147926,0.00026016433878762,0.0205596781699996
"Gen1",4.37259600227751,4.91952211608421,116.555476795921,0.00026128259179864,0.0205724150575523
"Shisa9",-6.50556749364677,6.52315276579628,114.177754412662,0.00027291355948477,0.0214097699311136
"Hnrnpa0",1.64030134636089,10.829810364027,113.941171276049,0.000274111942161211,0.021425586170019
"Ephx2",-6.19940278602078,7.21462722519181,113.265708617363,0.000277575966472249,0.0215553990693102
