"","PGBC","QGBC"
"AAED1",3.29516632601068,2.74964066303355
"AAGAB",3.9065563978547,3.13600216810663
"AAK1",2.24690388243777,1.8317228745165
"AAMP",7.11062581743951,6.63623917493384
"AAR2",3.84090395595713,3.46933355568254
"AASDH",2.48854515629715,2.14687102070894
"AASDHPPT",2.22738502491072,1.88364027871134
"AATF",2.93976181202235,2.37936422444157
"ABCB10",3.19041830440803,2.44402278555249
"ABCB8",4.79093511391266,4.23847255395165
"ABCC1",2.23931688874288,1.60208575379382
"ABCC2",1.11544459901893,0.736626292203396
"ABCC4",1.59094718923518,0.909002817444923
"ABCC6",0.466574407907516,0.0946207427950466
"ABCC6P2",0.412646075375667,0
"ABCD1",2.2829147427908,1.62359193662168
"ABCD3",3.64387521159984,3.2682274075024
"ABCE1",2.99951954750924,2.24072603164658
"ABCF1",5.29260416052203,4.6891251020373
"ABHD13",4.19292159022397,3.48608204681986
"ABHD17C",2.02312396017821,1.69635108302705
"ABHD3",3.19855262937681,2.8724103710892
"ABHD5",3.02970104859254,2.18621422632831
"ABL2",3.14469011092647,2.73010688720733
"ABRACL",4.16251051852835,2.86363744507192
"ABRAXAS2",3.18949780356801,2.68751120352934
"ABT1",5.64217977285364,4.89275245450458
"AC000403.1",1.24583975741581,0.841631446971335
"AC002401.4",3.97658442613123,2.77940744294632
"AC002504.1",1.04622602183016,0.26469967413934
"AC002524.1",5.79375163803617,4.84700783388636
"AC003035.2",0.929665916967676,0.0636977944351147
"AC003101.2",0.769201485153425,0.423199138228326
"AC004383.1",2.69794690196719,2.06920192895375
"AC004477.3",3.02444152339127,2.55890325858733
"AC004552.1",0.857174991670647,0.139971440655412
"AC004556.1",0.591837589673238,0.15619727467935
"AC004816.1",1.61164107503602,0.925618161966532
"AC004825.2",2.5489768158577,1.98760130417385
"AC004854.2",2.19760766816413,1.6237474825649
"AC004890.1",2.34917560441824,1.07654296727356
"AC005013.1",1.30749208507808,0.7953187535427
"AC005180.1",0.777978616084047,0.228248764426971
"AC005180.2",1.020613089074,0.555136012224829
"AC005224.1",2.09637659333605,1.46113198737286
"AC005225.4",1.29825194920909,0.620595669598202
"AC005336.1",1.39001445316436,0
"AC005498.2",0.770725905909664,0.391719739151525
"AC005674.2",1.73189911465777,0.926186526052717
"AC005695.3",0.640599251813901,0.142092757165019
"AC005722.2",1.57403070435898,0.647999436090632
"AC005722.3",0.89197768491273,0.172652816094866
"AC005736.1",1.2310973476113,0.904920041267266
"AC005837.1",1.59046985092911,1.19089084879246
"AC005840.1",0.651151541081234,0.282240516539827
"AC006058.1",1.03274815925239,0.0425871402363736
"AC006058.3",0.469842127205609,0
"AC006058.4",0.900645546527548,0
"AC006065.1",0.966718026483416,0.586982791585771
"AC006157.1",0.887521066672043,0
"AC006466.1",0.698213576588551,0
"AC006963.1",1.84163734934622,1.12406797161975
"AC006970.1",0.882335646076933,0.0943505097604125
"AC007250.1",0.827065606072073,0.378976917091113
"AC007318.1",0.911864198362869,0.454588267590803
"AC007344.1",0.792382828236968,0.336206844351822
"AC007382.1",4.779761467023,4.1161900232248
"AC007387.1",1.02327954552737,0.444466270466
"AC007490.1",0.915925501791995,0
"AC007906.2",1.24134408000335,0.813917021528437
"AC008063.2",0.413023235154398,0
"AC008074.3",2.35746290583773,1.12436980832827
"AC008105.3",0.709235688626057,0.38275653776496
"AC008155.1",0.570305483034741,0
"AC008494.1",1.36482468017165,0.817420317308606
"AC008494.3",1.26698260626537,0.484261238243679
"AC008507.1",2.36225303987374,1.94506601901954
"AC008543.1",1.10986040719127,0.718618114798984
"AC008592.3",0.977351131663435,0.271643094758139
"AC008747.1",0.814015766177616,0.31561456094808
"AC008750.3",0.508129579066387,0.0880715234338976
"AC008915.2",1.50557866891536,0.943576801591986
"AC008972.2",1.13287352717106,0.760997346380978
"AC009005.1",1.21470389392749,0.842183042024151
"AC009086.3",1.82795522128292,1.45620431238066
"AC009110.1",1.09497728474554,0
"AC009237.14",0.854373070762913,0
"AC009237.15",1.43274246359723,0.894940053559127
"AC009237.3",1.07814764751551,0.525680732755359
"AC009237.8",1.21234096141716,0.748303478864078
"AC009474.2",1.05091453562387,0
"AC009486.1",2.49749023480389,1.98768141656311
"AC009506.1",2.37374210365445,1.88662516137476
"AC009533.1",1.5609311993614,0.643263427011344
"AC009812.4",2.49811451904505,1.35747259105139
"AC009908.1",0.527315751575225,0.0889653183774695
"AC009948.1",1.89230693694831,1.39329374041897
"AC009949.1",0.804424323557003,0.332187511978637
"AC009962.1",1.06186103788755,0.731507286251677
"AC009974.1",0.96949304659148,0.190477499863863
"AC010186.3",3.07048022103616,2.63695746070455
"AC010240.3",1.10398287988624,0.637061713353056
"AC010424.2",0.821283920908956,0.103081898699489
"AC010468.1",1.23175938175576,0.600625520327999
"AC010655.1",0.781668365196016,0.26430923668422
"AC010677.1",0.624070092886636,0.23220484540232
"AC010969.2",3.7375685586872,3.33905255341884
"AC010970.1",6.81740655038705,6.41998831190397
"AC010997.5",1.34693875990913,1.02265940145177
"AC011008.2",1.46514929028828,1.09183672446731
"AC011043.1",3.6769072714436,3.31211977272616
"AC011416.2",1.25218407791621,0.758238688879525
"AC011451.1",3.95581912538245,3.61542851969141
"AC011468.4",1.37804750567912,0.850982186048998
"AC011712.1",1.09809439438778,0.345670249719025
"AC011978.2",1.72538457405947,1.16803232055271
"AC011979.1",1.04815932339955,0.485991522590822
"AC012065.5",5.84258023482137,5.30373683761158
"AC012213.4",0.569716273537649,0
"AC012306.2",2.5563389675141,1.4633817600854
