"","PGBC","QGBC","No_data","No_data","Glioblastoma_cancer_stem_cell","PGBC","QGBC","No_data","No_data","Glioblastoma_cancer_stem_cell"
"PGBC",1,0.981427133544535,0.997127308212691,0.997127308212691,0.997127308212691,NA,0,0,0,0
"QGBC",0.981427133544535,1,0.993138140422597,0.993138140422597,0.993138140422597,0,NA,0,0,0
"No_data",0.997127308212691,0.993138140422597,1,1,1,0,0,NA,0,0
"No_data",0.997127308212691,0.993138140422597,1,1,1,0,0,0,NA,0
"Glioblastoma_cancer_stem_cell",0.997127308212691,0.993138140422597,1,1,1,0,0,0,0,NA
