"","PGBC","QGBC","No_data","No_data","Glioblastoma_cancer_stem_cell","PGBC","QGBC","No_data","No_data","Glioblastoma_cancer_stem_cell"
"PGBC",1,0.981421537512759,0.9971266428514,0.9971266428514,0.9971266428514,NA,0,0,0,0
"QGBC",0.981421537512759,1,0.993135756249506,0.993135756249506,0.993135756249506,0,NA,0,0,0
"No_data",0.9971266428514,0.993135756249506,1,1,1,0,0,NA,0,0
"No_data",0.9971266428514,0.993135756249506,1,1,1,0,0,0,NA,0
"Glioblastoma_cancer_stem_cell",0.9971266428514,0.993135756249506,1,1,1,0,0,0,0,NA
