"","Glioblastoma_cancer_stem_cell"
"AL391069.3",1.17022790305862
"AL391261.3",0.921156850630782
"AL442663.3",1.11103744795956
"AL445423.1",0.300022547024229
"AL445524.1",2.71120204897056
"AL445991.1",1.55667624882379
"AL449403.2",0.85126719224055
"AL450326.1",2.51293709958631
"AL451064.2",2.78975392905715
"AL512329.1",1.51137758807445
"AL512329.2",2.00548271549942
"AL512408.1",1.24403019850679
"AL512594.1",1.21700452692077
"AL512598.1",1.60778487834023
"AL512844.2",0.358279398790117
"AL513550.1",2.53111831432848
"AL589666.1",0.743771561361644
"AL589826.1",0.537752836388007
"AL589987.1",0.468623720272497
"AL589993.1",1.39888720876095
"AL590135.1",0.47996104767438
"AL590139.1",0.470718825820544
"AL590235.1",2.44598240325414
"AL590648.1",0.404903482250153
"AL590762.3",2.53333664940556
"AL591806.3",0.442084535015681
"AL591846.2",0.632149915674453
"AL591926.3",0.395414965981677
"AL592183.1",1.69467256662992
"AL603839.2",1.88770892981085
"AL603839.4",1.10637352329291
"AL603882.1",0.642479645432655
"AL606489.1",0.88643586396866
"AL645728.1",1.76060433501041
"AL691403.2",0.777276966719451
"AL731556.1",1.62004513517288
"AL732618.1",1.29525969020427
"AL807761.2",1.88850186540124
"ALAS1",5.50865738364302
"ALB",0.500862215661779
"ALDH16A1",1.84331903873853
"ALDH18A1",3.79395639740474
"ALDH1A1",0.581557027595218
"ALDH1B1",5.44649373516431
"ALDH1L1",0.327584004555954
"ALDH2",1.70608382785065
"ALDH7A1",2.8731479595012
"ALDH9A1",4.62149606639573
"ALG1",1.56043075346663
"ALG11",3.05777602071965
"ALG13",2.18995218315211
"ALG2",6.41528619021137
"ALG5",2.45372540925674
"ALG6",1.73160453965167
"ALG8",2.8673238938518
"ALKBH8",2.09024746000419
"ALMS1",1.52122857358574
"ALPK2",0.814921567161337
"ALS2",3.42570836009932
"ALX1",0.40581226210481
"ALYREF",7.31914491384655
"AMDHD2",2.97161347468617
"AMER1",2.19415832198808
"AMIGO2",2.90275166732435
"AMMECR1",1.18952777728664
"AMOT",0.827496778118998
"AMOTL1",2.08377617494505
"AMOTL2",3.45191040234505
"ANAPC13",4.78114902946999
"ANAPC15",1.99159786079498
"ANAPC7",4.19655365957933
"ANGPTL4",0.98114528702494
"ANKLE2",5.05405401847404
"ANKRD1",1.11022502645459
"ANKRD13C",2.37579062070135
"ANKRD29",1.05544150047788
"ANKRD34B",1.37367075035877
"ANKRD35",0.389562979135907
"ANKRD37",2.70580252789296
"ANKRD65",2.11700579726929
"ANKUB1",0.383070407691833
"ANLN",4.19876226771286
"ANO10",0.664427207050639
"ANP32B",5.54771702041713
"ANP32E",6.48950836350815
"ANTXR1",1.87657894102764
"ANTXR2",1.68407912338872
"ANXA1",6.22297884295505
"ANXA2",6.5741397786622
"ANXA2P2",1.02403271886859
"ANXA5",7.35969552985581
"ANXA6",1.57251114809855
"ANXA7",4.57028853805475
"AOX1",0.217382395651304
"AP000251.1",0.752979918831274
"AP000345.2",0.418082437408312
"AP000346.4",0.438568338892592
"AP000350.2",0.26690021279267
"AP000350.6",0.846291611092754
"AP000802.1",1.22091934464627
"AP000808.1",0.799411307014736
"AP001000.1",0.525643978182801
"AP001086.1",0.513462091710033
"AP001107.9",0.833202739034795
"AP001318.2",0.659960562737606
"AP001350.2",2.34821955328226
"AP001360.2",0.276416580678135
"AP001462.1",2.83034521257285
"AP001527.2",2.2758262165112
"AP001542.1",1.43436906246552
"AP001542.3",2.09223454202526
"AP001816.1",3.82928171168424
"AP002371.1",0.574462627379245
"AP002495.1",0.916611257593468
"AP002761.4",0.693533897077838
"AP002784.2",0.576429519496674
"AP002847.1",0.604294277800075
"AP002981.1",1.77498596369926
"AP003390.1",0.388739898986915
"AP003392.4",2.23782338641313
"AP003469.2",1.05679907074119
"AP003469.3",0.393157766822416
"AP005229.2",0.304206538038376
"AP005233.2",0.600655149365133
"AP005431.1",0.762629412786641
"AP006545.2",1.53068500551623
"AP1B1",3.10331278681059
"AP1G1",4.07103190989361
"AP2A1",4.46673851323609
"AP2M1",9.26854858368799
"AP2S1",5.31467289828077
"AP3B1",2.21935551761635
"AP3M1",4.31671504347851
"AP3S1",3.31075085122552
"AP4E1",1.87791488986084
"AP5S1",3.67433770995762
"APBB1",3.94238686392007
"APCDD1L",0.567386290111749
"APCDD1L-AS1",0.433916987005159
"APEH",6.07612501557536
"APEX1",8.80729756166433
"APEX2",4.73751774814918
"API5",3.53100533600317
"APLN",0.750798002166966
"APLP2",7.08838404018785
"APMAP",5.50731734077606
"APOL1",3.5414143898138
"APOO",1.7154746800254
"APOOL",1.88288984405406
"APPBP2",3.53371191643819
"APRT",6.85298929431503
"AQR",2.54053461179017
"ARCN1",5.31249445331954
"ARF3",0.718669946940295
"ARF4",5.98259767220567
"ARF6",8.01335345595641
"ARFGAP2",5.56812108391621
"ARFGEF1",2.56713439168045
"ARFGEF2",3.03648175536141
"ARFGEF3",0.538482649662099
"ARFIP1",2.05991076271212
"ARFIP2",5.90843853690024
"ARFRP1",4.74909421402315
"ARHGAP1",5.03961251947363
"ARHGAP11A",4.10739200165508
"ARHGAP11B",1.00644400957782
"ARHGAP17",2.29037537777715
"ARHGAP18",1.26714725041284
"ARHGAP22",0.371961894489766
"ARHGAP23",2.92416234633576
"ARHGAP29",2.03362448233329
"ARHGAP33",3.11172682420677
"ARHGAP35",3.99532770651093
"ARHGAP39",1.72404117597339
"ARHGDIA",8.6138186207804
"ARHGEF2",4.39113031561824
"ARHGEF26",1.04855534438748
"ARHGEF3",1.44974081060237
"ARHGEF39",1.7694845370404
"ARID1A",3.94285946790567
"ARL10",3.15684757004573
"ARL14EP",4.3183317627368
"ARL2BP",2.22690947202618
"ARL3",3.78804058705958
"ARL4D",5.12491002817131
"ARL5B",4.60612611145922
"ARL6IP6",3.5529458082733
"ARMC1",4.02825546391387
"ARMC2",0.687961986792681
"ARMC5",3.46465237892524
"ARMC6",3.13241234674993
"ARMC8",1.87307458535721
"ARMC9",1.26050637192733
"ARMCX1",5.40311256557675
"ARMCX3",7.35937725348071
"ARMCX4",0.607005904056734
"ARMCX6",5.54184761742378
"ARMT1",4.43373247826956
"ARNTL2",0.95789051990765
"ARPC2",5.75345754399626
"ARPC3",2.85778074263239
"ARPC3P2",0.506373270885444
"ARPC5",6.91608490243804
"ARPC5L",5.01254210616714
"ARRDC3",5.33906264347766
"ARSB",1.50544956653579
"ARSD",1.25218777219902
"ARSJ",3.56833922946493
"ARTN",2.56725770253484
"ARV1",3.93154322840912
"ARX",0.599807999784139
"ASAP2",2.57187409126475
"ASCC1",1.77116037295583
"ASCC2",3.28843763536888
"ASCC3",1.86214167816714
"ASF1B",3.80932442609591
"ASH2L",3.86642969683121
"ASMTL",2.2202701155732
"ASMTL-AS1",0.752968965001575
"ASNA1",6.09888842631884
"ASNSD1",5.07080727366902
"ASPH",3.67789011715728
"ASPM",3.80895796578839
"ASRGL1",0.856669603994871
"ASS1",1.18237242092714
"ASTE1",2.47199436981453
"ASXL2",2.73247300410688
"ATAD2",3.13065535153887
"ATAD3A",3.46689086914267
"ATAD5",1.91693266188991
"ATF6",2.93514609992564
"ATF6B",5.28417771436551
