"","PGBC","QGBC","No_data","No_data","Glioblastoma_cancer_stem_cell","PGBC","QGBC","No_data","No_data","Glioblastoma_cancer_stem_cell"
"PGBC",1,0.984404500802165,0.997529392127444,0.997529392127444,0.997529392127444,NA,0,0,0,0
"QGBC",0.984404500802165,1,0.994330851576172,0.994330851576172,0.994330851576172,0,NA,0,0,0
"No_data",0.997529392127444,0.994330851576172,1,1,1,0,0,NA,0,0
"No_data",0.997529392127444,0.994330851576172,1,1,1,0,0,0,NA,0
"Glioblastoma_cancer_stem_cell",0.997529392127444,0.994330851576172,1,1,1,0,0,0,0,NA
