"","PGBC","QGBC","No_data","No_data","Glioblastoma_cancer_stem_cell","PGBC","QGBC","No_data","No_data","Glioblastoma_cancer_stem_cell"
"PGBC",1,0.981337806626899,0.997120466073488,0.997120466073488,0.997120466073488,NA,0,0,0,0
"QGBC",0.981337806626899,1,0.993094237524401,0.993094237524401,0.993094237524401,0,NA,0,0,0
"No_data",0.997120466073488,0.993094237524401,1,1,1,0,0,NA,0,0
"No_data",0.997120466073488,0.993094237524401,1,1,1,0,0,0,NA,0
"Glioblastoma_cancer_stem_cell",0.997120466073488,0.993094237524401,1,1,1,0,0,0,0,NA
