"","gene_name_length"
"A1BG",8322
"A1BG-AS1",7433
"A1CF",86267
"A2M",48566
"A2M-AS1",2884
"A2ML1",64530
"A2ML1-AS1",54729
"A2ML1-AS2",898
"A2MP1",47285
"A3GALT2",14333
"A4GALT",29187
"A4GNT",8670
"AAAS",17409
"AACS",77955
"AACSP1",53575
"AADAC",14452
"AADACL2",27424
"AADACL2-AS1",176733
"AADACL3",12645
"AADACL4",22540
"AADACP1",14467
"AADAT",31478
"AAED1",15727
"AAGAB",54163
"AAK1",216353
"AAMDC",97324
"AAMP",6135
"AANAT",16767
"AAR2",34460
"AARD",6289
"AARS",37249
"AARS2",13673
"AARSD1",13973
"AARSP1",453
"AASDH",49222
"AASDHPPT",23210
"AASS",68634
"AATBC",6810
"AATF",107997
"AATK",48783
"AB015752.1",85460
"ABALON",1903
"ABAT",110011
"ABBA01000935.2",139540
"ABBA01006766.1",169
"ABCA1",147236
"ABCA10",97633
"ABCA11P",48695
"ABCA12",206887
"ABCA13",476039
"ABCA17P",87550
"ABCA2",21696
"ABCA3",64866
"ABCA4",128298
"ABCA5",82934
"ABCA6",63187
"ABCA7",25472
"ABCA8",88101
"ABCA9",86577
"ABCA9-AS1",98254
"ABCB1",209691
"ABCB10",42114
"ABCB10P1",2181
"ABCB10P3",2166
"ABCB10P4",2184
"ABCB11",108385
"ABCB4",78739
"ABCB5",161832
"ABCB6",9252
"ABCB7",105179
"ABCB8",19361
"ABCB9",60699
"ABCC1",193498
"ABCC10",23065
"ABCC11",80659
"ABCC12",73046
"ABCC13",126549
"ABCC2",69461
"ABCC3",57476
"ABCC4",281647
"ABCC5",98082
"ABCC5-AS1",5082
"ABCC6",74595
"ABCC6P1",27167
"ABCC6P2",3911
"ABCC8",84382
"ABCC9",145129
"ABCD1",19895
"ABCD1P2",4192
"ABCD1P3",3200
"ABCD1P4",3194
"ABCD1P5",3202
"ABCD2",69719
"ABCD3",100212
"ABCD4",17634
"ABCE1",31248
"ABCF1",25804
"ABCF2",19394
"ABCF2P1",1867
"ABCF2P2",1029
"ABCF3",7990
"ABCG1",97556
"ABCG2",141059
"ABCG4",13642
"ABCG5",26394
"ABCG8",51046
"ABHD1",7024
"ABHD10",14354
"ABHD11",2774
"ABHD11-AS1",1121
"ABHD12",96241
"ABHD12B",32811
"ABHD13",15877
"ABHD14A",9774
"ABHD14A-ACY1",14478
"ABHD14B",14900
"ABHD15",6591
"ABHD15-AS1",146544
"ABHD16A",16496
"ABHD16B",1491
"ABHD17A",8738
"ABHD17AP1",3172
"ABHD17AP3",3371
"ABHD17AP4",3149
"ABHD17AP5",3162
"ABHD17AP6",29638
"ABHD17AP7",2923
"ABHD17AP8",2921
"ABHD17AP9",2948
"ABHD17B",48480
"ABHD17C",75938
"ABHD18",74622
"ABHD2",114902
"ABHD3",53909
"ABHD4",14979
"ABHD5",44264
"ABHD6",58188
"ABHD8",18106
"ABI1",114495
"ABI1P1",1450
"ABI2",119505
"ABI3",12999
"ABI3BP",244360
"ABL1",173730
"ABL2",130358
"ABLIM1",253891
"ABLIM2",193523
"ABLIM3",119060
"ABO",24819
"ABR",225504
"ABRA",10763
"ABRACL",14621
"ABRAXAS1",63832
"ABRAXAS2",34886
"ABT1",3793
"ABT1P1",821
"ABTB1",7986
"ABTB2",207021
"AC000032.1",626
"AC000035.1",894
"AC000036.1",2315
"AC000041.1",4039
"AC000041.2",151
"AC000058.1",4666
"AC000061.1",42625
"AC000067.1",533
"AC000068.1",2213
"AC000068.2",460
"AC000068.3",427
"AC000077.1",2825
"AC000078.1",682
"AC000081.1",297
"AC000089.1",801
"AC000093.1",7553
"AC000095.1",874
"AC000095.2",16513
"AC000099.1",14795
"AC000111.1",210
"AC000111.2",193
"AC000120.1",6844
"AC000123.1",1396
"AC000123.2",461
"AC000123.3",4975
"AC000124.1",8922
"AC000362.1",812
"AC000367.1",1766
"AC000372.1",45216
"AC000374.1",1745
"AC000403.1",3585
"AC001226.1",539
"AC001226.2",137512
"AC002044.1",158
"AC002044.2",970
"AC002044.3",541
"AC002056.1",760
"AC002056.2",2928
"AC002059.1",477
"AC002064.1",10097
"AC002064.2",4183
"AC002064.3",346
"AC002066.1",261206
"AC002069.1",1159
"AC002069.2",883
"AC002070.1",280093
"AC002074.1",116929
"AC002075.1",676
"AC002075.2",252
"AC002076.1",2689
"AC002076.2",122
"AC002090.1",2138
"AC002091.1",9473
"AC002091.2",1175
"AC002094.1",24051
"AC002094.2",1259
"AC002094.3",3725
"AC002094.4",307
"AC002094.5",629
"AC002101.1",21302
"AC002115.1",4382
"AC002116.1",5598
"AC002116.2",31465
"AC002127.1",225
"AC002127.2",46095
"AC002128.1",1959
"AC002128.2",2200
"AC002306.1",2311
"AC002310.1",2393
"AC002310.2",11611
"AC002310.3",1030
"AC002310.4",24053
"AC002310.5",8930
"AC002310.6",1377
"AC002347.1",541
"AC002347.2",3255
"AC002350.1",1828
"AC002351.1",6130
"AC002366.1",1669
"AC002367.1",405
"AC002368.1",2503
"AC002375.1",14185
"AC002378.1",22466
"AC002381.1",280
"AC002383.1",50289
"AC002384.1",13594
"AC002386.1",3996
"AC002398.1",1885
"AC002398.2",925
"AC002400.1",726
"AC002401.1",10591
"AC002401.2",1217
"AC002401.3",440
"AC002401.4",583
"AC002407.1",5179
"AC002428.1",17809
"AC002428.2",2614
"AC002429.1",148
"AC002429.2",178602
"AC002451.1",17038
"AC002451.2",2398
"AC002454.1",80705
"AC002456.1",6735
"AC002456.2",19178
"AC002460.1",1438
"AC002463.1",85703
"AC002464.1",1530
"AC002465.1",21376
"AC002467.1",1765
"AC002470.1",395
"AC002470.2",18660
"AC002472.1",12613
"AC002472.2",6559
"AC002472.3",2834
"AC002472.4",9937
"AC002480.1",90186
"AC002480.2",10660
"AC002480.3",1918
"AC002480.4",15574
"AC002486.1",391
"AC002486.2",1096
"AC002487.1",994
"AC002504.1",691
"AC002511.1",1686
"AC002511.2",591
"AC002511.3",724
"AC002519.1",2792
"AC002519.2",5027
"AC002524.1",547
"AC002525.1",1622
"AC002540.1",1349
"AC002542.1",193
"AC002543.1",2923
"AC002545.1",181
"AC002546.1",24617
"AC002550.1",9033
"AC002550.2",394
"AC002551.1",1465
"AC002553.1",802
"AC002553.2",331
"AC002558.1",803
"AC002558.2",1224
"AC002558.3",990
"AC002563.1",1244
"AC002984.1",448
"AC002985.1",27385
"AC002996.1",37529
"AC003001.1",8993
"AC003001.2",3463
"AC003002.1",35019
"AC003002.2",44275
"AC003002.3",30111
"AC003005.1",17664
"AC003005.2",5348
"AC003006.1",71531
"AC003009.1",1216
"AC003035.1",8755
