"","InputCategories","UserDefinedCategories","Type","CorrectedPvalues","StudySRP027383","StudySRP091303","GenderM","DiseaseCON","DiseaseGrade_2","DiseaseGrade_3","DiseaseGrade_4","Age","Tissueprefrontal_cortex","p.value.StudySRP027383","p.value.StudySRP091303","p.value.GenderM","p.value.DiseaseCON","p.value.DiseaseGrade_2","p.value.DiseaseGrade_3","p.value.DiseaseGrade_4","p.value.Age","p.value.Tissueprefrontal_cortex"
"1","black","NPCbyNSC__","User",1.33350782093539e-08,-0.00554198181495691,0.00100921105339341,0.0266397732600692,0.0058677739130361,-0.0177373216046106,-0.0422418288450519,0.0160748394409907,0.0258600969438855,0.00539366427785099,0.91301563953949,0.984129550711178,0.599462161901383,0.907924200869176,0.726610826937031,0.404858441317842,0.75134818376549,0.610192693771497,0.915334719040066
"2","black","NSCbyNPC__","User",1.95642925103877e-06,-0.00554198181495691,0.00100921105339341,0.0266397732600692,0.0058677739130361,-0.0177373216046106,-0.0422418288450519,0.0160748394409907,0.0258600969438855,0.00539366427785099,0.91301563953949,0.984129550711178,0.599462161901383,0.907924200869176,0.726610826937031,0.404858441317842,0.75134818376549,0.610192693771497,0.915334719040066
"3","black","TAPbyQNP__","User",1.16212284070339e-35,-0.00554198181495691,0.00100921105339341,0.0266397732600692,0.0058677739130361,-0.0177373216046106,-0.0422418288450519,0.0160748394409907,0.0258600969438855,0.00539366427785099,0.91301563953949,0.984129550711178,0.599462161901383,0.907924200869176,0.726610826937031,0.404858441317842,0.75134818376549,0.610192693771497,0.915334719040066
"4","black","QGBCbyPGBC__","User",7.8120489449929e-10,-0.00554198181495691,0.00100921105339341,0.0266397732600692,0.0058677739130361,-0.0177373216046106,-0.0422418288450519,0.0160748394409907,0.0258600969438855,0.00539366427785099,0.91301563953949,0.984129550711178,0.599462161901383,0.907924200869176,0.726610826937031,0.404858441317842,0.75134818376549,0.610192693771497,0.915334719040066
"5","black","QSVZbyPSVZ__","User",7.24540865166873e-09,-0.00554198181495691,0.00100921105339341,0.0266397732600692,0.0058677739130361,-0.0177373216046106,-0.0422418288450519,0.0160748394409907,0.0258600969438855,0.00539366427785099,0.91301563953949,0.984129550711178,0.599462161901383,0.907924200869176,0.726610826937031,0.404858441317842,0.75134818376549,0.610192693771497,0.915334719040066
"6","black","PSVZbyQSVZ__","User",1.37957172809112e-22,-0.00554198181495691,0.00100921105339341,0.0266397732600692,0.0058677739130361,-0.0177373216046106,-0.0422418288450519,0.0160748394409907,0.0258600969438855,0.00539366427785099,0.91301563953949,0.984129550711178,0.599462161901383,0.907924200869176,0.726610826937031,0.404858441317842,0.75134818376549,0.610192693771497,0.915334719040066
"7","blue","QSVZbyPSVZ__","User",0.00468275165771638,-0.0114798194738393,-0.0224044853853336,-0.0534705126366981,0.0341782707305711,-0.0303401553763076,-0.10560457211263,-0.0245352812520384,0.0585673003607543,0.0340314531816789,0.820984101542672,0.658737379453066,0.291571492709438,0.500397346226726,0.549736735773882,0.0368565470211368,0.628617738761635,0.24793584297399,0.502240709799398
"8","blue","NPCbyNSC__","User",0.0114619047312925,-0.0114798194738393,-0.0224044853853336,-0.0534705126366981,0.0341782707305711,-0.0303401553763076,-0.10560457211263,-0.0245352812520384,0.0585673003607543,0.0340314531816789,0.820984101542672,0.658737379453066,0.291571492709438,0.500397346226726,0.549736735773882,0.0368565470211368,0.628617738761635,0.24793584297399,0.502240709799398
"9","blue","QGBCbyPGBC__","User",2.14866780955591e-12,-0.0114798194738393,-0.0224044853853336,-0.0534705126366981,0.0341782707305711,-0.0303401553763076,-0.10560457211263,-0.0245352812520384,0.0585673003607543,0.0340314531816789,0.820984101542672,0.658737379453066,0.291571492709438,0.500397346226726,0.549736735773882,0.0368565470211368,0.628617738761635,0.24793584297399,0.502240709799398
"10","blue","PGBCbyQGBC__","User",3.21583132143103e-16,-0.0114798194738393,-0.0224044853853336,-0.0534705126366981,0.0341782707305711,-0.0303401553763076,-0.10560457211263,-0.0245352812520384,0.0585673003607543,0.0340314531816789,0.820984101542672,0.658737379453066,0.291571492709438,0.500397346226726,0.549736735773882,0.0368565470211368,0.628617738761635,0.24793584297399,0.502240709799398
