"Module","DiseaseGrade_2","DiseaseGrade_3","DiseaseGrade_4","p.value.DiseaseGrade_2","p.value.DiseaseGrade_3","p.value.DiseaseGrade_4"
"MEHuAgeGBsplit_36","-0.0361748006409821","-0.155129474896484","-0.114385173285365","0.475688788496413","0.00209580278748361","0.0236969168788247"
"MEHuAgeGBsplit_35","0.278896043651443","0.158771011865885","0.20034326208561","2.03698217871666e-08","0.00163582482651753","6.6249988467292e-05"
"MEHuAgeGBsplit_33","-0.000933543242347925","-0.0218492218164061","-0.10812444634519","0.985319333245497","0.666680282940281","0.0325616293713938"
"MEHuAgeGBsplit_27","-0.0441099182009395","0.0367795233909503","-0.103217390094782","0.384383430651474","0.468338583094012","0.041359430876494"
"MEHuAgeGBsplit_26","-0.0520450357608968","0.102327188840169","-0.0849428357829192","0.30464423088949","0.0431534230527411","0.0934856262713573"
"MEHuAgeGBsplit_24","-0.179006916720215","-0.112887646051432","-0.13113684807124","0.000375010854462684","0.0256016360600122","0.00943213268136303"
"MEHuAgeGBsplit_18","-0.037808501315091","-0.0921308853258459","0.135197860140543","0.455976942231032","0.0687879781228476","0.0074260846352257"
"MEHuAgeGBsplit_16","-0.0296399979445466","-0.0229416829072264","-0.174115892471362","0.558988250478383","0.651089223197087","0.000543498290575785"
"MEHuAgeGBsplit_08","0.19324345116602","0.207931760952798","0.112185458414493","0.000120447913267582","3.41599935792835e-05","0.0265392723177595"
"MEHuAgeGBsplit_00","-0.00350078715880472","0.028403988361328","-0.115738843975133","0.944987894630879","0.575501746823582","0.0220818230952358"
