"","Gene","modulesA1"
"1","RPL10P9","turquoise"
"2","FP236383.3","black"
"3","HLA-DRB5","yellow"
"4","AC073539.7","blue"
"5","RPL13P12","turquoise"
"6","H19","lightgreen"
"7","AC097493.4","darkgrey"
"8","RNU4-2","turquoise"
"9","RNU6-8","blue"
"10","LINC01602","grey60"
"11","FP236383.1","turquoise"
"12","HBA2","turquoise"
"13","HLA-DQB1","yellow"
"14","HBB","turquoise"
"15","IGKJ1","blue"
"16","HBA1","turquoise"
"17","MT-TF","turquoise"
"18","PCDHB2","blue"
"19","CCL4L2","pink"
"20","VGF","turquoise"
"21","RNA5SP243","turquoise"
"22","TRH","blue"
"23","MIR4787","blue"
"24","FP671120.1","turquoise"
"25","TRBJ2-3","salmon"
"26","RNA5SP18","blue"
"27","NPTX2","purple"
"28","PLA2G2A","magenta"
"29","RNU4-1","turquoise"
"30","CHI3L1","blue"
"31","AC093909.6","turquoise"
"32","MIR320D1","blue"
"33","TRGJP2","blue"
"34","LTF","turquoise"
"35","AC233266.2","blue"
"36","POU3F4","turquoise"
"37","LINC00689","blue"
"38","SFRP2","turquoise"
"39","RN7SL3","black"
"40","RNF5P1","blue"
"41","AC134684.3","blue"
"42","MIR4530","midnightblue"
"43","TRBJ2-2P","salmon"
"44","MIR4645","blue"
"45","CNN2P8","darkolivegreen"
"46","MIR27A","turquoise"
"47","NEFL","turquoise"
"48","LDHAP4","purple"
"49","RPL7AP28","cyan"
"50","MICF","turquoise"
"51","MIR3149","turquoise"
"52","SNORD3A","blue"
"53","IGF2","turquoise"
"54","CCL3L1","pink"
"55","MIR4678","blue"
"56","AL731566.2","magenta"
"57","TRBD1","turquoise"
"58","AL355480.1","blue"
"59","AC008060.4","white"
"60","KCNE5","turquoise"
"61","AC139426.1","blue"
"62","MIR4666A","red"
"63","TRBJ2-7","turquoise"
"64","CCL19","turquoise"
"65","AC116614.1","black"
"66","CCL4","pink"
"67","IGFBP3","salmon"
"68","MIR24-2","blue"
"69","COL20A1","pink"
"70","MAGEE2","blue"
"71","RNY3P16","steelblue"
"72","MT-TN","turquoise"
"73","AL355309.1","turquoise"
"74","SLC17A7","turquoise"
"75","GSX1","red"
"76","IGLC2","turquoise"
"77","MIR23A","turquoise"
"78","ZNF300P1","turquoise"
"79","AZGP1","blue"
"80","RNU6-892P","turquoise"
"81","DLX1","darkgrey"
"82","AC006466.1","red"
"83","HOXA2","blue"
"84","HOXD13","blue"
"85","SOX3","blue"
"86","MIR331","turquoise"
"87","MMP9","turquoise"
"88","AC138207.3","blue"
"89","RNU6-2","turquoise"
"90","S100A8","turquoise"
"91","POSTN","blue"
"92","GJB2","blue"
"93","HES5","blue"
"94","AQP1","blue"
"95","FIBIN","blue"
"96","RMRP","turquoise"
"97","AC245452.2","turquoise"
"98","GPX3","turquoise"
"99","ZNF603P","turquoise"
"100","RNU5B-2P","blue"
"101","IGHD7-27","turquoise"
"102","INSM1","blue"
"103","RNU7-160P","blue"
"104","RPS29P6","blue"
"105","RNU6-322P","turquoise"
"106","SNORD3B-1","blue"
"107","MIR5695","turquoise"
"108","RNA5SP508","black"
"109","SLN","turquoise"
"110","ARC","pink"
"111","RNY1","blue"
"112","HLA-DQA1","yellow"
"113","TUBB2BP1","blue"
"114","TRBJ2-1","blue"
"115","RNY3P8","blue"
"116","C5orf38","turquoise"
"117","AL355480.3","turquoise"
"118","PSPHP1","black"
"119","DLX5","darkgrey"
"120","AL355974.1","lightcyan"
"121","MIR4482","midnightblue"
"122","RNU6-1011P","blue"
"123","AEBP1","turquoise"
"124","RNU6-415P","turquoise"
"125","AC006058.4","blue"
"126","RNU6-722P","turquoise"
"127","MIR563","blue"
"128","BX284632.1","blue"
"129","C1QL4","turquoise"
"130","TRBJ2-6","darkgrey"
"131","AC006058.1","blue"
"132","DLX2","darkgrey"
"133","AMH","blue"
"134","RNU6-945P","turquoise"
"135","HLA-H","blue"
"136","SLPI","red"
"137","AC009902.3","midnightblue"
"138","SST","blue"
"139","VN1R85P","blue"
"140","AL023803.1","lightyellow"
"141","RNU4-39P","blue"
"142","AC011904.1","blue"
"143","XIST","blue"
"144","TNF","pink"
"145","SAA1","blue"
"146","AC139453.1","lightgreen"
"147","MIR3671","turquoise"
"148","ECEL1","greenyellow"
"149","CD24","blue"
"150","RNU6-703P","blue"
"151","RNU6-30P","turquoise"
"152","DKK1","purple"
"153","APLNR","turquoise"
"154","EMILIN3","blue"
"155","SOX1-OT","lightcyan"
"156","EN1","blue"
"157","SNORD3B-2","blue"
"158","RNU6-45P","blue"
"159","NAP1L6","blue"
"160","RNU6-925P","blue"
"161","FP671120.4","turquoise"
"162","MLLT10P1","blue"
"163","RNVU1-19","darkgreen"
"164","C6orf15","turquoise"
"165","PEG10","black"
"166","NKX2-5","blue"
"167","AC007952.4","blue"
"168","TRBJ1-4","saddlebrown"
"169","SLITRK3","turquoise"
"170","TAF9P3","turquoise"
"171","RNU6-1091P","blue"
"172","TRBJ1-5","salmon"
"173","MT1G","blue"
"174","AC104072.1","blue"
"175","AL159169.1","blue"
"176","AC109583.2","blue"
"177","F8A3","turquoise"
"178","MIR138-1","blue"
"179","HLA-DQA2","blue"
"180","RNU6-510P","blue"
"181","HOXD10","blue"
"182","PI3","saddlebrown"
"183","MIR4521","turquoise"
"184","RNA5SP490","turquoise"
"185","SP8","darkgrey"
"186","LSP1P2","lightgreen"
"187","C1QL2","turquoise"
"188","SMIM32","red"
"189","MIR4477B","red"
"190","SOX1","lightcyan"
"191","RNU6-994P","turquoise"
"192","TRBJ2-4","turquoise"
"193","IL13RA2","turquoise"
"194","RNU6-483P","blue"
"195","S100A9","turquoise"
"196","HLA-DRB6","blue"
"197","AF228730.4","greenyellow"
"198","AC004947.2","black"
"199","AC073261.1","tan"
"200","RNY4P37","turquoise"
"201","ADRA2A","turquoise"
"202","VTRNA1-2","yellowgreen"
"203","LINC00404","lightcyan"
"204","AL139231.1","turquoise"
"205","IGLC3","turquoise"
"206","AL031430.1","lightgreen"
"207","TRGJP1","turquoise"
"208","TBX5-AS1","darkgrey"
"209","AC233266.1","blue"
"210","MIR219A1","blue"
"211","HOXB2","cyan"
"212","RPL39P40","grey60"
"213","TRBJ1-6","salmon"
"214","PCDH8","blue"
"215","HIST1H4J","turquoise"
"216","MIR3193","blue"
"217","CH25H","pink"
"218","MIR3685","turquoise"
"219","DES","turquoise"
"220","AC015813.4","turquoise"
"221","IGHJ3","blue"
"222","EGFR","black"
"223","AL136380.1","blue"
"224","STK19B","blue"
"225","ENTPD2","red"
"226","AL021937.2","blue"
"227","AC007423.1","blue"
"228","DDX3Y","darkturquoise"
"229","GPNMB","turquoise"
"230","TRBV26OR9-2","turquoise"
"231","IRX1","turquoise"
