"Module","StudySRP027383","StudySRP091303","GenderM","DiseaseCON","DiseaseGrade_2","DiseaseGrade_3","DiseaseGrade_4","Age","Tissueprefrontal_cortex","p.value.StudySRP027383","p.value.StudySRP091303","p.value.GenderM","p.value.DiseaseCON","p.value.DiseaseGrade_2","p.value.DiseaseGrade_3","p.value.DiseaseGrade_4","p.value.Age","p.value.Tissueprefrontal_cortex"
"MEHuAgeGBsplit_10","-1.29150162786473e-15","3.03576608295941e-17","-8.09465341977678e-16","1.58878986356026e-15","0.0110941209570653","0.0230899566645851","-0.0122010111120473","-8.43509290193722e-17","-7.11236625150491e-17","0.99999999999998","1","0.999999999999987","0.999999999999975","0.826902118787588","0.648984611795081","0.809945839433532","0.999999999999999","0.999999999999999"
"MEHuAgeGBsplit_12","-2.00360561475321e-16","-8.3320936955511e-17","-2.04588949948015e-16","3.36102673470506e-16","-0.00604834520459723","0.0096010288057295","-0.000607013644592073","1.69135538907739e-17","4.7271214720368e-17","0.999999999999997","0.999999999999999","0.999999999999997","0.999999999999995","0.905103863706397","0.849901120605282","0.990453946040884","1","0.999999999999999"
"MEHuAgeGBsplit_16","2.58365377703296e-16","2.49908600757909e-17","2.6665952432281e-16","-3.47920477150598e-16","0.0367125087372998","-0.0141793938048248","-0.00593036570490672","5.83300768797201e-17","3.17671236538253e-17","0.999999999999996","1","0.999999999999996","0.999999999999994","0.469150025308128","0.779864407447949","0.906946448922288","0.999999999999999","1"
"MEHuAgeGBsplit_31","2.6779793660392e-17","-1.48908392127306e-17","1.55339066262861e-16","-9.46779547122967e-17","-0.00742448212791673","0.0632431348241757","-0.00542450124688337","4.57262266245761e-17","1.53414607406699e-17","1","1","0.999999999999998","0.999999999999998","0.883651715344485","0.212105172767308","0.914852495224121","0.999999999999999","1"
"MEHuAgeGBsplit_23","3.17454396103756e-16","-2.59124319224036e-17","1.92771146267923e-16","-3.45209971719385e-16","-0.00500769626908869","0.0159881798295251","-0.00503084817619572","-5.89805981832114e-17","1.90819582357449e-17","0.999999999999995","1","0.999999999999997","0.999999999999995","0.921372996590361","0.752644919974976","0.921010665694841","0.999999999999999","1"
"MEHuAgeGBsplit_35","2.02745806254789e-16","3.36102673470506e-18","5.57279916657549e-17","-2.29850860566927e-16","0.0210382521903786","-0.0265004034278976","-0.00144620150224017","-5.68121938382404e-17","-6.26668855696622e-17","0.999999999999997","1","0.999999999999999","0.999999999999996","0.678347978066536","0.601374024297215","0.97725918750668","0.999999999999999","0.999999999999999"
"MEHuAgeGBsplit_08","-1.28640587765405e-16","6.34664846718702e-17","1.7726705520138e-17","1.39563924653197e-16","0.0248172931368532","0.0168718826993612","-0.0263594966266917","3.89228579922296e-17","2.47740196412938e-17","0.999999999999998","0.999999999999999","1","0.999999999999998","0.624675744091323","0.739454795832805","0.603309752642375","0.999999999999999","1"
"MEHuAgeGBsplit_20","1.65557671738537e-16","-3.27971157176865e-18","8.41882986934994e-17","-2.35922392732846e-16","0.0366858803816994","-0.0341938348081052","-0.00535220735266134","1.21430643318376e-17","2.32019264911898e-17","0.999999999999997","1","0.999999999999999","0.999999999999996","0.469472667794092","0.500202141643445","0.915983064995851","1","1"
"MEHuAgeGBsplit_37","2.00360561475321e-16","6.81963166493382e-17","2.14455189717633e-16","-3.17237555669259e-16","-0.00660085704226488","0.0133461853476978","-0.00235314913234962","-2.94902990916057e-17","1.43114686768087e-17","0.999999999999997","0.999999999999999","0.999999999999997","0.999999999999995","0.896481751308502","0.792496223229315","0.963006100242591","1","1"
"MEHuAgeGBsplit_27","3.49113099540332e-17","-7.68699340292223e-17","3.42607886505419e-17","-2.84060969191202e-17","-0.00991562163590681","0.0819206357177198","-0.0118591806606234","2.94902990916057e-17","3.25260651745651e-17","0.999999999999999","0.999999999999999","0.999999999999999","1","0.845043974072625","0.105790033211276","0.815173205227101","1","1"
"MEHuAgeGBsplit_05","4.60894343523588e-16","7.80354513646442e-17","3.58654078658205e-16","-6.67218016947579e-16","-0.00345089793376552","0.0465905339343311","-0.0212124021314885","-1.04083408558608e-17","-2.81892564846231e-17","0.999999999999993","0.999999999999999","0.999999999999994","0.99999999999999","0.94577065207783","0.358190967612134","0.675835819744872","1","1"
"MEHuAgeGBsplit_01","3.87927537315313e-16","-1.37043154602168e-16","2.42861286636753e-16","-4.11996825544492e-16","-0.0457676579581186","0.0879562479156024","-0.0131174997530799","4.59701721133854e-17","8.50014503228635e-17","0.999999999999994","0.999999999999998","0.999999999999996","0.999999999999994","0.366752873718533","0.0823833396074599","0.79597286362852","0.999999999999999","0.999999999999999"
