"","gene_name_length"
"0610005C13Rik",7534
"0610006L08Rik",34996
"0610009B22Rik",3489
"0610009E02Rik",13695
"0610009L18Rik",2513
"0610009O20Rik",12381
"0610010F05Rik",68679
"0610010K14Rik",2709
"0610012D04Rik",2224
"0610012G03Rik",1445
"0610025J13Rik",10394
"0610030E20Rik",5832
"0610031O16Rik",29690
"0610033M10Rik",1254
"0610037L13Rik",9572
"0610038B21Rik",6843
"0610039K10Rik",952
"0610040B10Rik",3458
"0610040F04Rik",83896
"0610040J01Rik",87263
"0610043K17Rik",45399
"0710001A04Rik",5378
"1010001B22Rik",888
"1010001N08Rik",3481
"1110002E22Rik",16455
"1110002J07Rik",7770
"1110002L01Rik",23134
"1110002O04Rik",1275
"1110003F10Rik",767
"1110004E09Rik",9119
"1110004F10Rik",65814
"1110006O24Rik",768
"1110008E08Rik",723
"1110008F13Rik",10436
"1110008L16Rik",82957
"1110008P14Rik",4842
"1110012L19Rik",3541
"1110015O18Rik",17354
"1110017D15Rik",12325
"1110018N20Rik",4107
"1110019B22Rik",3368
"1110019D14Rik",172860
"1110020A21Rik",2744
"1110025L11Rik",591
"1110025M09Rik",855
"1110028F11Rik",3936
"1110028F18Rik",7678
"1110032A03Rik",12693
"1110032F04Rik",2578
"1110034G24Rik",64125
"1110035H17Rik",1241
"1110036E04Rik",4272
"1110038B12Rik",2234
"1110038F14Rik",2474
"1110046J04Rik",24615
"1110051M20Rik",169637
"1110057P08Rik",465
"1110059E24Rik",71775
"1110059G10Rik",5912
"1110060G06Rik",499
"1110065P20Rik",2117
"1190001M18Rik",1270
"1190002N15Rik",20218
"1190005I06Rik",39031
"1190007I07Rik",3378
"1190028D05Rik",46729
"1200007C13Rik",5954
"1300002E11Rik",14723
"1300014J16Rik",1337
"1300017J02Rik",54562
"1500002C15Rik",2183
"1500002F19Rik",56459
"1500004A13Rik",49605
"1500005C15Rik",2394
"1500009C09Rik",8357
"1500009L16Rik",39898
"1500011B03Rik",5781
"1500011K16Rik",1101
"1500012K07Rik",22724
"1500015A07Rik",9528
"1500015L24Rik",17500
"1500015O10Rik",11977
"1500026H17Rik",14496
"1500035N22Rik",12327
"1520401A03Rik",18296
"1600002D24Rik",97955
"1600002K03Rik",2203
"1600010M07Rik",152827
"1600012H06Rik",16387
"1600012P17Rik",12763
"1600014C10Rik",14352
"1600014C23Rik",981
"1600015I10Rik",3793
"1600017P15Rik",914
"1600019K03Rik",6250
"1600020E01Rik",56220
"1600023N17Rik",1007
"1600025M17Rik",3057
"1600027J07Rik",3657
"1600029O15Rik",5912
"1700001C02Rik",18042
"1700001C19Rik",24643
"1700001D01Rik",7351
"1700001F09Rik",5429
"1700001G01Rik",118509
"1700001G11Rik",1796
"1700001G17Rik",889
"1700001J03Rik",2864
"1700001J04Rik",1339
"1700001J11Rik",2664
"1700001K19Rik",14932
"1700001L05Rik",13436
"1700001L19Rik",16811
"1700001N15Rik",2132
"1700001O22Rik",8893
"1700001P01Rik",4438
"1700003C15Rik",80056
"1700003D09Rik",7566
"1700003E16Rik",6542
"1700003E24Rik",720
"1700003F12Rik",2919
"1700003G13Rik",3815
"1700003G18Rik",11401
"1700003H04Rik",24750
"1700003I16Rik",16091
"1700003I22Rik",1226
"1700003L19Rik",37264
"1700003M07Rik",3284
"1700003N22Rik",808
"1700003P14Rik",33345
"1700006A11Rik",25052
"1700006E09Rik",7986
"1700006F04Rik",2340
"1700006H21Rik",4777
"1700006J14Rik",20180
