"","NA.1","NA.10","NA.11","NA.2","NA.3","NA.4","NA.5","NA.6","NA.7","NA.8","NA.9","NA"
"A1BG",0.767286453606146,0.898564506015617,0.951085898747373,0.60751672060919,1.29497831318163,0.849706732644363,0.839841255323373,1.64836512537892,1.2575901203404,0.700913539929897,0.863669037578634,0.9103255748869
"A2M",5.88651379973268,5.54982919321238,4.71491817118303,6.54370108113989,6.01508806126449,6.49973833366287,5.88942248865322,4.61422568816139,4.05634766673665,5.85471320825997,3.93792305334455,5.58499845486349
"AAAS",4.15221317330639,5.18966194588227,4.10520674620526,5.41001710399282,4.28570609978297,5.43832261253249,4.13494096621969,5.39722261351654,4.09596939251254,5.31173300239858,4.13156662981689,5.65656393651626
"AACS",0.936162153620843,2.67023538282459,1.04749580716591,2.83359937163297,1.25003211969398,2.69798425101988,0.886088917167511,3.24522015752627,1.08337092086645,3.03774104597858,1.0486435449181,2.84861381339763
"AADAT",2.65833642110504,3.77575843344739,3.13469071884056,3.70479543177886,3.27296137483312,3.6692377929996,2.86816838982556,3.36437046538985,2.85304407256321,3.84753808181996,3.06256909656815,3.25286549503133
"AAED1",2.2229798674964,3.39263854591725,1.98668087522472,3.79442892364514,2.67803150235708,3.62195314840177,2.24397306499951,3.75727261334781,1.91077830141304,3.91611198927747,1.91076173771478,3.79032166309948
"AAGAB",1.4538658765594,3.74050853824906,1.03255837016641,3.75946875263892,1.68334778610791,3.57898601200844,1.12293407728933,4.02964419971796,1.21441560819918,3.87945524137579,1.19529497200638,4.07904749597376
"AAK1",2.00093951973634,1.28571610606169,1.29775017491883,1.97794798475899,2.32375633575115,1.82220067011349,2.01752523393894,1.90141922237678,1.65257752382543,1.43076324893909,1.36963463084306,1.84550922188774
"AAMP",2.30111657709034,7.33222504242519,2.41295316241914,7.58050367425332,2.68972090443039,7.56281045765217,1.91574482819958,7.76519257770098,2.39103062051341,7.69400394587663,2.17121270112001,8.0090008441329
"AAR2",1.76334814665921,3.88741713494169,1.67275142315725,3.92889634040869,2.02508746730538,4.12844627298277,2.00255057468653,4.14505116430203,1.63758927078124,3.9245238368995,1.76270791435266,4.23805026897014
"AARS",4.46958921750826,7.44941779372373,4.53974672424003,7.74207155613911,5.38462343089966,7.67248326127527,4.75058760869878,6.94031298029968,4.52965808318296,7.77746176222519,4.62193967774287,7.29983249126892
"AASDH",1.32538061621014,2.40337646648985,1.27119264692094,2.46106762806025,1.61251117528131,2.34060045439063,1.02080564248675,2.55614662093472,1.323896039689,2.44314259328172,1.13266410278121,2.56660691041223
"AASDHPPT",0.824494575784232,1.26570761575209,0.62648668571611,1.53420023481545,0.717108474476651,1.73846899108156,0.677824384236051,1.54740653619907,0.791010700395521,1.48647079377191,1.14482133951349,1.63103456674763
"AASS",1.97899828127881,2.15858851288332,1.53853274936599,2.61691215779281,2.22784683452172,2.37559210559909,1.6010921614312,2.66472678711309,1.81714194825902,2.44317298403284,1.60498055858784,2.30034089144935
"AATBC",1.32273536601218,0.799611969097791,1.03245688484371,0.616589045150783,0.732775776389125,0.667336076810155,1.16935431255531,1.57166570047772,0.382428161802677,0.683708310194804,0.887433073616812,0.584843988397986
"AATF",1.60514234284618,3.36636247450199,1.46260097543776,3.14426847324664,1.95182067203227,3.13073004362673,1.4522905917731,3.56058217212728,1.7993146259776,3.65992436825921,1.75662580348821,3.30741709933058
"AATK",0.42688711512884,0.846718915928068,0.0836652761795527,1.0195392081923,0.645303509468119,1.02854660360762,0.2797723165231,1.41677795797583,0.0946364289283782,0.852680854687272,0.0480933184763905,0.577209842523988
"ABCA1",1.47674481831308,0.0861503738373692,0.203721188027329,0.775096881060076,2.17487498390012,0.586996895798037,1.58422250520583,1.02984543656767,0.120408536227296,0.143849408684297,0.182404489133794,0.596570456018212
"ABCA2",3.32014741378427,5.63513200312651,2.75017482857845,6.00378110648881,3.27029939172338,5.94316627361158,2.90095816031545,5.68029806588803,2.92103843704555,5.89790785209192,2.65251590751802,5.50871340236849
"ABCA3",1.80482138411178,4.43138882078402,2.0935412881096,4.60316185067676,2.16984485729643,4.63707991848197,1.92660619426137,4.63310618483223,2.40132635091018,4.75188480199847,2.27402075093514,4.61211002418528
"ABCA4",0.768088071685427,0.395312579629574,0.18423560681414,0.934632189076066,1.11055303805676,0.962178389809896,0.473809775573528,1.17292887727307,0.1666473059778,0.422222847160965,0.170780501508558,0.621641334736747
"ABCA7",0.411126429359661,1.79401693626587,0.20472226989203,2.92776233256488,0.93557444407024,2.58470348675228,0.614745826573304,2.07557107186536,0.457638860878128,2.20198701733568,0.29539145663353,2.66578615410569
"ABCB10",2.15412153054841,3.52040336421326,2.21012498667198,3.43327920778666,2.37123041105593,3.32581432445329,1.84361961826029,3.58915162898412,1.95830785122003,3.75551525629202,2.05858687501391,3.4341570330421
"ABCB7",0.787105429233292,1.83554774265924,0.870030378895221,1.71737682593104,0.9429359397605,1.46612461177669,0.588455282704895,2.28832956053639,0.807963650746231,2.25038671715571,0.636173526104494,1.86305849034575
"ABCB8",1.31614240952765,3.74605302266825,0.965537331370186,3.79434449869859,2.18297464241373,4.0122128075768,1.72100166369398,3.84409967447274,1.79781605104867,3.42052562111886,1.37931125160723,4.06264191143168
"ABCB9",1.18228808270682,2.49632962900424,1.02834930665028,2.57897869419569,1.38842915439877,2.43489301631957,0.85010150960639,3.39546784029756,1.24011573550509,2.92051712423008,1.11639578821572,2.98356511187225
"ABCC1",1.42301866711043,2.57373727230254,1.25895159463418,2.82554370585448,1.4795576057214,2.70976740022956,1.16665535219875,3.19801732982234,1.53041428162622,2.88429537572917,1.39514113289298,3.07211678876209
"ABCC10",1.73434449564902,3.45760758696691,1.85192538772208,3.58747944930912,1.94827475704474,3.58903933321475,1.60652750754392,3.87543711009858,1.55374097860638,3.6717469454004,1.60562953445614,3.38891569045997
"ABCC3",0.445872436067643,1.81243462605344,0.279729615978351,2.55149811909712,1.70927334358309,2.43032769825653,0.759503951244347,1.66332097155776,0.273326265585646,1.86480682501775,0.376842057452757,1.51588606081103
"ABCC4",0.596578838953036,0.967234066753791,0.475793333883689,1.25196937235963,0.646295966637747,1.05424120314412,0.498991120239169,1.45297215360627,0.3940949908734,1.09560412141231,0.497457234012571,1.20650103012277
"ABCC5",1.65281342988184,2.70116226455276,1.78450509424402,2.96248885434557,2.0476867268941,2.80828332893909,1.8424022490102,3.02057333372188,1.72490853610614,3.05606587728767,1.6913944721084,2.77681679851014
"ABCC6P2",0.246998723722276,1.88699979505159,0,1.6741372648026,0.447758774427817,2.09950526168049,0.579488215349899,1.07582216100076,0.397382147444054,2.23809243627753,0.212327032526887,1.85248644698066
