"","NPC","NSC","No_data","8","dentate_gyrus","NPC","NSC","No_data","8","dentate_gyrus"
"NPC",1,0.908513602020511,0.975497093782556,0.975497093782556,0.975497093782556,NA,0,0,0,0
"NSC",0.908513602020511,1,0.978185687105735,0.978185687105735,0.978185687105735,0,NA,0,0,0
"No_data",0.975497093782556,0.978185687105735,1,1,1,0,0,NA,0,0
"8",0.975497093782556,0.978185687105735,1,1,1,0,0,0,NA,0
"dentate_gyrus",0.975497093782556,0.978185687105735,1,1,1,0,0,0,0,NA
