"","NPC","NSC"
"0610009O20Rik",6.07228681560131,6.57842733247722
"0610030E20Rik",2.9561279024662,4.05130646995844
"0610040J01Rik",0.784866640245667,1.07943266449627
"1110002J07Rik",0.911144046631705,1.4079550385475
"1110025M09Rik",1.02917129289096,1.2950059617381
"1700001G11Rik",2.03070081642684,2.43087415443873
"1700001G17Rik",2.24540268138737,2.63370409420904
"1700007L15Rik",4.14678276847616,4.78464080110512
"1700010I14Rik",0.944489808357845,1.28359581327515
"1700017B05Rik",2.93447049491146,4.38990110360608
"1700017J07Rik",0.334840873824155,1.45777364320529
"1700028J19Rik",1.30714524675142,2.23463255930317
"1700037H04Rik",4.95047513448846,5.45561392653438
"1700067K01Rik",1.1477870378066,1.30864304721293
"1700084E18Rik",1.37268950903861,1.62075314537016
"1700086O06Rik",1.79285884552106,2.01293493397117
"1700097N02Rik",0.173614688839601,0.810571134422214
"1810011H11Rik",0.133474141324182,1.39106109203151
"1810012K16Rik",1.12811713214378,1.22897008970378
"1810019N24Rik",0.836144817901945,1.07732929666336
"1810059C17Rik",0.667859923914705,1.05175057970593
"1810062G17Rik",0.452047976174621,0.61142766224052
"2010007H06Rik",0.49151610716036,0.515657369631489
"2010008C14Rik",0.863665427743909,2.99076751971305
"2200002J24Rik",0,0.707920486696785
"2210016F16Rik",3.11649470264653,3.51921890312432
"2310022A10Rik",2.42950989944778,3.329880650809
"2310033P09Rik",4.44872827694912,4.78406414702669
"2310040G24Rik",2.81088953970884,3.20494750576696
"2310047D07Rik",0.0180117741915148,0.69670561801762
"2310074N15Rik",1.58276499517599,1.17745533893413
"2500002B13Rik",1.57723181387574,2.18555666598439
"2610017A05Rik",1.93684072471419,2.02971746536901
"2610042L04Rik",0.404993117896265,0.82715644947181
"2610316D01Rik",1.46792928114091,1.87430281898633
"2610507B11Rik",3.87759660825582,4.75888684056342
"2700033N17Rik",0.472409231163095,0.624340930485223
"2700038G22Rik",3.63652413643522,4.38163759040919
"2700046A07Rik",3.43625056946882,3.57678710534562
