"","NPC","NSC","No_data","8","dentate_gyrus","NPC","NSC","No_data","8","dentate_gyrus"
"NPC",1,0.911445399323904,0.975456644768654,0.975456644768654,0.975456644768654,NA,0,0,0,0
"NSC",0.911445399323904,1,0.979666925264937,0.979666925264937,0.979666925264937,0,NA,0,0,0
"No_data",0.975456644768654,0.979666925264937,1,1,1,0,0,NA,0,0
"8",0.975456644768654,0.979666925264937,1,1,1,0,0,0,NA,0
"dentate_gyrus",0.975456644768654,0.979666925264937,1,1,1,0,0,0,0,NA
