"","NPC","NSC","No_data","8","dentate_gyrus","NPC","NSC","No_data","8","dentate_gyrus"
"NPC",1,0.911535310055559,0.975482561734565,0.975482561734565,0.975482561734565,NA,0,0,0,0
"NSC",0.911535310055559,1,0.979687155373669,0.979687155373669,0.979687155373669,0,NA,0,0,0
"No_data",0.975482561734565,0.979687155373669,1,1,1,0,0,NA,0,0
"8",0.975482561734565,0.979687155373669,1,1,1,0,0,0,NA,0
"dentate_gyrus",0.975482561734565,0.979687155373669,1,1,1,0,0,0,0,NA
