"","8"
"0610009O20Rik",6.32535707403927
"0610030E20Rik",3.50371718621232
"0610040J01Rik",0.932149652370969
"1110002J07Rik",1.1595495425896
"1110025M09Rik",1.16208862731453
"1700001G11Rik",2.23078748543278
"1700001G17Rik",2.4395533877982
"1700007L15Rik",4.46571178479064
"1700010I14Rik",1.1140428108165
"1700017B05Rik",3.66218579925877
"1700017J07Rik",0.896307258514722
"1700028J19Rik",1.77088890302729
"1700037H04Rik",5.20304453051142
"1700067K01Rik",1.22821504250976
"1700084E18Rik",1.49672132720438
"1700086O06Rik",1.90289688974612
"1700097N02Rik",0.492092911630907
"1810011H11Rik",0.762267616677844
"1810012K16Rik",1.17854361092378
"1810019N24Rik",0.956737057282654
"1810059C17Rik",0.859805251810317
"1810062G17Rik",0.53173781920757
"2010007H06Rik",0.503586738395924
"2010008C14Rik",1.92721647372848
"2200002J24Rik",0.353960243348392
"2210016F16Rik",3.31785680288542
"2310022A10Rik",2.87969527512839
"2310033P09Rik",4.6163962119879
"2310040G24Rik",3.0079185227379
"2310047D07Rik",0.357358696104567
"2310074N15Rik",1.38011016705506
"2500002B13Rik",1.88139423993007
"2610017A05Rik",1.9832790950416
"2610042L04Rik",0.616074783684038
"2610316D01Rik",1.67111605006362
"2610507B11Rik",4.31824172440962
"2700033N17Rik",0.548375080824159
"2700038G22Rik",4.0090808634222
"2700046A07Rik",3.50651883740722
"2700099C18Rik",1.09381451520249
"2810006K23Rik",4.68295899486402
"2810025M15Rik",6.59488108618845
"2810402E24Rik",4.00426890120068
"2810408I11Rik",2.1228765356855
"2810414N06Rik",1.4353221733869
"2810428J06Rik",1.3029653534286
"3110031N09Rik",0.743048916738466
"3110062M04Rik",2.60083406203201
"3110082I17Rik",1.37272451695425
"3830403N18Rik",0.580657502769544
"4632415L05Rik",3.7089918146629
"4833411C07Rik",1.08523027302009
"4833445I07Rik",1.01185820367665
"4921501I09Rik",1.17123562511773
"4921504A21Rik",0.761427364215775
"4921507G05Rik",1.29345371916914
"4921522P10Rik",0.63826070187167
"4921534A09Rik",0.434882669109048
"4930426L09Rik",1.16365632592638
"4930430E12Rik",0.678661255791183
"4930432K21Rik",1.231766460161
"4930447K03Rik",0.580437205255667
"4930520O04Rik",1.47022231067018
"4930524J08Rik",1.33050080652034
"4930539J05Rik",0.729323623167734
"4930547M16Rik",0.493941247724924
