"","NPC","NSC","No_data","8","dentate_gyrus","NPC","NSC","No_data","8","dentate_gyrus"
"NPC",1,0.901728236269434,0.974332750281652,0.974332750281652,0.974332750281652,NA,0,0,0,0
"NSC",0.901728236269434,1,0.975900292636571,0.975900292636571,0.975900292636571,0,NA,0,0,0
"No_data",0.974332750281652,0.975900292636571,1,1,1,0,0,NA,0,0
"8",0.974332750281652,0.975900292636571,1,1,1,0,0,0,NA,0
"dentate_gyrus",0.974332750281652,0.975900292636571,1,1,1,0,0,0,0,NA
