"","Gene","Category"
"169","Gjc3","NPCbyNSC"
"170","Cd9","NPCbyNSC"
"171","Rwdd3","NPCbyNSC"
"172","Hist1h2bc","NPCbyNSC"
"173","Galr1","NPCbyNSC"
"174","Npdc1","NPCbyNSC"
"175","Ccdc153","NPCbyNSC"
"176","Slc22a4","NPCbyNSC"
"177","Gm17750","NPCbyNSC"
"178","Degs1","NPCbyNSC"
"179","Mir130a","NPCbyNSC"
"180","Cntn2","NPCbyNSC"
"181","Tmem125","NPCbyNSC"
"182","Snhg20","NPCbyNSC"
"183","Hopx","NPCbyNSC"
"184","Cpe","NPCbyNSC"
"185","Opn1sw","NPCbyNSC"
"186","Plppr3","NPCbyNSC"
"187","Gm38224","NPCbyNSC"
"188","Izumo4","NPCbyNSC"
"189","Celf3","NPCbyNSC"
"190","Cldn10","NPCbyNSC"
"191","Tmsb10","NPCbyNSC"
"192","Sfrp4","NPCbyNSC"
"193","Gm20083","NPCbyNSC"
"194","Dcx","NPCbyNSC"
"195","Tubb2b","NPCbyNSC"
"196","Sparcl1","NPCbyNSC"
"197","Tekt2","NPCbyNSC"
"198","Traj27","NPCbyNSC"
"199","Cdk5r1","NPCbyNSC"
"200","Tmem151a","NPCbyNSC"
"201","Nat8f1","NPCbyNSC"
"202","Ttyh2","NPCbyNSC"
"203","Atp1b2","NPCbyNSC"
"204","Fam183b","NPCbyNSC"
"205","Gsn","NPCbyNSC"
"206","Gpr85","NPCbyNSC"
"207","Ccdc190","NPCbyNSC"
"208","Fbll1","NPCbyNSC"
"209","Gm45169","NPCbyNSC"
"210","Pdlim3","NPCbyNSC"
"211","Fez1","NPCbyNSC"
"212","Dmrta2os","NPCbyNSC"
"213","Mycl","NPCbyNSC"
"214","Slc30a10","NPCbyNSC"
"215","Tmem35a","NPCbyNSC"
"216","Gm11274","NPCbyNSC"
"217","Hes1","NPCbyNSC"
"218","Rsph9","NPCbyNSC"
"219","Ss18l2","NPCbyNSC"
"220","Sema3c","NPCbyNSC"
"221","Gpr182","NPCbyNSC"
"222","Slc6a13","NPCbyNSC"
"223","Tnfaip6","NPCbyNSC"
"224","Ppp1r16b","NPCbyNSC"
"225","Zfp811","NPCbyNSC"
"226","Uchl1","NPCbyNSC"
"227","1810032O08Rik","NPCbyNSC"
"228","Lrpap1","NPCbyNSC"
"229","Basp1","NPCbyNSC"
"230","Adamts4","NPCbyNSC"
"231","Abca8a","NPCbyNSC"
"232","S1pr5","NPCbyNSC"
"233","Grb14","NPCbyNSC"
"234","Cnmd","NPCbyNSC"
"235","BC031181","NPCbyNSC"
"236","Zfp57","NPCbyNSC"
"237","Birc7","NPCbyNSC"
"238","Tmem158","NPCbyNSC"
"239","Gm32391","NPCbyNSC"
"240","Mro","NPCbyNSC"
"241","Actl6b","NPCbyNSC"
"242","Nap1l3","NPCbyNSC"
"243","Hdac11","NPCbyNSC"
"244","Gstm7","NPCbyNSC"
"245","Parp6","NPCbyNSC"
"246","Slc17a6","NPCbyNSC"
"247","Col1a2","NPCbyNSC"
"248","2410006H16Rik","NPCbyNSC"
"249","2810468N07Rik","NPCbyNSC"
"250","Kcnj8","NPCbyNSC"
"251","Ntsr2","NPCbyNSC"
"252","Tmem47","NPCbyNSC"
"253","Snhg12","NPCbyNSC"
"254","Nat8f4","NPCbyNSC"
"255","Ldhb","NPCbyNSC"
"256","Gstt1","NPCbyNSC"
"257","Sat2","NPCbyNSC"
"258","Dixdc1","NPCbyNSC"
"259","Gm6133","NPCbyNSC"
"260","Tmem52","NPCbyNSC"
"261","Dancr","NPCbyNSC"
"262","Gm11627","NPCbyNSC"
"263","Efna1","NPCbyNSC"
"264","Gm47232","NPCbyNSC"
"265","Edn3","NPCbyNSC"
"266","Hcfc1r1","NPCbyNSC"
"267","Gprc5b","NPCbyNSC"
"268","3110083C13Rik","NPCbyNSC"
"269","Qdpr","NPCbyNSC"
"270","Pcp4","NPCbyNSC"
"271","Ctgf","NPCbyNSC"
"272","Pllp","NPCbyNSC"
"273","Gabbr1","NPCbyNSC"
"274","Pcolce","NPCbyNSC"
"275","Gm25442","NPCbyNSC"
"276","Them4","NPCbyNSC"
"277","Spag8","NPCbyNSC"
"278","AC163291.1","NPCbyNSC"
"279","Rdh5","NPCbyNSC"
"280","Klhdc8b","NPCbyNSC"
"281","Sv2a","NPCbyNSC"
"282","Snord104","NPCbyNSC"
"283","Ndp","NPCbyNSC"
"284","AC157572.4","NPCbyNSC"
"285","Glud1","NPCbyNSC"
"286","Gm17597","NPCbyNSC"
"287","Gm14719","NPCbyNSC"
"288","Enho","NPCbyNSC"
"289","Gdpd2","NPCbyNSC"
"290","Col1a1","NPCbyNSC"
"291","Nrn1","NPCbyNSC"
"292","Map1lc3a","NPCbyNSC"
"293","Tbx6","NPCbyNSC"
"294","Kif21b","NPCbyNSC"
"295","Fahd2a","NPCbyNSC"
"296","Dbi","NPCbyNSC"
"297","Ina","NPCbyNSC"
"298","Wdr54","NPCbyNSC"
"299","Fam213a","NPCbyNSC"
"300","Myrf","NPCbyNSC"
"301","S100a16","NPCbyNSC"
"302","Tnfrsf12a","NPCbyNSC"
"303","Apc2","NPCbyNSC"
"304","1110038B12Rik","NPCbyNSC"
"305","Mageh1","NPCbyNSC"
"306","A730094K22Rik","NPCbyNSC"
"307","Pik3ip1","NPCbyNSC"
"308","Cpa3","NPCbyNSC"
"309","B230311B06Rik","NPCbyNSC"
"310","Pcgf1","NPCbyNSC"
"311","Slc9a3r2","NPCbyNSC"
"312","Gm25005","NPCbyNSC"
"313","Smim26","NPCbyNSC"
"314","Islr","NPCbyNSC"
"315","Slc7a4","NPCbyNSC"
"316","Nts","NPCbyNSC"
"317","Agpat4","NPCbyNSC"
"318","Gabarapl2","NPCbyNSC"
"319","Il33","NPCbyNSC"
"320","Gm27202","NPCbyNSC"
"321","Tmeff1","NPCbyNSC"
"322","Tmem89","NPCbyNSC"
"323","Ggct","NPCbyNSC"
"324","Gm15280","NPCbyNSC"
"325","Enpp5","NPCbyNSC"
"326","Macrod1","NPCbyNSC"
"327","Sox10","NPCbyNSC"
"328","Gm47571","NPCbyNSC"
"329","Cd248","NPCbyNSC"
"330","Gpm6b","NPCbyNSC"
"331","Id3","NPCbyNSC"
"332","Tm4sf1","NPCbyNSC"
"333","Acsl3","NPCbyNSC"
"334","Ttr","NPCbyNSC"
"335","Nxph4","NPCbyNSC"
"336","Gjb1","NPCbyNSC"
"337","Pbxip1","NPCbyNSC"
"338","Mlc1","NPCbyNSC"
"339","Snap25","NPCbyNSC"
"340","Cyhr1","NPCbyNSC"
"341","Pcyt2","NPCbyNSC"
"342","Cst6","NPCbyNSC"
"343","Ndrg1","NPCbyNSC"
"344","Dpysl4","NPCbyNSC"
"345","Cd1d1","NPCbyNSC"
"346","Necab3","NPCbyNSC"
"347","Gja4","NPCbyNSC"
"348","Gm4889","NPCbyNSC"
"349","P2rx6","NPCbyNSC"
"350","Plxnb3","NPCbyNSC"
"351","Cyp4f15","NPCbyNSC"
"352","Gm12308","NPCbyNSC"
"353","Gpr37","NPCbyNSC"
"354","Ccdc74a","NPCbyNSC"
"355","Gm23158","NPCbyNSC"
"356","Adra2c","NPCbyNSC"
"357","Plxna3","NPCbyNSC"
"358","Mfap3l","NPCbyNSC"
"359","Gm28652","NPCbyNSC"
"360","Nipal4","NPCbyNSC"
"361","Ypel2","NPCbyNSC"
"362","Ampd2","NPCbyNSC"
"363","Sc5d","NPCbyNSC"
"364","A730017C20Rik","NPCbyNSC"
"365","Gm40841","NPCbyNSC"
"366","Nkiras1","NPCbyNSC"
"367","Selenos","NPCbyNSC"
"368","Gm48069","NPCbyNSC"
"369","Rida","NPCbyNSC"
"370","Gm12532","NPCbyNSC"
"371","Lppos","NPCbyNSC"
"372","Gm15627","NPCbyNSC"
"373","Rasd1","NPCbyNSC"
"374","Slc6a1","NPCbyNSC"
"375","Snhg18","NPCbyNSC"
"376","Gm48079","NPCbyNSC"
"377","Ccdc189","NPCbyNSC"
"378","Smpdl3a","NPCbyNSC"
"379","Gm39121","NPCbyNSC"
"380","Gm43672","NPCbyNSC"
"381","Gm20501","NPCbyNSC"
"382","Gas5","NPCbyNSC"
"383","F3","NPCbyNSC"
"384","Mgst1","NPCbyNSC"
"385","Csrp1","NPCbyNSC"
"386","S100a10","NPCbyNSC"
"387","Slc25a27","NPCbyNSC"
"388","Ramp1","NPCbyNSC"
"389","Zc4h2","NPCbyNSC"
"390","Tprn","NPCbyNSC"
"391","Cxcl14","NPCbyNSC"
"392","Gsta4","NPCbyNSC"
"393","Gm24265","NPCbyNSC"
"394","Tmub1","NPCbyNSC"
"395","Vmac","NPCbyNSC"
"396","Pdgfrb","NPCbyNSC"
"397","Nodal","NPCbyNSC"
"398","Fbxo2","NPCbyNSC"
"399","Tspyl2","NPCbyNSC"
"400","Gm42528","NPCbyNSC"
"401","Olfml2b","NPCbyNSC"
"402","Slc6a20a","NPCbyNSC"
"403","Atraid","NPCbyNSC"
"404","Rtl8a","NPCbyNSC"
"405","Gm30238","NPCbyNSC"
"406","Gm26180","NPCbyNSC"
"407","Aldoa","NPCbyNSC"
"408","Csdc2","NPCbyNSC"
"409","4933415A04Rik","NPCbyNSC"
"410","Inafm1","NPCbyNSC"
"411","Gm26910","NPCbyNSC"
"412","Plpp3","NPCbyNSC"
"413","Elavl3","NPCbyNSC"
"414","Hist1h4k","NPCbyNSC"
"415","Tubg2","NPCbyNSC"
"416","Ldoc1","NPCbyNSC"
"417","Gm44837","NPCbyNSC"
"418","Phkg1","NPCbyNSC"
"419","Prelp","NPCbyNSC"
"420","Rtn1","NPCbyNSC"
"421","Fam159b","NPCbyNSC"
"422","Gm47163","NPCbyNSC"
"423","Nat1","NPCbyNSC"
"424","Scg3","NPCbyNSC"
"425","Gja1","NPCbyNSC"
"426","Hepacam","NPCbyNSC"
"427","Gm23628","NPCbyNSC"
"428","Amer3","NPCbyNSC"
"429","Tpsab1","NPCbyNSC"
"430","Stmn3","NPCbyNSC"
"431","Msmo1","NPCbyNSC"
"432","Rpl38-ps1","NPCbyNSC"
"433","Fam180a","NPCbyNSC"
"434","Tbata","NPCbyNSC"
"435","Paxx","NPCbyNSC"
"436","Cyp2d22","NPCbyNSC"
"437","Tpbg","NPCbyNSC"
"438","2010320M18Rik","NPCbyNSC"
"439","Snap47","NPCbyNSC"
"440","Gadd45a","NPCbyNSC"
"441","Scd1","NPCbyNSC"
"442","Dusp26","NPCbyNSC"
"443","Sgk2","NPCbyNSC"
"444","Cnrip1","NPCbyNSC"
"445","Zbtb18","NPCbyNSC"
"446","S1pr1","NPCbyNSC"
"447","2900052N01Rik","NPCbyNSC"
"448","Foxc1","NPCbyNSC"
"449","4930563E22Rik","NPCbyNSC"
"450","Tcta","NPCbyNSC"
"451","Mapk1ip1","NPCbyNSC"
"452","Gm10244","NPCbyNSC"
"453","Selenok","NPCbyNSC"
"454","Nmb","NPCbyNSC"
"455","Gm48772","NPCbyNSC"
"456","Slc25a22","NPCbyNSC"
"457","Dnajb2","NPCbyNSC"
"458","Sdr39u1","NPCbyNSC"
"459","1500011B03Rik","NPCbyNSC"
"460","Fabp5","NPCbyNSC"
"461","Prox1os","NPCbyNSC"
"462","Cst3","NPCbyNSC"
"463","Fgfr1","NPCbyNSC"
"464","Gm29856","NPCbyNSC"
"465","Cpxm1","NPCbyNSC"
"466","Scrt2","NPCbyNSC"
"467","Ccdc177","NPCbyNSC"
"468","Rgcc","NPCbyNSC"
"469","4933407L21Rik","NPCbyNSC"
"470","Amn1","NPCbyNSC"
"471","Ppp1r36","NPCbyNSC"
"472","Gdi1","NPCbyNSC"
"473","Cxadr","NPCbyNSC"
"474","Tcp11l2","NPCbyNSC"
"475","Serinc1","NPCbyNSC"
"476","Cpm","NPCbyNSC"
"477","Gpr27","NPCbyNSC"
"478","Fndc4","NPCbyNSC"
"479","Gm15760","NPCbyNSC"
"480","Zfyve27","NPCbyNSC"
"481","Rabac1","NPCbyNSC"
