"","QNP","TAP","No_data","No_data","HCN_cells_in_iQNP_electroporated_with_empty_vector","HCN_cells_in_TAP_electroporated_with_empty_vector","QNP","TAP","No_data","No_data","HCN_cells_in_iQNP_electroporated_with_empty_vector","HCN_cells_in_TAP_electroporated_with_empty_vector"
"QNP",1,0.834025653075499,0.938875121726114,0.938875121726114,1,0.834025653075499,NA,0,0,0,0,0
"TAP",0.834025653075499,1,0.97298185882629,0.97298185882629,0.834025653075499,1,0,NA,0,0,0,0
"No_data",0.938875121726114,0.97298185882629,1,1,0.938875121726114,0.97298185882629,0,0,NA,0,0,0
"No_data",0.938875121726114,0.97298185882629,1,1,0.938875121726114,0.97298185882629,0,0,0,NA,0,0
"HCN_cells_in_iQNP_electroporated_with_empty_vector",1,0.834025653075499,0.938875121726114,0.938875121726114,1,0.834025653075499,0,0,0,0,NA,0
"HCN_cells_in_TAP_electroporated_with_empty_vector",0.834025653075499,1,0.97298185882629,0.97298185882629,0.834025653075499,1,0,0,0,0,0,NA
