"","QNP","TAP","No_data","No_data","HCN_cells_in_iQNP_electroporated_with_empty_vector","HCN_cells_in_TAP_electroporated_with_empty_vector","QNP","TAP","No_data","No_data","HCN_cells_in_iQNP_electroporated_with_empty_vector","HCN_cells_in_TAP_electroporated_with_empty_vector"
"QNP",1,0.818290453887407,0.930800824799687,0.930800824799687,1,0.818290453887407,NA,0,0,0,0,0
"TAP",0.818290453887407,1,0.971772030867067,0.971772030867067,0.818290453887407,1,0,NA,0,0,0,0
"No_data",0.930800824799687,0.971772030867067,1,1,0.930800824799687,0.971772030867067,0,0,NA,0,0,0
"No_data",0.930800824799687,0.971772030867067,1,1,0.930800824799687,0.971772030867067,0,0,0,NA,0,0
"HCN_cells_in_iQNP_electroporated_with_empty_vector",1,0.818290453887407,0.930800824799687,0.930800824799687,1,0.818290453887407,0,0,0,0,NA,0
"HCN_cells_in_TAP_electroporated_with_empty_vector",0.818290453887407,1,0.971772030867067,0.971772030867067,0.818290453887407,1,0,0,0,0,0,NA
