"","QNP","TAP","No_data","No_data","HCN_cells_in_iQNP_electroporated_with_empty_vector","HCN_cells_in_TAP_electroporated_with_empty_vector","QNP","TAP","No_data","No_data","HCN_cells_in_iQNP_electroporated_with_empty_vector","HCN_cells_in_TAP_electroporated_with_empty_vector"
"QNP",1,0.818325310865098,0.93063657340594,0.93063657340594,1,0.818325310865098,NA,0,0,0,0,0
"TAP",0.818325310865098,1,0.971892164013053,0.971892164013053,0.818325310865098,1,0,NA,0,0,0,0
"No_data",0.93063657340594,0.971892164013053,1,1,0.93063657340594,0.971892164013053,0,0,NA,0,0,0
"No_data",0.93063657340594,0.971892164013053,1,1,0.93063657340594,0.971892164013053,0,0,0,NA,0,0
"HCN_cells_in_iQNP_electroporated_with_empty_vector",1,0.818325310865098,0.93063657340594,0.93063657340594,1,0.818325310865098,0,0,0,0,NA,0
"HCN_cells_in_TAP_electroporated_with_empty_vector",0.818325310865098,1,0.971892164013053,0.971892164013053,0.818325310865098,1,0,0,0,0,0,NA
