"","HCN_cells_in_iQNP_electroporated_with_empty_vector","HCN_cells_in_TAP_electroporated_with_empty_vector","HCN_cells_in_iQNP_electroporated_with_empty_vector","HCN_cells_in_TAP_electroporated_with_empty_vector"
"HCN_cells_in_iQNP_electroporated_with_empty_vector",1,0.818325310865098,NA,0
"HCN_cells_in_TAP_electroporated_with_empty_vector",0.818325310865098,1,0,NA
