"","QNP","TAP","No_data","No_data","HCN_cells_in_iQNP_electroporated_with_empty_vector","HCN_cells_in_TAP_electroporated_with_empty_vector","QNP","TAP","No_data","No_data","HCN_cells_in_iQNP_electroporated_with_empty_vector","HCN_cells_in_TAP_electroporated_with_empty_vector"
"QNP",1,0.818266405007262,0.930802355159067,0.930802355159067,1,0.818266405007262,NA,0,0,0,0,0
"TAP",0.818266405007262,1,0.971761171810446,0.971761171810446,0.818266405007262,1,0,NA,0,0,0,0
"No_data",0.930802355159067,0.971761171810446,1,1,0.930802355159067,0.971761171810446,0,0,NA,0,0,0
"No_data",0.930802355159067,0.971761171810446,1,1,0.930802355159067,0.971761171810446,0,0,0,NA,0,0
"HCN_cells_in_iQNP_electroporated_with_empty_vector",1,0.818266405007262,0.930802355159067,0.930802355159067,1,0.818266405007262,0,0,0,0,NA,0
"HCN_cells_in_TAP_electroporated_with_empty_vector",0.818266405007262,1,0.971761171810446,0.971761171810446,0.818266405007262,1,0,0,0,0,0,NA
