"","id","KD.membership","node.degree","node.strength","node.weightedCF"
"1","MT-TS2","",8,6.44415772782574,0.502444945539576
"2","MT-TT","",10,7.98145430133935,0.408081398043878
"3","RPS29P9","c1_1,c1_2,c1_6,c1_65,c1_343,c1_1047,c1_1905",75,43.1613852408265,0.0611193856576201
"4","MT-TL2","c1_1,c1_2,c1_5,c1_63,c1_335,c1_1028",19,14.4509032167616,0.228803018360179
"5","RNU6-472P","c1_1,c1_2,c1_7,c1_69,c1_358,c1_1102,c1_1931",34,17.392810973606,0.132658196849098
"6","MT-TI","c1_1,c1_2,c1_5,c1_63,c1_335,c1_1028",15,12.2144712633444,0.275326828250982
"7","MT-TL1","c1_1,c1_2,c1_5",14,10.4236808658003,0.305496881363165
"8","MT-TK","",11,8.51994327204081,0.378688866594926
"9","MT-TG","c1_1,c1_2,c1_5",14,9.03847902682143,0.302564457511399
"10","MT-TV","",11,8.71940560147533,0.377375895759781
"11","AC018866.1","c1_1,c1_2,c1_7,c1_69,c1_360,c1_1105",32,19.2112194097341,0.140099400234228
"12","LINC02408","c1_1,c1_2,c1_8,c1_71,c1_388,c1_1177,c1_2024",87,48.037356384957,0.0540561255046456
"13","LINC02359","c1_1,c1_2,c1_9,c1_73,c1_394",40,18.6051795669166,0.116465834020332
"14","LINCMD1","c1_1,c1_2,c1_10,c1_75,c1_404",79,44.3870189475861,0.0587021623501651
"15","LINC02375","",8,5.26187174762754,0.511655587745837
"16","AC093772.1","c1_1,c1_2,c1_7,c1_69,c1_362,c1_1114,c1_1954,c1_2392",44,30.8493378422592,0.0977919582522405
"17","AC021698.1","c1_1,c1_3,c1_32,c1_192,c1_704",27,16.5503698700887,0.16187847315721
"18","AC093607.1","c1_1,c1_2,c1_11,c1_83,c1_440,c1_1244",31,16.9315905499116,0.141634957660094
"19","MT-TQ","",7,5.37888630948155,0.569603834494993
"20","AC025470.2","c1_1,c1_2,c1_7,c1_69,c1_360,c1_1105",116,61.9250158585549,0.040452674886367
"21","BPIFC","c1_1,c1_2,c1_8,c1_71,c1_388,c1_1177,c1_2023,c1_2412",61,32.2545944742016,0.0763476803801195
"22","LINC00452","c1_1,c1_2,c1_6,c1_66,c1_349,c1_1081",50,25.3636286615671,0.0911458162347577
"23","AC068722.1","c1_1,c1_2,c1_8,c1_71,c1_388,c1_1177,c1_2024",113,60.9563684853266,0.0416572318982969
"24","AC027613.1","c1_1,c1_2,c1_7,c1_69,c1_362,c1_1114,c1_1955,c1_2396",47,31.9774989014538,0.094214188255268
"25","COL4A1","c1_1,c1_2,c1_12,c1_85,c1_444,c1_1271,c1_2087,c1_2431",14,5.63525550048205,0.329284157089962
"26","CDK4","",4,3.43041903619501,0.844409325823946
"27","AC092639.1","c1_1,c1_2,c1_6,c1_65,c1_343,c1_1047,c1_1905",138,75.0182301595575,0.033387405694063
"28","AC019211.1","c1_1,c1_2,c1_13,c1_87,c1_450,c1_1293,c1_2103,c1_2436",90,54.1678100033193,0.0484900945625431
"29","SLC6A10P","c1_1,c1_2",13,8.08977102170471,0.329203632338809
"30","HBA2","",4,2.79539386550423,0.844011347309521
"31","MT-TH","c1_1,c1_2,c1_5,c1_63,c1_335,c1_1028",16,9.53066328413238,0.279077466229738
"32","LINC00393","c1_1,c1_2,c1_7,c1_69,c1_362,c1_1114,c1_1954,c1_2393,c1_2487",34,23.2035485253795,0.130431781852472
"33","AC068599.1","c1_1,c1_2,c1_7,c1_69",15,9.73567481202103,0.281677414948561
