"","module.id","module.size","module.parent","module.hub","module.scale","module.pvalue"
"c1_16","c1_16",799,"c1_2","MRPS21P1(76),RNU6-1180P(63),UGT2B7(46),LYZL2(43),AL359815.1(41),AC107016.2(41),AC078776.2(39),RNA5SP367(37),SVILP1(37),AC091152.3(31),IGKV2D-19(30),AC026798.1(29),AC025822.1(26),AC021205.2(25),IGHVII-74-1(24),AC097504.1(24),RNU2-36P(23),AC010468.3(23),RNU6-961P(23),RNU6-648P(23),RNU6-222P(22),AL160413.1(22),AP006437.2(21),AC010460.2(21),AC012451.1(21),AP003171.3(21),DNAJB5P1(21),AC126177.3(19),AC117522.2(18),AL078581.2(18),VN1R74P(17),RNU6-1134P(17),LINC01716(17),CHCHD2P4(16),AC138915.1(16),MIR5708(16),AC087430.1(16),LINC02506(15),RNA5SP99(15),TOPAZ1(15),AC011233.1(14),AP003400.5(14),AC116353.3(14),AC016727.2(14),AC008694.2(14),MIR5011(13),RN7SL420P(13),MIR6085(13)","S4",0
"c1_17","c1_17",622,"c1_2","KCNJ15(58),ADGRE3(46),PCNX3(41),RNA5-8SN1(28),AC099489.1(28),CEACAM3(26),ADGRG3(25),AC239584.1(24),LINC00313(23),DDB1(23),SLC5A10(22),KLKP1(21),ADGRE1(21),APOBEC3A(20),DPF2(20),LINC02513(19),CXCR2(19),HAL(19),LIPN(18),CPSF7(18),MYO1F(18),TTLL8(17),IL36RN(17),SCYL1(17),RHOH(16),BANF1(16),KYNU(16),IL18RAP(15),NDUFV1(15),GANAB(15),SF3B2(15),CXCR1(14),HIST1H4L(14),ITGAX(14),TRPT1(13),TRMT112(13),VNN3(12),SPINK6(12),IL21R(12),HIST1H3F(12),NDUFS8(12),TLR8(12),B3GAT3(12),CSF3R(12),OTUB1(12),TBXAS1(12)","S4",0
"c1_18","c1_18",571,"c1_2","GABRR1(61),IYD(59),ZNF735(55),MAGEB1(51),AC002384.1(30),AC083967.1(30),AGTR2(30),AC087762.1(27),CST2(25),AP003555.3(22),PTGFR(22),LINC02184(21),TUBA3C(21),AC209154.2(21),MEOX1(20),LINC01423(20),LINC01667(19),SSX1(18),AC244452.3(17),TNMD(17),LINC01447(17),LINC00607(17),CPN2(16),CCL11(16),IL2RB(16),CPA6(15),NECTIN3-AS1(14),GPC3(14),CDX2(14),AC121154.1(14),SIRPG(13),AC073130.3(13),MIR4497(13)","S4",0
"c1_19","c1_19",517,"c1_2","GYG2P1(74),AL078624.2(66),RN7SL571P(55),CSHL1(40),SAMD3(38),LINC02112(38),AC114811.1(36),AL591424.1(34),AL591424.3(33),LINC02346(30),ARSEP1(27),CRYM-AS1(27),RNU1-131P(25),TTTY14(20),LINC00456(20),SMIM36(20),HSPA8P6(20),AC006924.1(20),AP000676.4(18),RNU7-182P(18),RNU6-1236P(17),USP17L14P(16),AC092546.1(16),AP000233.1(15),NUP210L(15),RN7SL97P(14),CCBE1(14),AL365222.1(13),ASB17(13),RPL23AP38(13)","S4",0
"c1_20","c1_20",719,"c1_2","AC084048.1(132),AC005772.1(78),HSPA8P13(44),FOXR1(39),AC092098.1(37),RPL5P35(36),FAM186A(30),LINC00459(29),KRT16P4(27),FGF23(27),ZSWIM2(26),PTCHD1-AS(26),AADACL2(26),HNRNPCL1(25),AL139390.1(23),ELOCP24(22),LINC02429(21),PRSS38(19),LINC01169(19),ATAD5(19),AC007000.3(18),AC006511.5(16),CLNK(16),MYO3B(16),MTND3P21(16),AC090095.1(16),AC009061.2(16),LINC01074(15),CNR2(14),MTND4P11(14),MUSK(14),AC079598.2(14),FAM71E2(13),RN7SKP82(13),ADGB(13)","S4",0
"c1_21","c1_21",875,"c1_2","WFDC5(71),MUC5AC(62),PGLYRP3(58),LCE3C(54),PGLYRP4(50),NEU2(49),LGALS13(48),RP1L1(43),BPIFA1(42),OR4P4(42),LGALS16(40),OR5AC2(39),S100A7A(37),C3orf30(35),OR6N2(33),MUC2(29),NKX2-6(27),BPIFB3(25),ALDH3B2(25),SLC6A19(24),EFCAB8(23),ZCCHC13(23),TGM6(22),POM121L12(20),SERPINA13P(20),GPR119(20),CDX4(19),REG3A(19),LACTBL1(19),ACTL9(18),KRT4(18),EI24P4(18),C20orf173(17),ZAN(17),OR10A7(16),BPIFA3(15),ALPPL2(15),WFDC6(15),DIS3L2P1(15),WIZP1(15),CRISP3(14),ZNF720P1(14),OR5J7P(14),CEACAM18(14),C3P1(14),AC110588.1(14),OR10H4(14),CYP1A2(13),KCNA10(13),NLRP7(13),OR2Z1(13),OR52L2P(13),OR51V1(13),XDH(13)","S4",0
"c1_22","c1_22",899,"c1_2","GH2(56),COIL(39),AC090079.1(37),APPBP2(35),SYNRG(33),GNPAT(28),GPS1(27),VPS25(27),AC121758.1(25),MED13(25),NPLOC4(24),PSMB3(24),TROVE2(24),MBTD1(23),ETV5(23),TOR1AIP2(22),ACBD3(22),PIP4K2B(21),SMARCD1(21),NUP133(21),PSMD3(20),SRP68(20),MRPS23(19),DCTN2(18),SDE2(18),SDF2(18),AC024884.2(17),SOCS7(17),FOXK2(17),FBXO28(17),MED1(16),MARS(16),ZNF740(16),CHMP6(16),SCML4(16),INTS2(15),SHMT2(15),DDX23(15),RSAD1(14),DDX5(14),AC125257.1(14),SUZ12(14),BPTF(14),UNK(14),IARS2(14),ANGEL2(14),C1orf35(14),TMUB2(14),AC137834.1(14),PSME3(14),INHBC(13),RFNG(13),PHF12(13),RETREG3(13),ASPSCR1(13),STXBP4(13),RPS6KB1(13),PSMD11(13),MCRS1(13),BROX(13),MIR646HG(13),NMT1(13),POLDIP2(13),USP32(13)","S4",0
"c1_23","c1_23",602,"c1_2","RNU6-1252P(44),RAF1(44),C12orf77(39),RNF167(31),AKR1C8P(31),NARS2(28),AL138889.1(27),OXSR1(25),TSR1(25),CNTROB(24),GLOD4(23),ST8SIA6(22),SEC13(21),SCFD2(19),LINC01665(18),EMC3(18),AC012414.2(18),FIP1L1(18),LILRP1(17),CLOCK(17),MLH1(17),SPAG7(17),LINC02103(15),BRK1(15),NEURL4(15),EXOG(15),DYNC1LI1(15),PRPF8(15),LINC01733(15),TRIM53CP(14),SEC22C(14),GYS2(13),LINC01618(13),NLGN2(13),AC090093.1(13),BCS1L(13)","S4",0
"c1_24","c1_24",709,"c1_2","GABRA6(173),LINC01179(86),AC005064.1(57),CCDC155(52),TMEM266(52),GRM4(38),CRTAM(36),AC025284.1(36),ZP2(35),AC011330.3(31),SNAP25-AS1(26),AC139491.7(26),AC007614.1(24),AL138733.1(24),AKAIN1(22),FAM153C(22),MTND4LP25(19),AL355512.1(19),STARD4-AS1(19),AL356218.1(16),LMAN1L(16),FAT2(16),AC138819.1(15),AC084759.2(15),RELN(14),LINC01798(14),ZNF702P(14),IFNLR1(14),AP002518.1(13),TRIM72(12),IL16(12),TERF1P1(12),GLS2(12),FADS6(12),AL031590.1(12),BMS1P1(12)","S4",0
"c1_25","c1_25",704,"c1_2","NOX3(65),LINC01413(58),AL133232.1(53),DGUOK-AS1(43),GFRA3(37),CCAR2(35),AL049870.3(31),RNU6-804P(29),AC013762.1(29),AC243972.2(26),RNU4-37P(24),AL035541.1(23),RNU6-303P(22),RNU6-474P(22),RNU6-1044P(22),RNU6-1037P(19),PCM1(18),AL358232.1(17),CHMP7(17),VPS37A(17),RNU2-48P(17),AC010649.1(16),CNOT7(16),YTHDF3(16),ASS1P5(16),RNU6-81P(15),RNA5SP266(15),LEPROTL1(15),PTP4A1P5(15),LSM1(15),IGLV3-9(15),RNU7-183P(14),KAT6A(14),AL138726.1(14),DPYS(14),CCDC129(13),INTS9(13)","S4",0
