"","module.id","module.size","module.parent","module.hub","module.scale","module.pvalue"
"c1_55","c1_55",215,"c1_4","GLYR1(30),ZNF598(28),SETD1A(26),TAOK2(21),DNAJA3(19),PRR14(18),FBRS(18),TBC1D10B(17),USP7(17),RNPS1(16),E4F1(16),RHOT2(15),GTF3C1(14),RAB40C(14)",NA,0
"c1_56","c1_56",164,"c1_4","MBD1(50),SMAD4(21),SMAD2(20),VAPA(17),ZADH2(15),ELP2(15),AFG3L2(15),CTDP1(15),CXXC1(14),NARS(14),RPRD1A(13)",NA,0
"c1_57","c1_57",524,"c1_4","CDC42BPB(40),SEC24B(40),BIRC6(34),EIF4E(29),CCDC88A(28),UBE2D3(26),TRAPPC11(26),COPS3(25),VPS13C(24),KMT2A(24),ATM(24),CEP44(21),CINP(19),SMG1(18),BRF1(18),ALMS1(17),CFAP97(16),METTL14(16),LAMTOR3(16),CLCN3(16),INO80D(15),ELF2(15),GRSF1(14),NCOR1(14),HNRNPD(13),LARP7(13),NDUFC1(13),DMXL2(13),USP34(13)",NA,0
"c1_58","c1_58",228,"c1_4","SETDB1(34),VPS72(29),SCAMP3(26),YY1AP1(22),PSMD4(20),RPRD2(20),ILF2(20),PI4KB(19),C1orf43(16),GON4L(16),SF3B4(15),HAX1(15),CRTC2(13)",NA,0
"c1_59","c1_59",224,"c1_4","PPP2R5E(38),DCAF5(36),DLST(32),EXOC5(30),PCNX4(26),SLC39A9(26),FCF1(24),AREL1(21),ZC3H14(18),PPM1A(17),AP5M1(17),PPP4R3A(17),UBR7(14)",NA,0
"c1_60","c1_60",340,"c1_4","ZNHIT1(40),SLC37A3(33),BUD31(31),CUL1(30),ZNF3(22),POM121C(21),BAZ1B(21),TNPO3(20),SSBP1(20),ALKBH4(19),ZKSCAN1(19),ZNF107(19),ARMC10(18),COPS6(16),UBE3C(15),LAMTOR4(14),COG5(14)",NA,0
"c1_61","c1_61",335,"c1_4","ARIH1(55),VPS39(41),INTS14(31),SPG11(26),CTDSPL2(25),EFL1(22),CLPX(22),TRPM7(19),UBR1(19),RPAP1(18),USP8(17),ZNF609(17),DENND4A(16),RNF111(16),IREB2(15),RTF1(14),EDC3(14)",NA,0
"c1_62","c1_62",156,"c1_4","RUVBL1(34),NAA50(19),FXR1(18),COPB2(17),ZNF639(17),MRPL3(16)",NA,0
"c1_63","c1_63",150,"c1_5","AC010970.1(34),HSP90AA6P(32),MT-TL2(19),EEF1A1P1(19),MT-TH(16),MT-TI(15)",NA,0
"c1_64","c1_64",654,"c1_5","LINC00927(56),AC097467.4(39),FAM90A28P(37),RNY1P8(33),AC093084.1(32),RNA5SP461(32),LINC00349(30),AL109807.1(30),ALG1L5P(27),MIR3663HG(27),RNU6-555P(26),RNA5SP380(24),PAEP(23),RNU4-15P(23),AC097486.1(23),AC021504.1(23),MIR5007(22),RNU6-523P(22),AC092754.2(20),RPL23AP75(19),LINC01230(18),OBP2A(17),RNU2-8P(17),FCAMR(17),MIR5692A2(17),ELF5(17),RNU6-154P(17),RNA5SP167(17),LINC01323(16),AL161637.1(16),ONECUT3(16),RNA5-8SP7(16),AC068775.1(15),RNU5F-8P(15),FAM217A(15),RN7SL322P(15),OBP2B(14),AL451054.2(14),AC011095.1(14),AC114814.1(14),LINC00954(13),RNU6-699P(13),RNU6-275P(13),CDK15(13),SPTLC1P3(13)",NA,0
"c1_65","c1_65",830,"c1_6","AC092639.1(138),RPS29P9(75),RNU6-1097P(72),RPPH1-2P(39),RPS17P5(38),C6orf201(37),RNU6-996P(36),RNY4P28(32),RNU5E-5P(27),AL139415.2(27),AC022145.1(27),RNA5SP24(26),RNU6ATAC41P(25),AC022616.5(25),RNU6-500P(23),AC021146.6(23),RNA5SP486(22),RNA5SP192(21),RNU7-92P(20),FOXP4-AS1(20),AL589823.1(20),MTCYBP8(20),AL357080.1(19),CPA1(18),OR7E24(18),MTND3P19(17),AL353637.1(17),SEPT14P17(17),AC005090.1(16),AL591468.1(16),AL590240.3(16),AL591704.1(15),RN7SL60P(15),Z94722.1(15),RNU6-1007P(15),LINC01365(15),RNA5SP279(14),AC006499.8(14),RF00591(14),GTF2IP2(14),AL592464.2(13),AC118469.1(13),AC009902.1(13),AC091912.2(13),AL353132.1(13),RNA5SP275(13),AL589994.2(13),RN7SL785P(13),AC091903.1(13),RNU6-591P(13),AL358934.1(13)",NA,0
"c1_66","c1_66",128,"c1_6","LINC00452(49),AL589794.1(24),LINC00454(24),AC134698.4(18),AC007923.1(17),AL022313.1(15),BX072579.2(14)","S4",0
"c1_67","c1_67",269,"c1_6","AC069152.1(59),AC099654.1(53),RN7SL266P(45),MTCO3P4(24),RNA5SP121(21),ZNF479(18),STK33P1(18),AC099654.6(18),HMGB1P48(17),VKORC1L1(16),AF274855.1(14),OR10AK1P(14),AC087612.1(13)","S4",0
"c1_68","c1_68",157,"c1_6","CDC5L(23),CUL9(23),CMTR1(17),C6orf89(15),MEA1(15),NELFE(15),RXRB(15),PRRC2A(14),PPIL1(14),NUP153(14)","S4",0
"c1_70","c1_70",170,"c1_7","AC025524.2(58),AC018616.1(54),AF130359.1(17),GAPDHP68(15),AC109466.1(15),AC010255.3(14),RNF17(14)","S4",0
"c1_71","c1_71",487,"c1_8","AC068722.1(113),LINC02408(86),BPIFC(61),TECRL(57),LINC02133(25),AC074099.1(25),AC104041.1(25),BANK1(23),LINC02291(21),AC140118.1(21),PCID2(21),CUL4A(21),TUBGCP3(20),AL133166.1(19),CLPSL1(16),CNGB1(16),LINC01378(15),P2RX3(14),AL353611.1(14),LINC01916(13),SEC14L5(13),AC083795.2(13)",NA,0
"c1_73","c1_73",298,"c1_9","AC068305.2(45),LINC02359(40),AC024909.1(39),RNA5SP326(23),RNA5SP182(18),AC016751.2(17),AC079598.1(15),RNU6-99P(15),MARCH9(14),AC083805.3(14),MIR7641-1(14),RNA5SP214(14),AC018521.4(13),RNA5SP86(13),IGHVII-1-1(13),RNU6-477P(13)","S4",0
"c1_74","c1_74",569,"c1_9","MARCOL(70),PAGE1(54),MUC16(41),USP26(40),CXorf66(39),ADGRG4(38),AC026785.3(35),SPTA1(34),ALPP(29),INSL4(28),MROH2B(28),AL121956.1(28),DCAF8L1(27),OR10K2(24),OR2J3(24),MUC22(24),LDHBP2(22),PSG4(20),SLC17A4(20),FGFBP1(19),OR8A1(19),OR6Y1(17),KCNJ18(17),AP005135.1(17),AC003685.2(16),OR9Q2(15),OR10Z1(15),PAGE3(15),UMOD(15),C8B(14),BEND2(14),PADI3(14),FTLP2(14),AKAP4(14),AADACL3(14),CLCA1(13)","S4",0
"c1_75","c1_75",176,"c1_10","LINCMD1(75),AL049836.2(73),MYL1(25),TRIM51(20),MYL10(16),LINC02152(15),TNNI1(14),CKM(14)","S4",0
"c1_76","c1_76",256,"c1_10","LINC01738(82),AC073987.1(57),RNA5SP482(26),AP000439.2(25),FGF19(15),POFUT1(14),TM9SF4(14),DLX2(14),DLX2-AS1(14),SLC9A4(13),GCGR(13)","S4",0
"c1_77","c1_77",259,"c1_10","PIH1D3(42),ANKRD66(32),ROPN1L(31),DNAH12(28),CSRP3(22),DYDC2(19),DNAI2(19),TTC29(19),AL132801.1(18),CCDC33(17),HPVC1(17),OR1D5(14),LINC01513(14),CCDC39(14),AL161618.1(13),AL353747.3(13),CFAP77(13),SVOPL(13),CFAP97D2(13)","S4",0
"c1_78","c1_78",144,"c1_10","RNU6-113P(19),CDC20B(19),SCGB2A1(17),C20orf85(17),C4orf22(16),AL645937.1(15),TSPAN18(14),AC018563.1(14),AC087045.3(13)","S4",0
"c1_79","c1_79",180,"c1_10","AL020994.2(49),LRRC77P(43),ANO3(38),LINC02137(38),HTR2C(36),LINC01621(21),SLC5A7(20),LINC02304(17),KCNJ1(15)","S4",0
"c1_80","c1_80",223,"c1_10","AC127526.2(95),SLC35G3(35),RNU6-221P(29),AC006499.2(26),IQANK1(22),SLC28A3(20),AC008782.1(19),AL353765.1(17),AL390240.1(16),AL049748.1(16),AC022916.3(15)","S4",0
"c1_82","c1_82",101,"c1_10","GTF3C2(25),CPSF3(23),SOS1(14),AC108488.2(14)","S4",0
"c1_83","c1_83",930,"c1_11","LINC02248(63),AL445647.1(61),CAPN13(49),LINC01222(46),CDH12P3(45),RNU7-2P(43),AL022161.1(41),AC090502.1(39),LINC01221(35),AC115622.1(35),PALM2(34),AC034195.1(34),IL1RAPL1(33),AC093607.1(31),LINC01170(29),LINC02426(29),CSNKA2IP(24),AC106894.1(24),RN7SL415P(21),BTBD16(21),LINC00397(20),AOX3P(18),SPOCK3(18),CLCA4(18),CASC6(17),AC073321.1(16),TRIM59(16),AC103778.1(16),AL034405.1(16),LINC01608(16),LINC01280(16),AC024901.1(15),AL034399.1(15),AC092440.1(15),AF165147.1(15),NDUFA12P1(15),AC098829.1(15),FHIT(15),AC005785.1(15),LINC01709(15),AL596028.1(14),AC027801.4(14),AC012494.1(14),AP002963.1(14),SH3TC2-DT(14),AC006390.1(13),AC108721.1(13),KRIT1(13),AL161751.1(13),AL138899.1(13),AC005225.2(13),AP005328.1(13),LINC01804(13)",NA,0
"c1_84","c1_84",140,"c1_11","GAK(31),DHX15(25),UBE2K(20),RNF4(16),MRFAP1L1(15),STX18(15),MRFAP1(15),ZCCHC4(15)","S4",0
"c1_85","c1_85",334,"c1_12","SLC38A5(30),ABCG2(29),ESAM(29),LINC02452(24),CLDN5(22),ABCB1(19),SLC52A3(19),TIE1(18),AP000459.2(18),ST6GALNAC1(16),FLT4(16),COL4A1(14),SPINK8(14),MFSD2A(14),ARHGEF15(14),COL4A2(14)",NA,0
"c1_86","c1_86",109,"c1_12","OR51E1(24),ITGA1(23),MYH11(23),FHL5(16),CNN1(15),TAGLN(14),UACA(14)",NA,0
"c1_87","c1_87",1144,"c1_13","AC019211.1(90),CNTN4(51),LINGO2(49),AC087280.2(42),LINC00970(36),NEGR1(35),AC067956.1(31),AL450423.1(29),AC073050.1(29),AL591501.1(27),CXXC4-AS1(26),MCHR2(26),GABRG3(24),AC092378.1(24),RXFP1(23),LINC02296(22),AC016598.1(21),LINC01680(21),CACNB4(21),LINC01202(21),CDH12(20),AL592043.1(20),CNTN5(19),GALNTL6(19),RPL32P35(19),JAZF1(19),CR589904.1(19),KCNB2(18),AC008696.2(18),LYPD6B(18),EPHA6(18),AP003049.2(18),RORA(18),LINC01107(18),GRM7(17),OR2L1P(17),AC004817.1(17),SSH2(17),IL1RAPL2(17),OR2L3(16),LINC01250(16),IQCJ-SCHIP1(16),LINC00507(16),AC021231.1(15),FGF14(15),AC093206.1(15),DLG2(15),URGCP(15),AL596218.1(15),AC007368.1(14),AL445433.2(14),AC073023.1(14),BX664727.3(14),AGBL4(14),NRXN3(14),BCAS3(14),FAM19A1(13),RNU6-1012P(13),KCNIP4(13),MYRIP(13),AL513164.1(13),AC091819.2(13),AL033504.1(13),AL117329.1(13),KLHL2P1(13),AC091905.1(13),CTXN3(13),GOLGA6L10(13),ACSM6(13),KHDRBS2(12),LINC02250(12),AP001972.3(12),LINC01122(12),CDH9(12),OLFM3(12),NYAP2(12),DLGAP2(12),LINC02218(12),PART1(12),DANT2(12)",NA,0
"c1_89","c1_89",273,"c1_13","AC144548.1(34),EIF2B1(33),KDM2B(26),SPPL3(22),RNF34(21),TMEM116(17),PWP1(17),PUS1(16),MPHOSPH9(16),OR5M6P(15),LEMD3(15),CCDC59(15),RPS11P6(14),CAND1(14),DENR(13),UBE2N(13)","S4",0
"c1_90","c1_90",242,"c1_14","AC092447.8(45),LINC01687(38),LINC01518(38),LINC00624(28),AL356272.1(25),TGIF2LX(21),AC136616.1(20),LINC00308(19),TRMT112P7(17),VN1R54P(15),AC073488.3(14)",NA,0
"c1_93","c1_93",101,"c1_14","REN(38),IL17REL(20),LINC00303(19),AC108019.1(15)","S4",0
"c1_94","c1_94",423,"c1_15","TRMT2B-AS1(85),RNU6ATAC21P(50),AC091939.1(39),AP001970.1(33),AL354702.2(29),LINC01641(26),HCRTR2(26),C4BPA(24),AC063980.1(23),CST13P(23),AC025281.1(21),AC243967.2(19),RNU6-152P(18),LINC02201(17),RNU6-929P(17),LINC01226(16),MIR4422HG(15),AC008687.1(15),RPL22P10(15),AL713923.1(14)","S4",0
"c1_95","c1_95",321,"c1_15","LRRC74A(116),AL391095.2(38),TEX41(36),AC012081.1(31),OVOL2(29),CYP2A13(28),PLA2G4D(24),AC092573.2(22),LHFPL5(19),R3HDML(15),DNAJC5G(15),DCAF12L1(15),LINC02520(15),CATSPERD(13),FAM163A(13)","S4",0
"c1_96","c1_96",163,"c1_15","SERPINB10(73),RNU6-276P(48),AC006487.1(46),CNOT4P1(16)","S4",0
"c1_97","c1_97",114,"c1_16","LYZL2(43),SVILP1(37),AC025822.1(26),AC138915.1(16),RNA5SP99(15)","S4",0
"c1_98","c1_98",535,"c1_16","MRPS21P1(76),RNU6-1180P(63),AC107016.2(40),AC078776.2(39),RNA5SP367(37),AC091152.3(31),AC026798.1(29),AC021205.2(25),IGHVII-74-1(24),AC097504.1(24),RNU2-36P(23),AC010468.3(23),RNU6-961P(23),RNU6-222P(22),AP006437.2(21),AC010460.2(21),AC012451.1(21),AP003171.3(21),AC126177.3(19),AC117522.2(18),LINC01716(17),VN1R74P(16),CHCHD2P4(16),AC087430.1(16),AC011233.1(14),AP003400.5(14),AC016727.2(14),AC008694.2(14),MIR6085(13)","S4",0
"c1_99","c1_99",150,"c1_16","UGT2B7(46),AL359815.1(41),IGKV2D-19(30),RNU6-648P(23),AL160413.1(22),MIR5708(16),LINC02506(15),TOPAZ1(15)","S4",0
"c1_100","c1_100",455,"c1_17","KCNJ15(58),ADGRE3(45),RNA5-8SN1(28),AC099489.1(28),CEACAM3(26),ADGRG3(25),AC239584.1(24),LINC00313(23),SLC5A10(22),KLKP1(21),ADGRE1(21),APOBEC3A(20),LINC02513(19),CXCR2(19),HAL(18),LIPN(18),MYO1F(18),TTLL8(17),IL36RN(17),RHOH(16),KYNU(16),IL18RAP(15),CXCR1(14),HIST1H4L(14),ITGAX(14)",NA,0
"c1_101","c1_101",167,"c1_17","PCNX3(41),DDB1(23),DPF2(20),CPSF7(18),SCYL1(17),BANF1(16),NDUFV1(15),GANAB(15),SF3B2(15),TRPT1(13),TRMT112(13)","S4",0
"c1_103","c1_103",125,"c1_18","ZNF735(55),MAGEB1(49),LINC02184(21),LINC01667(19),AC244452.3(17)",NA,0
"c1_105","c1_105",160,"c1_18","IYD(58),AC002384.1(28),AC087762.1(26),CST2(25),AP003555.3(22),LINC00607(17),CPN2(16),CCL11(16),IL2RB(16)","S4",0
"c1_106","c1_106",183,"c1_18","GABRR1(60),AC083967.1(30),AGTR2(30),PTGFR(22),LINC01423(20),MEOX1(18),CPA6(15),AC121154.1(14),CDX2(13),MIR4497(13)","S4",0
"c1_107","c1_107",119,"c1_19","GYG2P1(68),ARSEP1(23),TTTY14(20),AP000676.4(14),CCBE1(14)","S3",0
"c1_124","c1_124",612,"c1_20","AC084048.1(132),AC005772.1(78),HSPA8P13(44),AC092098.1(37),FAM186A(30),LINC00459(28),KRT16P4(27),FGF23(27),ZSWIM2(26),PTCHD1-AS(26),AADACL2(26),HNRNPCL1(25),AL139390.1(23),ELOCP24(21),LINC02429(21),PRSS38(19),LINC01169(19),ATAD5(19),AC007000.3(18),AC006511.5(16),CLNK(16),MYO3B(16),MTND3P21(16),AC009061.2(16),LINC01074(15),CNR2(14),MTND4P11(14),MUSK(14),AC079598.2(14),FAM71E2(13),ADGB(13),AL117351.2(12),GGT2(12),RNU7-88P(12),RN7SKP82(12),AC135731.2(12),AC097382.2(12)",NA,0
"c1_125","c1_125",105,"c1_20","FOXR1(39),RPL5P35(36),AC090095.1(16)","S4",0
"c1_128","c1_128",101,"c1_21","WFDC5(59),LGALS16(28),REG3A(14)",NA,0
"c1_130","c1_130",108,"c1_21","MUC5AC(62),RP1L1(31),LACTBL1(19),NKX2-6(16)","S3",0
"c1_151","c1_151",155,"c1_22","AC121758.1(25),SMARCD1(21),DCTN2(18),AC024884.2(17),MARS(16),ZNF740(16),SHMT2(15),DDX23(15),AC137834.1(14)",NA,0
"c1_153","c1_153",110,"c1_22","GH2(55),AC090079.1(31),MBTD1(17),SCML4(16)",NA,0
"c1_155","c1_155",126,"c1_22","COIL(37),APPBP2(35),MED13(25),MRPS23(19),INTS2(15)","S3",0
"c1_156","c1_156",196,"c1_22","GNPAT(28),TROVE2(24),ACBD3(22),TOR1AIP2(21),NUP133(21),SDE2(18),FBXO28(17),IARS2(14),ANGEL2(14),C1orf35(14),BROX(13)",NA,0
"c1_158","c1_158",147,"c1_22","VPS25(27),SYNRG(27),PSMB3(24),PSMD3(20),SDF2(18),SOCS7(17)",NA,0
"c1_159","c1_159",125,"c1_23","C12orf77(38),NARS2(28),AL138889.1(27),LINC01665(18),LINC02103(15),LINC01733(15)",NA,0
"c1_160","c1_160",180,"c1_23","RNU6-1252P(42),AKR1C8P(31),ST8SIA6(18),AC012414.2(18),SCFD2(17),LILRP1(17),CLOCK(17),FIP1L1(15),LINC01618(13),AC090093.1(13)","S3",0
"c1_161","c1_161",137,"c1_23","RAF1(44),OXSR1(25),SEC13(20),EMC3(18),MLH1(17),EXOG(15),DYNC1LI1(15)",NA,0
"c1_162","c1_162",160,"c1_23","RNF167(31),TSR1(25),CNTROB(23),GLOD4(21),SPAG7(17),NEURL4(15),PRPF8(15)","S3",0
"c1_163","c1_163",412,"c1_24","GABRA6(170),AC005064.1(57),CCDC155(51),CRTAM(36),AC025284.1(33),GRM4(30),TMEM266(30),AC007614.1(24),ZP2(24),SNAP25-AS1(24),STARD4-AS1(19),LMAN1L(16),FAT2(15),RELN(14)",NA,0
"c1_164","c1_164",119,"c1_24","LINC01179(62),MTND4LP25(19),AL138733.1(19),AC084759.2(15),LINC01798(13),ZNF702P(12)","S4",0
"c1_174","c1_174",268,"c1_25","NOX3(61),LINC01413(57),AC013762.1(29),RNU4-37P(24),RNU6-303P(22),RNU6-1037P(17),RNU2-48P(17),RNU6-81P(15),RNA5SP266(15),IGLV3-9(15),RNU7-183P(14),AL138726.1(14),CCDC129(13)",NA,0
"c1_175","c1_175",217,"c1_25","AL133232.1(51),DGUOK-AS1(43),GFRA3(37),AL049870.3(31),AC243972.2(26),RNU6-804P(24),AL035541.1(23),AL358232.1(17),AC010649.1(16),ASS1P5(16),PTP4A1P5(15),DPYS(13)","S4",0
"c1_178","c1_178",117,"c1_25","CCAR2(32),PCM1(18),CHMP7(17),VPS37A(17),CNOT7(16),KAT6A(14)","S4",0
"c1_179","c1_179",227,"c1_26","DPT(58),AC020551.1(37),CLEC2A(32),AC145625.1(23),NCOR1P1(23),CAPN6(19),ALDH1A2(18),AC099786.1(17),LHX8(16),SIM1(16),AC087399.1(16),DKK2(16),CLDN19(14)","S4",0
"c1_180","c1_180",1182,"c1_26","OR5AN1(165),TDRD15(91),OR6C6(70),CSN3(67),CRISP2(62),FAM187B(53),TMPRSS11B(50),PRODH2(49),OR6C1(47),LRRC34P2(44),OR8G5(42),OR10P1(37),OR5T2(36),OR51L1(36),NPHS1(35),CSN1S2AP(30),LRRC30(29),LELP1(29),DUSP21(29),OR4F13P(27),LCE3B(27),IL2(26),OPRPN(26),CABS1(24),LINC02272(24),GKN2(23),OR8K3(22),AMTN(22),C2orf69P3(21),HTN1(21),CDK7P1(20),VRTN(20),SMR3B(20),PPP1R2C(19),TRIM60(19),OR8J3(18),OR5H15(17),OR52A5(17),ACTRT2(16),ADAD1(16),PSMD12P(16),PDCL2(16),TRIM42(16),SMR3A(15),OR8K5(15),RAB9AP4(15),LARP1BP1(15),TAAR2(15),SP3P(14),AFG3L2P1(14),AL357139.1(14),AC118273.1(14),OR2B3(13),OR5K1(13),DNAJB8(13),CSN2(13),AC114741.1(13)","S4",0
"c1_181","c1_181",100,"c1_27","BSDC1(21),PPP1R8(20),EBNA1BP2(17),TMEM222(16),SF3A3(16)",NA,0
"c1_185","c1_185",208,"c1_28","AC087379.2(83),AC013565.3(74),AP000781.1(52),AL451065.1(27),AL603756.1(23),AC021151.1(16),AL162399.1(15),AC010336.1(14),AC099342.1(14)",NA,0
"c1_186","c1_186",383,"c1_29","AP3M1(37),MMS19(36),PGK1(35),BNIP3(26),KIF1BP(24),MRPL51(22),CUEDC2(22),GBF1(22),MLF2(21),ACTR1A(21),COPS7A(20),PDK1(19),ZNF384(19),HIF1AN(18),SUFU(17),SLF2(17),VEGFA(17),ING4(16),C12orf4(16),VPS26A(16),SAR1A(15),TNKS2(14),ERLIN1(14)",NA,0
"c1_188","c1_188",500,"c1_30","ATG5(32),VTA1(30),SEC63(28),ZRANB2(24),UBE4B(22),FBXO5(21),ECHDC1(20),RARS2(20),MTOR(20),DIS3(19),ATAD3A(19),PNISR(19),SRSF11(19),ARGLU1(18),IPO5(18),UBE2J2(18),LATS1(18),DVL1(17),CEP104(17),UFL1(17),PARK7(17),INTS11(16),LZIC(16),ORC3(15),LUC7L3(15),MED23(14),SFT2D1(14),PEX14(14),MFN2(13),UGGT2(13),RWDD1(13),ZBTB17(13),DNAJC11(13)",NA,0
"c1_189","c1_189",162,"c1_30","MICU2(30),KPNA3(28),MRPS31(27),MED4(23),WBP4(18),UFM1(16),GTF3A(16),PAN3(14)",NA,0
"c1_191","c1_191",223,"c1_31","SLC17A7(33),PACSIN1(32),PNOC(31),GABRA1(29),SLC6A17(23),VSNL1(23),SYN1(22),TAC1(17),OSTN(17),GABRB2(15),SV2B(13),ACTL6B(13)","S3",0
"c1_192","c1_192",166,"c1_32","AC090592.1(70),AC021698.1(27),BET1L(27),SBF2-AS1(20),RIC8A(19),COPB1(17),PSMA1(14),RNH1(14)",NA,0
"c1_193","c1_193",133,"c1_32","NAT10(27),TSG101(26),AMBRA1(24),NUP98(20),CAPRIN1(19),ARFIP2(18),ARFGAP2(16),ARL14EP(15)","S3",0
"c1_212","c1_212",140,"c1_35","TMEM160(48),PTP4A2(26),FTH1(21),LINC01578(20),GFER(13)",NA,0
"c1_214","c1_214",162,"c1_36","THAP7(29),UBE2L3(23),DRG1(23),PPIL2(21),PITPNB(20),HPS4(19),RANBP1(19),SMARCB1(15),ESS2(14),RHBDD3(14),ZDHHC8(14)","S3",0
"c1_215","c1_215",190,"c1_36","ATXN10(31),TRMU(29),XRCC6(26),ZC3H7B(26),PPP6R2(26),MIEF1(25),MCAT(19),GGA1(19),BRD1(17),L3MBTL2(15)",NA,0
"c1_217","c1_217",159,"c1_37","GAPVD1(65),ZBTB43(31),GPR107(26),USP20(21),MRRF(14)",NA,0
"c1_223","c1_223",323,"c1_38","RPS8(41),RPL23(25),POLK(24),RPS14(20),RAD17(20),RPL7A(19),RPS18(19),MRPS27(17),RPL19(16),RPS24(15),HAUS6(14),NSA2(14),RPS27A(14),RPL7(13),RPL34(13),GPLD1(13)",NA,0
"c1_228","c1_228",105,"c1_39","SMAD5(25),CDC23(23),BRD8(17),AFF4(16),KDM3B(14),PRRC1(12)","S3",0
"c1_253","c1_253",143,"c1_43","RALGAPB(35),CSE1L(25),CTNNBL1(25),STAU1(17),PIGU(17),RAE1(16),ADNP(15),DHX35(15)",NA,0
"c1_254","c1_254",148,"c1_43","CSNK2A1(34),PSMF1(31),TBC1D20(27),XRN2(22),IDH3B(17),CDK5RAP1(16),NSFL1C(15),PTPRA(14)",NA,0
"c1_277","c1_277",147,"c1_49","RLIM(34),DKC1(21),VMA21(18),FMR1(17),RBMX2(16),CUL4B(14)",NA,0
"c1_287","c1_287",134,"c1_51","ZFP62(24),KIAA1191(21),ZNF346(19),ERGIC1(19),CLINT1(17),FAF2(16),RMND5B(13),RUFY1(13)","S3",0
"c1_291","c1_291",177,"c1_53","BUB1(25),KIFC1(21),DLGAP5(21),CENPE(16),UBE2C(15),BIRC5(15),CDCA2(15),NCAPH(14)",NA,0
"c1_292","c1_292",201,"c1_53","DHX30(52),USP19(48),QRICH1(31),DCAF1(23),WDR82(21)",NA,0
"c1_293","c1_293",141,"c1_53","CDC123(28),HSPA14(27),SEPHS1(20),ATP5F1C(19),GDI2(15)",NA,0
"c1_294","c1_294",228,"c1_54","RSAD2(31),EPSTI1(31),STAT1(29),PARP14(28),GBP1P1(23),ISG15(20),PSMB9(20),HERC6(18),APOL1(17),DDX60(16),GBP1(15),MX1(14)",NA,0
"c1_295","c1_295",111,"c1_54","SUPT16H(26),TOX4(25),CHD8(24),HECTD1(24),NGDN(21),RALGAPA1(18)",NA,0
"c1_303","c1_303",127,"c1_56","MBD1(50),SMAD4(21),SMAD2(20),ZADH2(15),CTDP1(15),CXXC1(14)",NA,0
"c1_305","c1_305",221,"c1_57","SEC24B(39),EIF4E(29),UBE2D3(26),TRAPPC11(26),CEP44(21),CFAP97(16),METTL14(16),LAMTOR3(16),CLCN3(16),ELF2(15),GRSF1(14)",NA,0
"c1_306","c1_306",221,"c1_57","BIRC6(33),CCDC88A(28),COPS3(25),VPS13C(24),KMT2A(24),ATM(24),SMG1(18),ALMS1(17),INO80D(15),NCOR1(14),DMXL2(13),USP34(13)",NA,0
"c1_329","c1_329",218,"c1_60","ZNHIT1(40),SLC37A3(33),BUD31(31),CUL1(30),SSBP1(20),ARMC10(18),COPS6(16),ZNF3(16),UBE3C(15),LAMTOR4(14)",NA,0
"c1_331","c1_331",143,"c1_61","VPS39(41),SPG11(25),CTDSPL2(25),UBR1(19),RPAP1(18),USP8(17),TRPM7(17)",NA,0
"c1_332","c1_332",192,"c1_61","ARIH1(55),INTS14(31),EFL1(22),CLPX(22),ZNF609(17),RNF111(16),IREB2(15),EDC3(14),DENND4A(14),ZNF592(13)",NA,0
"c1_338","c1_338",207,"c1_64","LINC00927(55),AC097467.4(39),ALG1L5P(27),LINC00349(26),PAEP(23),OBP2A(17),ELF5(17),AL161637.1(16),RNA5-8SP7(16),OBP2B(14),LINC00954(13),RNU6-699P(13),CDK15(13)",NA,0
"c1_339","c1_339",167,"c1_64","AL109807.1(30),MIR3663HG(27),RNU6-555P(19),RNU6-523P(18),LINC01230(18),MIR5007(16),ONECUT3(16),AC068775.1(15),FAM217A(15),AC011095.1(14),AL451054.2(13)","S4",0
"c1_341","c1_341",126,"c1_64","RNA5SP461(27),RNA5SP380(23),RNU4-15P(22),FCAMR(17),AC092754.2(17),RNA5SP167(16),MIR5692A2(15),AC114814.1(14)","S4",0
"c1_342","c1_342",106,"c1_64","RNY1P8(32),AC093084.1(32),AC097486.1(23),AC021504.1(23),LINC01323(16),RNU6-154P(15),RNU5F-8P(15)","S4",0
"c1_343","c1_343",567,"c1_65","AC092639.1(138),RPS29P9(74),RNU6-1097P(72),RPPH1-2P(39),RNU6-996P(35),RNY4P28(32),AL139415.2(27),RNU6ATAC41P(25),RNU6-500P(23),AC021146.6(23),RNA5SP486(22),RNU7-92P(20),AL589823.1(20),MTCYBP8(20),AL357080.1(19),OR7E24(18),MTND3P19(17),AL353637.1(17),SEPT14P17(17),AL590240.3(16),AL591704.1(15),RN7SL60P(15),RNU6-1007P(15),LINC01365(15),RNA5SP279(14),AC006499.8(14),RF00591(14),AL592464.2(13),AC009902.1(13),AC091912.2(13),AL589994.2(13),Z94722.1(13),AC091903.1(13),RNU6-591P(13)","S4",0
"c1_349","c1_349",110,"c1_66","LINC00452(49),AL589794.1(24),LINC00454(24),AC134698.4(18),AC007923.1(17),AL022313.1(15),BX072579.2(14),ABCA4(13)",NA,0
"c1_352","c1_352",198,"c1_67","AC069152.1(59),AC099654.1(53),RN7SL266P(45),MTCO3P4(24),RNA5SP121(21),ZNF479(18),STK33P1(18),AC099654.6(17),HMGB1P48(17)",NA,0
"c1_356","c1_356",113,"c1_68","CDC5L(22),CUL9(22),MEA1(15),NELFE(15),RXRB(15)",NA,0
