"","Var1","Freq"
"1","aNP_BY_qRP_ThanTrong_up",68
"2","aRG_BY_qRG_ThanTrong_up",113
"3","astroBYoFC5",1078
"4","AstroByothers_Zhang_Cuffdiff2FCover20",455
"5","endoBYoFC5",368
"6","EndotheByothers_Zhang_Cuffdiff2FCover20",603
"7","MacroByMicro_Zhang_Cuffdiff2FCover20",219
"8","macrophagesBYoFC5",394
"9","MicroByMacro_Zhang_Cuffdiff2FCover20",460
"10","MicroByMono_Zhang_Cuffdiff2FCover20",457
"11","microgliaBYoFC5",274
"12","MicrogliByothers_Zhang_Cuffdiff2FCover20",1162
"13","MonoByMicro_Zhang_Cuffdiff2FCover20",809
"14","monocytesBYoFC5",373
"15","myeoligoBYoFC5",85
"16","MyeOligoByothers_Zhang_Cuffdiff2FCover20",263
"17","neuronBYoFC5",653
"18","NeuronByothers_Zhang_Cuffdiff2FCover20",704
"19","newoligoBYoFC5",110
"20","NewOligoByothers_Zhang_Cuffdiff2FCover20",82
"21","npcBYnsc_Walker_FC5_",1090
"22","nscBYnpc_Walker_FC5_",824
"23","PGBCbyQGBC_Aulestia_FC5_",781
"24","PGBObyQGBO_GSE114574_Tejero_FC5_",1969
"25","PNSCbyQNSC_Ben_FC5_",613
"26","preoligoBYoFC5",25
"27","PreOligoByothers_Zhang_Cuffdiff2FCover20",116
"28","PSVZbyQSVZ_Morizur_FC5_",4324
"29","QGBCbyPGBC_Aulestia_FC5_",134
"30","QGBObyPGBO_GSE114574_Tejero_FC5_",2010
"31","qnpBYtap_Mukherjee_FC5_",1644
"32","QNSCbyPNSC_Ben_FC5_",975
"33","qRG_BY_aRG_ThanTrong_up",91
"34","qRP_BY_aNP_ThanTrong_up",262
"35","QSVZbyPSVZ_Morizur_FC5_",1525
"36","tapBYqnp_Mukherjee_FC5_",868
