"","PGBO","QGBO","No_data","No_data","GBM_cells_in_3D_organoid_culture","PGBO","QGBO","No_data","No_data","GBM_cells_in_3D_organoid_culture"
"PGBO",1,0.992367544709458,0.99812884641452,0.99812884641452,0.99812884641452,NA,0,0,0,0
"QGBO",0.992367544709458,1,0.998050880626934,0.998050880626934,0.998050880626934,0,NA,0,0,0
"No_data",0.99812884641452,0.998050880626934,1,1,1,0,0,NA,0,0
"No_data",0.99812884641452,0.998050880626934,1,1,1,0,0,0,NA,0
"GBM_cells_in_3D_organoid_culture",0.99812884641452,0.998050880626934,1,1,1,0,0,0,0,NA
