"","PGBO","QGBO","No_data","No_data","GBM_cells_in_3D_organoid_culture","PGBO","QGBO","No_data","No_data","GBM_cells_in_3D_organoid_culture"
"PGBO",1,0.987463865040526,0.99687797894843,0.99687797894843,0.99687797894843,NA,0,0,0,0
"QGBO",0.987463865040526,1,0.99684405474293,0.99684405474293,0.99684405474293,0,NA,0,0,0
"No_data",0.99687797894843,0.99684405474293,1,1,1,0,0,NA,0,0
"No_data",0.99687797894843,0.99684405474293,1,1,1,0,0,0,NA,0
"GBM_cells_in_3D_organoid_culture",0.99687797894843,0.99684405474293,1,1,1,0,0,0,0,NA
