"","PGBO","QGBO","No_data","No_data","GBM_cells_in_3D_organoid_culture"
"AC002347.1",0.946368454305924,1.31577160505905,1.13107002968249,1.13107002968249,1.13107002968249
"AC002504.1",0,0.678619615930092,0.339309807965046,0.339309807965046,0.339309807965046
"AC002524.1",5.18114717951591,5.52122344485558,5.35118531218574,5.35118531218574,5.35118531218574
"AC002540.1",0,0.49315806912692,0.24657903456346,0.24657903456346,0.24657903456346
"AC004023.1",0.266805924766202,0.639305892165518,0.45305590846586,0.45305590846586,0.45305590846586
"AC004069.1",0.597579999295461,1.08266978808216,0.840124893688812,0.840124893688812,0.840124893688812
"AC004383.1",1.68428668284666,2.06893007208111,1.87660837746389,1.87660837746389,1.87660837746389
"AC004817.4",1.56257610738854,1.90380331434012,1.73318971086433,1.73318971086433,1.73318971086433
"AC004832.6",0.195670369639356,1.12932151084859,0.662495940243974,0.662495940243974,0.662495940243974
"AC004847.1",0,0.637920497673627,0.318960248836813,0.318960248836813,0.318960248836813
"AC004890.1",2.19903785833892,2.62520225552526,2.41212005693209,2.41212005693209,2.41212005693209
"AC004941.1",0.663740058713189,1.03482313758014,0.849281598146663,0.849281598146663,0.849281598146663
"AC004990.1",0.627262607844542,0.966472989970231,0.796867798907387,0.796867798907387,0.796867798907387
"AC005261.4",0.771897229985757,1.28749081689925,1.0296940234425,1.0296940234425,1.0296940234425
"AC005332.8",0.767160019685801,1.49003538132593,1.12859770050586,1.12859770050586,1.12859770050586
"AC005393.1",2.24833869916868,2.6664704748637,2.45740458701619,2.45740458701619,2.45740458701619
"AC005479.2",0.298915865920217,0.689424400018723,0.49417013296947,0.49417013296947,0.49417013296947
"AC005695.3",0.2273328276412,0.741074758188788,0.484203792914994,0.484203792914994,0.484203792914994
"AC005696.1",1.10893285057972,1.57647153213821,1.34270219135896,1.34270219135896,1.34270219135896
"AC005696.3",0.596415053061584,0.930059847311586,0.763237450186585,0.763237450186585,0.763237450186585
"AC005740.1",0.295887037848247,0.726303167444147,0.511095102646197,0.511095102646197,0.511095102646197
"AC005906.1",0.101372087509217,0.536497040769765,0.318934564139491,0.318934564139491,0.318934564139491
"AC006033.1",0.513290063210147,1.49948011510074,1.00638508915544,1.00638508915544,1.00638508915544
"AC006058.3",2.21641644079546,2.80887617657458,2.51264630868502,2.51264630868502,2.51264630868502
"AC006238.1",1.03693457624988,1.6660137663185,1.35147417128419,1.35147417128419,1.35147417128419
"AC006946.2",0.263915081683775,0.697932376756937,0.480923729220356,0.480923729220356,0.480923729220356
"AC006960.3",1.60896444815281,2.19798389974827,1.90347417395054,1.90347417395054,1.90347417395054
"AC006963.1",0.96377095739171,1.28778170900792,1.12577633319982,1.12577633319982,1.12577633319982
"AC006967.3",0.372759915888983,0.726295056759006,0.549527486323995,0.549527486323995,0.549527486323995
"AC007029.1",0.540258929267728,0.86517942239059,0.702719175829159,0.702719175829159,0.702719175829159
"AC007318.2",1.77048746063418,2.64179455881273,2.20614100972346,2.20614100972346,2.20614100972346
"AC007622.1",0.176793021864368,0.89217476317372,0.534483892519044,0.534483892519044,0.534483892519044
"AC007663.3",1.21618539238415,1.99098169404582,1.60358354321498,1.60358354321498,1.60358354321498
"AC007849.2",0,1.28606469183956,0.643032345919781,0.643032345919781,0.643032345919781
"AC007923.2",0.31967193722743,0.651814932664588,0.485743434946009,0.485743434946009,0.485743434946009
"AC007952.5",0.0473769376401018,0.806177039953095,0.426776988796598,0.426776988796598,0.426776988796598
"AC007952.7",0.136956586402975,0.788538901374394,0.462747743888685,0.462747743888685,0.462747743888685
"AC007969.1",4.98953085108124,5.33674534757091,5.16313809932608,5.16313809932608,5.16313809932608
"AC007992.1",0,0.42785709670942,0.21392854835471,0.21392854835471,0.21392854835471
"AC008072.1",1.26443509217614,1.87502841948929,1.56973175583272,1.56973175583272,1.56973175583272
"AC008121.1",0.373955562315702,1.09059381458361,0.732274688449654,0.732274688449654,0.732274688449654
"AC008121.2",0.458936740535676,1.27859566839433,0.868766204465001,0.868766204465001,0.868766204465001
"AC008147.4",0.271047438678805,0.651912264032399,0.461479851355602,0.461479851355602,0.461479851355602
"AC008278.1",2.11466494307566,3.07872206522275,2.59669350414921,2.59669350414921,2.59669350414921
"AC008403.3",0.354132998879144,1.65175256048503,1.00294277968209,1.00294277968209,1.00294277968209
"AC008494.2",0.341644266305395,1.47453901073533,0.908091638520363,0.908091638520363,0.908091638520363
"AC008494.3",0.324004161464744,1.02730881497077,0.675656488217758,0.675656488217758,0.675656488217758
"AC008507.3",2.30248694851223,2.89376656734863,2.59812675793043,2.59812675793043,2.59812675793043
"AC008543.4",0.259031975158676,0.694404192068185,0.476718083613431,0.476718083613431,0.476718083613431
"AC008549.2",0.325167611182895,1.04697352950847,0.686070570345681,0.686070570345681,0.686070570345681
"AC008549.3",0.0500095208429532,0.44403852944195,0.247024025142452,0.247024025142452,0.247024025142452
"AC008759.2",0.515028430882306,1.34585339225059,0.930440911566449,0.930440911566449,0.930440911566449
"AC009088.1",2.04243427055771,2.51829821844034,2.28036624449902,2.28036624449902,2.28036624449902
"AC009127.2",0.245173666044863,0.658914975939645,0.452044320992254,0.452044320992254,0.452044320992254
"AC009159.4",0.6999543148328,1.12487248676319,0.912413400797993,0.912413400797993,0.912413400797993
"AC009163.6",1.26292578095411,1.68267531244439,1.47280054669925,1.47280054669925,1.47280054669925
"AC009220.1",0.448223560615925,1.04880078959989,0.748512175107909,0.748512175107909,0.748512175107909
"AC009220.3",0.914997485067144,1.29027839135784,1.10263793821249,1.10263793821249,1.10263793821249
