"","PGBO","QGBO","No_data","No_data","GBM_cells_in_3D_organoid_culture","PGBO","QGBO","No_data","No_data","GBM_cells_in_3D_organoid_culture"
"PGBO",1,0.99330890148104,0.998344708280927,0.998344708280927,0.998344708280927,NA,0,0,0,0
"QGBO",0.99330890148104,1,0.998306832573751,0.998306832573751,0.998306832573751,0,NA,0,0,0
"No_data",0.998344708280927,0.998306832573751,1,1,1,0,0,NA,0,0
"No_data",0.998344708280927,0.998306832573751,1,1,1,0,0,0,NA,0
"GBM_cells_in_3D_organoid_culture",0.998344708280927,0.998306832573751,1,1,1,0,0,0,0,NA
