"","GBM_cells_in_3D_organoid_culture"
"AAMP",4.98545961131784
"ABCB7",1.33779067965412
"ABCB9",1.9679525827502
"ABHD10",4.07832434696268
"ABRACL",2.8325916699593
"AC002056.1",2.77864016130008
"AC002451.2",1.00177826076562
"AC002504.1",0.339309807965046
"AC002524.1",5.35118531218574
"AC002540.1",0.24657903456346
"AC003005.2",0.534753387850515
"AC003092.2",0.317487996061441
"AC003101.2",0.348445928283102
"AC003986.3",1.27219012191082
"AC004023.1",0.45305590846586
"AC004069.1",0.840124893688812
"AC004080.4",0.470009435866644
"AC004112.1",1.25077385726211
"AC004130.1",1.97135604040236
"AC004233.3",0.910528248229774
"AC004264.2",1.14135643794438
"AC004383.1",1.87660837746389
"AC004477.3",3.41022097485258
"AC004801.7",1.17103399690872
"AC004817.3",1.5287390606778
"AC004817.4",1.73318971086433
"AC004832.6",0.662495940243974
"AC004847.1",0.318960248836813
"AC004890.1",2.41212005693209
"AC004910.1",0.76984698517268
"AC004941.1",0.849281598146663
"AC004947.1",0.621694317850564
"AC004982.2",0.908087954342856
"AC004990.1",0.796867798907387
"AC005005.4",1.0168875032813
"AC005261.4",1.0296940234425
"AC005332.8",1.12859770050586
"AC005393.1",2.45740458701619
"AC005410.1",0.659308608041716
"AC005479.1",0.303628944631579
"AC005479.2",0.49417013296947
"AC005578.1",0.729166791987974
"AC005592.1",1.43495165614589
"AC005618.1",0.645530382748218
"AC005695.3",0.484203792914994
"AC005696.3",0.763237450186585
"AC005703.5",1.19156788075263
"AC005736.1",0.93138968899123
"AC005740.1",0.511095102646197
"AC005899.6",1.09121225834741
"AC005899.7",1.47040376612968
"AC005906.1",0.318934564139491
"AC006023.1",0.957457775099993
"AC006033.1",1.00638508915544
"AC006058.3",2.51264630868502
"AC006238.1",1.35147417128419
"AC006378.2",0.520182266740964
"AC006449.2",0.614282347042073
"AC006466.1",0.535347824721558
"AC006547.1",1.58045610547015
"AC006946.2",0.480923729220356
"AC006946.3",0.298444828918272
"AC006960.3",1.90347417395054
"AC006967.3",0.549527486323995
"AC007029.1",0.702719175829159
"AC007036.1",0.877739803235059
"AC007215.1",0.353918073894485
"AC007318.1",4.61390813385479
"AC007318.2",2.20614100972346
"AC007386.1",0.568798172060924
"AC007450.3",1.56703027199929
"AC007568.1",0.35883587171678
"AC007622.1",0.534483892519044
"AC007638.1",0.774178754386856
"AC007663.3",1.60358354321498
"AC007785.3",0.505017284186042
"AC007849.2",0.643032345919781
"AC007923.2",0.485743434946009
"AC007952.5",0.426776988796598
"AC007952.7",0.462747743888685
"AC007969.1",5.16313809932608
"AC007992.1",0.21392854835471
"AC007998.4",2.28054177973446
"AC008066.1",0.441808671745416
"AC008072.1",1.56973175583272
"AC008115.4",1.26362339256522
"AC008121.1",0.732274688449654
"AC008121.2",0.868766204465001
"AC008147.4",0.461479851355602
"AC008154.2",0.321202128861139
"AC008267.5",2.75955582067047
"AC008278.1",2.59669350414921
"AC008403.3",1.00294277968209
"AC008443.3",0.743063168363003
"AC008494.2",0.908091638520363
"AC008494.3",0.675656488217758
"AC008507.3",2.59812675793043
"AC008543.4",0.476718083613431
"AC008549.2",0.686070570345681
"AC008549.3",0.247024025142452
"AC008736.1",0.671136437952892
"AC008738.2",0.594164568238563
"AC008759.2",0.930440911566449
"AC009005.1",2.21602695103852
"AC009053.2",0.792912177800674
"AC009088.1",2.28036624449902
"AC009108.5",1.02042618414449
"AC009127.2",0.452044320992254
"AC009159.4",0.912413400797993
"AC009220.1",0.748512175107909
"AC009220.3",1.10263793821249
"AC009275.1",0.767059657244899
"AC009336.3",0.639877803348594
"AC009432.1",0.727691542874486
"AC009533.2",0.480140108407839
"AC009779.1",1.69602389826801
"AC009831.4",0.772329696469355
"AC009908.1",1.12159457598733
"AC009967.1",2.16654120854446
"AC010139.1",0.26454022378448
"AC010168.2",1.41039208867903
"AC010205.1",0.444320038258228
"AC010207.1",0.600569978389748
"AC010271.2",0.817938940988235
"AC010326.1",0.440438486100118
"AC010327.5",0.801026555877531
"AC010329.1",0.906623538001922
"AC010401.2",1.02004516483786
"AC010424.1",1.50304298811314
"AC010468.1",1.08043117447981
"AC010595.1",0.653021982655521
"AC010631.1",0.397633086931889
"AC010733.1",2.58203347849184
"AC010904.2",0.812553366263258
"AC010969.2",3.59228660836247
"AC010980.1",0.730323595433477
"AC010980.2",3.46386155267916
"AC011008.2",0.81978378258825
"AC011374.2",1.1035954987441
"AC011416.2",0.395651596584347
"AC011453.1",1.71312069017092
"AC011458.1",0.614302826227845
"AC011468.4",1.61594739771771
"AC011495.1",2.07652737178769
"AC011592.1",0.923801200377231
"AC011773.4",1.45336285874426
"AC011816.2",0.922000591382586
"AC011912.1",0.66682734418302
"AC012150.1",0.476861268093437
"AC012313.4",2.34566575195168
"AC012313.8",1.70681893963087
"AC012414.6",0.405532271635977
"AC012441.2",2.13649681021668
"AC012508.1",1.02310562089935
"AC012603.1",0.623132594449939
"AC012629.3",0.269065161599773
"AC012640.2",3.16700586115494
"AC012640.5",0.403491859605418
"AC013244.1",0.40002710584788
"AC013410.1",0.257376322049237
"AC013448.1",0.74188782924737
"AC013452.2",1.00599020697122
"AC013476.2",0.879992645174099
"AC013553.4",0.325425909411086
"AC013726.1",0.751815683745894
"AC015660.2",0.52517755391638
"AC015726.2",0.617943109606468
"AC015813.4",2.22143844044837
"AC015818.2",2.33286351633177
"AC015819.1",0.600834023410806
"AC015910.1",0.326882531723983
"AC015911.1",0.933533020819072
"AC015911.9",1.90431141860228
"AC015912.2",0.296333170140813
"AC015983.1",0.780965957309628
"AC016397.2",0.98883061817438
"AC016405.2",0.411819238634211
"AC016717.3",0.784976847222631
"AC016739.1",2.98144202914618
"AC016745.1",1.05056349062335
"AC016745.2",1.50421825508718
"AC016876.1",3.94491485558866
"AC016877.3",0.598717326478326
"AC017079.1",0.536815226756162
"AC017104.3",2.82809019265371
"AC018475.1",0.661641067717929
"AC018521.7",1.21980180605852
"AC018553.2",0.617427552512356
"AC018558.1",0.325088095114531
"AC018638.2",3.36006104829685
"AC018641.1",0.464013858572777
"AC018648.1",1.17111801417676
"AC018695.7",0.80511933036335
"AC018755.3",0.838840961178838
"AC019103.1",0.650092894914573
"AC019109.1",0.835958580865024
"AC019129.1",0.204380242032552
"AC019131.2",1.40596682670239
"AC019193.2",0.35096324741435
"AC019322.4",3.28650765561921
"AC020558.3",1.8447013129783
"AC020604.1",0.886110408950124
"AC020656.2",0.949353524090474
"AC020661.1",0.925592159213296
"AC020899.1",0.641196801532364
"AC020904.2",0.715209948984885
"AC020917.3",3.46202699518969
"AC020928.2",0.458993177570644
"AC021016.2",1.60036062400899
"AC021072.1",0.782726509421289
"AC021087.4",0.44836079016072
"AC021106.1",1.86396779081284
"AC021106.3",1.96055117201204
"AC021151.1",0.343290638763867
"AC021491.4",1.28989568440677
"AC021739.5",0.695582825922747
"AC021755.3",0.771905463815356
"AC022075.1",2.2530303797946
"AC022098.3",0.317441388810862
"AC022167.4",0.641483385998779
"AC022167.5",0.806932422818814
"AC022417.1",1.22869671303303
"AC022432.1",1.03478105649919
"AC022483.1",0.603436635223203
"AC022743.1",0.792541964195799
"AC022762.2",1.51372530404264
"AC022893.1",1.21971534432715
"AC022968.1",1.79567460561058
"AC023141.12",0.336617376633785
"AC023141.8",0.481480946656632
"AC023157.1",0.457866777816065
"AC023424.1",0.348144355663489
"AC023424.2",0.308727966053594
"AC023538.1",0.311796607393034
"AC023796.1",1.88386291434826
"AC023983.2",1.70045956200896
"AC024257.2",0.70425281770893
"AC024560.3",2.28194190924951
"AC024587.1",0.387438959704087
"AC024896.1",3.19120098674715
"AC024940.6",1.25495978487339
"AC025035.1",0.351511621033658
"AC025166.1",0.453400323705947
"AC025175.1",1.71974193102346
"AC025254.1",0.394127357260805
"AC025259.2",1.61411421019619
"AC025262.2",0.983723638648233
"AC025459.1",0.328909195912197
"AC025754.2",0.319971036748853
"AC026403.1",6.62601659579483
"AC026410.3",3.13858017583003
"AC026412.1",0.773769057945849
