"","PGBO","QGBO","No_data","No_data","GBM_cells_in_3D_organoid_culture","PGBO","QGBO","No_data","No_data","GBM_cells_in_3D_organoid_culture"
"PGBO",1,0.993433384897458,0.9983804491426,0.9983804491426,0.9983804491426,NA,0,0,0,0
"QGBO",0.993433384897458,1,0.998333375395279,0.998333375395279,0.998333375395279,0,NA,0,0,0
"No_data",0.9983804491426,0.998333375395279,1,1,1,0,0,NA,0,0
"No_data",0.9983804491426,0.998333375395279,1,1,1,0,0,0,NA,0
"GBM_cells_in_3D_organoid_culture",0.9983804491426,0.998333375395279,1,1,1,0,0,0,0,NA
