"","PGBO","QGBO","No_data","No_data","GBM_cells_in_3D_organoid_culture","PGBO","QGBO","No_data","No_data","GBM_cells_in_3D_organoid_culture"
"PGBO",1,0.993493297428307,0.998395932887526,0.998395932887526,0.998395932887526,NA,0,0,0,0
"QGBO",0.993493297428307,1,0.998347888351772,0.998347888351772,0.998347888351772,0,NA,0,0,0
"No_data",0.998395932887526,0.998347888351772,1,1,1,0,0,NA,0,0
"No_data",0.998395932887526,0.998347888351772,1,1,1,0,0,0,NA,0
"GBM_cells_in_3D_organoid_culture",0.998395932887526,0.998347888351772,1,1,1,0,0,0,0,NA
