"","y0","y1","yhat0","yhat1","y0","y1"
"[0.518,0.631]",4,17,8.2562308149692,12.7437691850308,-4.2562308149692,4.2562308149692
"(0.631,0.653]",4,17,7.51588517222203,13.484114827778,-3.51588517222203,3.51588517222203
"(0.653,0.665]",11,10,7.17408382913476,13.8259161708652,3.82591617086524,-3.82591617086524
"(0.665,0.675]",12,9,6.91497482626365,14.0850251737363,5.08502517373635,-5.08502517373635
"(0.675,0.685]",9,12,6.71410077707299,14.285899222927,2.28589922292701,-2.28589922292701
"(0.685,0.696]",6,15,6.50055985583823,14.4994401441618,-0.500559855838233,0.500559855838233
"(0.696,0.709]",6,15,6.24458981377741,14.7554101862226,-0.244589813777408,0.244589813777408
"(0.709,0.723]",8,13,5.97434642926335,15.0256535707366,2.02565357073665,-2.02565357073665
"(0.723,0.738]",5,16,5.6502390647643,15.3497609352357,-0.6502390647643,0.6502390647643
"(0.738,0.824]",1,20,5.05498941674063,15.9450105832594,-4.05498941674063,4.05498941674063
