"","M_PSVZ_GSM2652134","M_PSVZ_GSM2652135","M_PSVZ_GSM2652136","M_QSVZ_GSM2652126","M_QSVZ_GSM2652127","M_QSVZ_GSM2652129"
"","Min.   : 2.322  ","Min.   : 2.322  ","Min.   : 2.322  ","Min.   : 2.322  ","Min.   : 2.322  ","Min.   : 2.322  "
"","1st Qu.: 2.807  ","1st Qu.: 2.807  ","1st Qu.: 2.807  ","1st Qu.: 3.907  ","1st Qu.: 3.585  ","1st Qu.: 3.644  "
"","Median : 4.129  ","Median : 4.261  ","Median : 4.059  ","Median : 6.570  ","Median : 6.549  ","Median : 6.560  "
"","Mean   : 5.026  ","Mean   : 5.059  ","Mean   : 4.917  ","Mean   : 6.615  ","Mean   : 6.565  ","Mean   : 6.522  "
"","3rd Qu.: 6.875  ","3rd Qu.: 6.929  ","3rd Qu.: 6.695  ","3rd Qu.: 8.851  ","3rd Qu.: 8.952  ","3rd Qu.: 8.843  "
"","Max.   :14.306  ","Max.   :14.029  ","Max.   :14.448  ","Max.   :14.954  ","Max.   :14.858  ","Max.   :14.858  "
