"","M_PSVZ_GSM2652134","M_PSVZ_GSM2652135","M_PSVZ_GSM2652136","M_QSVZ_GSM2652126","M_QSVZ_GSM2652127","M_QSVZ_GSM2652129"
"","Min.   : 2.322  ","Min.   : 2.322  ","Min.   : 2.322  ","Min.   : 2.322  ","Min.   : 2.322  ","Min.   : 2.322  "
"","1st Qu.: 2.585  ","1st Qu.: 2.585  ","1st Qu.: 2.585  ","1st Qu.: 2.585  ","1st Qu.: 2.585  ","1st Qu.: 2.585  "
"","Median : 2.807  ","Median : 2.807  ","Median : 2.807  ","Median : 2.807  ","Median : 2.807  ","Median : 2.807  "
"","Mean   : 4.602  ","Mean   : 4.605  ","Mean   : 4.604  ","Mean   : 4.630  ","Mean   : 4.597  ","Mean   : 4.595  "
"","3rd Qu.: 6.489  ","3rd Qu.: 6.503  ","3rd Qu.: 6.457  ","3rd Qu.: 6.562  ","3rd Qu.: 6.473  ","3rd Qu.: 6.454  "
"","Max.   :14.780  ","Max.   :14.858  ","Max.   :14.858  ","Max.   :14.954  ","Max.   :14.858  ","Max.   :14.858  "
