"","M_PSVZ_GSM2652134","M_PSVZ_GSM2652135","M_PSVZ_GSM2652136","M_QSVZ_GSM2652126","M_QSVZ_GSM2652127","M_QSVZ_GSM2652129"
"","Min.   : 2.322  ","Min.   : 2.322  ","Min.   : 2.322  ","Min.   : 2.322  ","Min.   : 2.322  ","Min.   : 2.322  "
"","1st Qu.: 2.807  ","1st Qu.: 2.807  ","1st Qu.: 2.807  ","1st Qu.: 3.907  ","1st Qu.: 3.585  ","1st Qu.: 3.644  "
"","Median : 4.129  ","Median : 4.261  ","Median : 4.059  ","Median : 6.575  ","Median : 6.534  ","Median : 6.542  "
"","Mean   : 5.023  ","Mean   : 5.057  ","Mean   : 4.916  ","Mean   : 6.618  ","Mean   : 6.563  ","Mean   : 6.521  "
"","3rd Qu.: 6.872  ","3rd Qu.: 6.929  ","3rd Qu.: 6.695  ","3rd Qu.: 8.856  ","3rd Qu.: 8.955  ","3rd Qu.: 8.843  "
"","Max.   :14.306  ","Max.   :14.029  ","Max.   :14.448  ","Max.   :14.954  ","Max.   :14.858  ","Max.   :14.858  "
