"","M_PSVZ_GSM2652134","M_PSVZ_GSM2652135","M_PSVZ_GSM2652136","M_QSVZ_GSM2652126","M_QSVZ_GSM2652127","M_QSVZ_GSM2652129"
"","Min.   : 2.322  ","Min.   : 2.322  ","Min.   : 2.322  ","Min.   : 2.322  ","Min.   : 2.322  ","Min.   : 2.322  "
"","1st Qu.: 2.807  ","1st Qu.: 2.807  ","1st Qu.: 2.807  ","1st Qu.: 4.261  ","1st Qu.: 3.970  ","1st Qu.: 3.874  "
"","Median : 4.129  ","Median : 4.261  ","Median : 4.059  ","Median : 6.777  ","Median : 6.753  ","Median : 6.748  "
"","Mean   : 5.058  ","Mean   : 5.081  ","Mean   : 4.938  ","Mean   : 6.776  ","Mean   : 6.712  ","Mean   : 6.663  "
"","3rd Qu.: 6.950  ","3rd Qu.: 6.964  ","3rd Qu.: 6.726  ","3rd Qu.: 8.954  ","3rd Qu.: 9.014  ","3rd Qu.: 8.957  "
"","Max.   :14.306  ","Max.   :14.029  ","Max.   :14.448  ","Max.   :14.954  ","Max.   :14.858  ","Max.   :14.858  "
