"","NPC_SRR1997857","NPC_SRR1997858","NPC_SRR1997859","NPC_SRR1997860","NSC_SRR1997853","NSC_SRR1997854","NSC_SRR1997855","NSC_SRR1997856"
"","Min.   : 0.0000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  "
"","1st Qu.: 0.1492  ","1st Qu.: 1.155  ","1st Qu.: 1.082  ","1st Qu.: 1.092  ","1st Qu.: 1.902  ","1st Qu.: 1.828  ","1st Qu.: 1.653  ","1st Qu.: 1.693  "
"","Median : 1.0774  ","Median : 2.302  ","Median : 2.210  ","Median : 2.273  ","Median : 3.218  ","Median : 3.127  ","Median : 2.936  ","Median : 2.912  "
"","Mean   : 1.8228  ","Mean   : 2.636  ","Mean   : 2.594  ","Mean   : 2.646  ","Mean   : 3.525  ","Mean   : 3.452  ","Mean   : 3.270  ","Mean   : 3.291  "
"","3rd Qu.: 2.9180  ","3rd Qu.: 3.738  ","3rd Qu.: 3.726  ","3rd Qu.: 3.827  ","3rd Qu.: 4.802  ","3rd Qu.: 4.664  ","3rd Qu.: 4.525  ","3rd Qu.: 4.582  "
"","Max.   :14.7244  ","Max.   :13.922  ","Max.   :13.923  ","Max.   :13.782  ","Max.   :14.993  ","Max.   :15.145  ","Max.   :14.792  ","Max.   :14.672  "
