"","NPC_SRR1997857","NPC_SRR1997858","NPC_SRR1997859","NPC_SRR1997860","NSC_SRR1997853","NSC_SRR1997854","NSC_SRR1997855","NSC_SRR1997856"
"","Min.   : 0.0000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  "
"","1st Qu.: 0.1499  ","1st Qu.: 1.156  ","1st Qu.: 1.086  ","1st Qu.: 1.094  ","1st Qu.: 1.933  ","1st Qu.: 1.863  ","1st Qu.: 1.676  ","1st Qu.: 1.716  "
"","Median : 1.0883  ","Median : 2.316  ","Median : 2.226  ","Median : 2.297  ","Median : 3.250  ","Median : 3.166  ","Median : 2.956  ","Median : 2.935  "
"","Mean   : 1.8330  ","Mean   : 2.648  ","Mean   : 2.608  ","Mean   : 2.659  ","Mean   : 3.548  ","Mean   : 3.478  ","Mean   : 3.289  ","Mean   : 3.310  "
"","3rd Qu.: 2.9432  ","3rd Qu.: 3.754  ","3rd Qu.: 3.743  ","3rd Qu.: 3.842  ","3rd Qu.: 4.824  ","3rd Qu.: 4.689  ","3rd Qu.: 4.548  ","3rd Qu.: 4.601  "
"","Max.   :14.7244  ","Max.   :13.922  ","Max.   :13.923  ","Max.   :13.782  ","Max.   :14.993  ","Max.   :15.145  ","Max.   :14.792  ","Max.   :14.672  "
