"","NPC_SRR1997857","NPC_SRR1997858","NPC_SRR1997859","NPC_SRR1997860","NSC_SRR1997853","NSC_SRR1997854","NSC_SRR1997855","NSC_SRR1997856"
"","Min.   : 0.0000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  "
"","1st Qu.: 0.6786  ","1st Qu.: 1.668  ","1st Qu.: 1.589  ","1st Qu.: 1.591  ","1st Qu.: 1.459  ","1st Qu.: 1.220  ","1st Qu.: 1.283  ","1st Qu.: 1.324  "
"","Median : 2.0987  ","Median : 2.798  ","Median : 2.750  ","Median : 2.726  ","Median : 2.779  ","Median : 2.492  ","Median : 2.553  ","Median : 2.595  "
"","Mean   : 2.6581  ","Mean   : 3.222  ","Mean   : 3.200  ","Mean   : 3.179  ","Mean   : 3.169  ","Mean   : 2.924  ","Mean   : 2.991  ","Mean   : 3.030  "
"","3rd Qu.: 3.9971  ","3rd Qu.: 4.359  ","3rd Qu.: 4.371  ","3rd Qu.: 4.371  ","3rd Qu.: 4.467  ","3rd Qu.: 4.152  ","3rd Qu.: 4.249  ","3rd Qu.: 4.303  "
"","Max.   :14.8983  ","Max.   :16.043  ","Max.   :15.948  ","Max.   :15.989  ","Max.   :15.578  ","Max.   :15.589  ","Max.   :15.637  ","Max.   :15.736  "
