"","meanx","meany","FC","logFC","Contrast"
"C77190",5.00000000000002,114.666666666667,22.9333333333333,4.51937415909358,"QSVZbyPSVZ"
"C78692",11.4444444444445,261.888888888889,22.883495145631,4.51623551606695,"QSVZbyPSVZ"
"Nipal2",5.00000000000002,114.277777777778,22.8555555555555,4.51447298219525,"QSVZbyPSVZ"
"Cideb",14.1111111111111,321.722222222222,22.7992125984252,4.51091209471759,"QSVZbyPSVZ"
"Csgalnact1",12.5,282.833333333333,22.6266666666667,4.49995215904678,"QSVZbyPSVZ"
"Ptgds",498.944444444444,11256.6111111111,22.560850684779,4.49574956225056,"QSVZbyPSVZ"
"Pde8b",18,404.63888888889,22.479938271605,4.49056616890832,"QSVZbyPSVZ"
"2010300C02Rik",5.33333333333334,119.777777777778,22.4583333333333,4.48917896203135,"QSVZbyPSVZ"
"Ago4",5.00000000000002,112.166666666666,22.4333333333332,4.48757209900179,"QSVZbyPSVZ"
"Folh1",6.05555555555556,135.777777777778,22.4220183486238,4.4868442450418,"QSVZbyPSVZ"
"Rasl10b",13.3055555555555,298.194444444444,22.4112734864301,4.48615272500996,"QSVZbyPSVZ"
"Fam228b",11.1111111111111,248.944444444444,22.405,4.48574882137778,"QSVZbyPSVZ"
"Padi2",38.5,860.194444444442,22.3427128427128,4.48173246276376,"QSVZbyPSVZ"
"Tmem176b",71.0555555555555,1586.58333333332,22.3287724784987,4.48083203624658,"QSVZbyPSVZ"
"Tmie",17.6666666666667,393.888888888887,22.2955974842766,4.47868695684252,"QSVZbyPSVZ"
"Robo1",46.8888888888889,1042.11111111111,22.2251184834124,4.47411920505493,"QSVZbyPSVZ"
"Otud7a",10.7222222222222,238.166666666666,22.2124352331606,4.47329566454889,"QSVZbyPSVZ"
"Ggt7",5.99999999999998,132.833333333334,22.138888888889,4.46851091254817,"QSVZbyPSVZ"
"Gucy1a3",11.2222222222222,248.111111111111,22.1089108910891,4.46655605307068,"QSVZbyPSVZ"
"Gjb6",110.888888888889,2439.94444444439,22.0035070140276,4.45966157993356,"QSVZbyPSVZ"
"5830407P18Rik",16.7222222222222,367.472222222222,21.9750830564784,4.45779671304071,"QSVZbyPSVZ"
"Fam20c",17.5,383.833333333333,21.9333333333333,4.45505317812672,"QSVZbyPSVZ"
"Hnmt",31.9444444444445,698.527777777785,21.8669565217394,4.4506805326241,"QSVZbyPSVZ"
"Swap70",54,1178.05555555554,21.8158436213988,4.44730435887799,"QSVZbyPSVZ"
"Fbxo2",42.5555555555556,926.888888888891,21.780678851175,4.44497701496427,"QSVZbyPSVZ"
"Cdh20",11.5555555555556,251.333333333333,21.7499999999999,4.44294349584872,"QSVZbyPSVZ"
"Wfs1",125.055555555555,2711.22222222222,21.6801421590404,4.43830231151781,"QSVZbyPSVZ"
"Lrrc28",5.00000000000002,108.333333333333,21.6666666666666,4.43740531230729,"QSVZbyPSVZ"
"Acer3",14.7222222222222,318.722222222222,21.6490566037736,4.43623225320141,"QSVZbyPSVZ"
"Wdr75",4.33333333333333,93.7222222222224,21.6282051282052,4.43484203942532,"QSVZbyPSVZ"
"Ficd",19.6111111111111,422.888888888888,21.5637393767705,4.43053547300284,"QSVZbyPSVZ"
"Osbpl1a",31,667.833333333334,21.5430107526882,4.42914798332277,"QSVZbyPSVZ"
"Camk2b",5.00000000000002,107.666666666667,21.5333333333333,4.4284997590854,"QSVZbyPSVZ"
"Sdhaf2",18.8888888888889,405.305555555556,21.4573529411765,4.42340020573554,"QSVZbyPSVZ"
"Ak1",9.61111111111111,204.888888888889,21.3179190751445,4.41399471279261,"QSVZbyPSVZ"
"Fn3k",8.55555555555557,182.222222222223,21.2987012987013,4.41269355881055,"QSVZbyPSVZ"
"Sqrdl",8.55555555555554,182.138888888889,21.2889610389611,4.41203363882913,"QSVZbyPSVZ"
"Cpeb4",143.722222222222,3042.05555555554,21.1662156938538,4.4036914479484,"QSVZbyPSVZ"
"Tfcp2l1",5.00000000000002,105.277777777778,21.0555555555555,4.39612903672877,"QSVZbyPSVZ"
"Nupr1",14.7777777777778,310.666666666667,21.0225563909774,4.39386620987425,"QSVZbyPSVZ"
"Rcan2",34.4444444444444,723.666666666669,21.0096774193549,4.39298210606207,"QSVZbyPSVZ"
"Tnfaip8",5.00000000000002,104.972222222222,20.9944444444444,4.39193570693028,"QSVZbyPSVZ"
"Itih5",6.66666666666668,139.777777777778,20.9666666666666,4.39002561127077,"QSVZbyPSVZ"
"6430573F11Rik",5.33333333333334,111.611111111111,20.9270833333333,4.38729934801213,"QSVZbyPSVZ"
"Slc24a3",7.83333333333334,163.666666666666,20.8936170212766,4.38499036263705,"QSVZbyPSVZ"
"Pgbd5",3.99999999999999,83.4444444444445,20.8611111111112,4.38274409607196,"QSVZbyPSVZ"
"Hspb8",7.8888888888889,164.5,20.8521126760563,4.38212165567287,"QSVZbyPSVZ"
"Zfp651",20.7777777777778,433.166666666666,20.8475935828877,4.38180895930572,"QSVZbyPSVZ"
"Cyr61",48.2222222222223,1002.83333333333,20.7960829493087,4.37823990970653,"QSVZbyPSVZ"
"Esam",5.00000000000002,103.944444444444,20.7888888888888,4.3777407469111,"QSVZbyPSVZ"
"Pde10a",13.6111111111111,282.777777777777,20.7755102040816,4.37681200196048,"QSVZbyPSVZ"
"Tubb4a",194.222222222222,4021.22222222218,20.7042334096108,4.37185388167498,"QSVZbyPSVZ"
"Daam2",63.1666666666666,1307.72222222224,20.7027264731754,4.37174887277168,"QSVZbyPSVZ"
"Tgfb2",14,289.722222222222,20.6944444444444,4.37117161390721,"QSVZbyPSVZ"
"Tril",339.333333333333,7010.13888888882,20.6585625409297,4.36866796732749,"QSVZbyPSVZ"
"Fam171a1",90.0555555555557,1860.38888888888,20.6582356570017,4.36864513913932,"QSVZbyPSVZ"
"Pfkp",65.2222222222221,1346.69444444442,20.6477853492331,4.3679151435044,"QSVZbyPSVZ"
"BC023202",9.66666666666667,199.5,20.6379310344827,4.36722644181592,"QSVZbyPSVZ"
"Agtrap",11.8888888888889,244.666666666667,20.5794392523364,4.36313176716322,"QSVZbyPSVZ"
"Srxn1",8.27777777777778,169.333333333333,20.4563758389261,4.35447866703116,"QSVZbyPSVZ"
"Acsbg1",150.055555555556,3069.00000000002,20.4524250277676,4.35420000739984,"QSVZbyPSVZ"
"Stoml1",11.8333333333333,241.722222222221,20.4272300469483,4.35242168131469,"QSVZbyPSVZ"
"Gm2115",5.33333333333334,108.666666666667,20.375,4.34872815423108,"QSVZbyPSVZ"
"Fam19a5",8.94444444444443,182.222222222222,20.3726708074534,4.34856322139083,"QSVZbyPSVZ"
"Brinp3",8.44444444444446,171.555555555555,20.3157894736841,4.34452952382449,"QSVZbyPSVZ"
"Slc41a1",27.2222222222222,552.666666666655,20.3020408163261,4.3435528532143,"QSVZbyPSVZ"
"Gm6658",5.66666666666666,114.75,20.25,4.33985000288462,"QSVZbyPSVZ"
"Abcb1a",5.33333333333334,107.75,20.203125,4.33650655981025,"QSVZbyPSVZ"
"Lgals2",6.33333333333332,127.111111111111,20.0701754385965,4.32698132261365,"QSVZbyPSVZ"
"Slc38a3",218.555555555556,4379.77777777769,20.0396542958816,4.32478571569997,"QSVZbyPSVZ"
"LOC102636806",5.66666666666666,113.5,20.0294117647059,4.32404814676173,"QSVZbyPSVZ"
"Rbm20",5.00000000000002,99.8333333333334,19.9666666666666,4.31952159718026,"QSVZbyPSVZ"
"Ctso",80.3333333333333,1589.72222222226,19.7890733056713,4.30663214948525,"QSVZbyPSVZ"
"Cftr",5.99999999999998,118.555555555556,19.7592592592593,4.30445695866096,"QSVZbyPSVZ"
"1700111E14Rik",5.00000000000002,98.7777777777776,19.7555555555555,4.30418651250009,"QSVZbyPSVZ"
"Per3",11.4444444444444,226.055555555556,19.7524271844661,4.3039580378905,"QSVZbyPSVZ"
"AA409368",5.00000000000002,98.6666666666667,19.7333333333333,4.30256277002043,"QSVZbyPSVZ"
"Sult1a1",8.00000000000001,157.694444444445,19.7118055555556,4.30098802483256,"QSVZbyPSVZ"
