"","DEG_edgeRnames","DEG_Limmanames","DEG_Simplenames"
"DEG_edgeRnames",0,0.00230415842007272,3.48152226888383e-131
"DEG_Limmanames",0.00230415842007272,0,1
"DEG_Simplenames",3.48152226888392e-131,1,6.7317472282589e-222
