"","Sample_Name","MsGroup_Name","Treatment","Age","Study","Gender","Tissue","cell_state","source_name"
"5","NPC_SRR1997857","NPC_1","NPC",8,"GSE68270","No_data","dentate_gyrus","proliferative","Neural_progenitor_cells_LPA1GFP"
"6","NPC_SRR1997858","NPC_2","NPC",8,"GSE68270","No_data","dentate_gyrus","proliferative","Neural_progenitor_cells_LPA1GFP"
"7","NPC_SRR1997859","NPC_3","NPC",8,"GSE68270","No_data","dentate_gyrus","proliferative","Neural_progenitor_cells_LPA1GFP"
"8","NPC_SRR1997860","NPC_4","NPC",8,"GSE68270","No_data","dentate_gyrus","proliferative","Neural_progenitor_cells_LPA1GFP"
"1","NSC_SRR1997853","NSC_1","NSC",8,"GSE68270","No_data","dentate_gyrus","quiescent","Neural_stem_cells_LPA1GFP"
"2","NSC_SRR1997854","NSC_2","NSC",8,"GSE68270","No_data","dentate_gyrus","quiescent","Neural_stem_cells_LPA1GFP"
"3","NSC_SRR1997855","NSC_3","NSC",8,"GSE68270","No_data","dentate_gyrus","quiescent","Neural_stem_cells_LPA1GFP"
"4","NSC_SRR1997856","NSC_4","NSC",8,"GSE68270","No_data","dentate_gyrus","quiescent","Neural_stem_cells_LPA1GFP"
