"","PGBC_SRR5196886","PGBC_SRR5196887","PGBC_SRR5196888","PGBC_SRR5196889","PGBC_SRR5196890","PGBC_SRR5196891","PGBC_SRR5196892","PGBC_SRR5196893","PGBC_SRR5196898","QGBC_SRR5196894","QGBC_SRR5196895","QGBC_SRR5196896","QGBC_SRR5196897","QGBC_SRR5196899","QGBC_SRR5196900"
"","Min.   : 0.000  ","Min.   : 0.0000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  "
"","1st Qu.: 1.047  ","1st Qu.: 0.7678  ","1st Qu.: 1.861  ","1st Qu.: 1.768  ","1st Qu.: 1.198  ","1st Qu.: 1.144  ","1st Qu.: 0.9562  ","1st Qu.: 0.6983  ","1st Qu.: 0.9939  ","1st Qu.: 0.6247  ","1st Qu.: 0.692  ","1st Qu.: 0.7073  ","1st Qu.: 0.6022  ","1st Qu.: 0.8458  ","1st Qu.: 0.7148  "
"","Median : 2.705  ","Median : 2.3172  ","Median : 3.402  ","Median : 3.319  ","Median : 2.689  ","Median : 2.811  ","Median : 2.6156  ","Median : 2.2969  ","Median : 2.7614  ","Median : 1.9842  ","Median : 2.031  ","Median : 2.0730  ","Median : 1.9024  ","Median : 2.3015  ","Median : 2.2723  "
"","Mean   : 2.988  ","Mean   : 2.6344  ","Mean   : 3.588  ","Mean   : 3.520  ","Mean   : 3.008  ","Mean   : 3.065  ","Mean   : 2.8973  ","Mean   : 2.6298  ","Mean   : 2.9940  ","Mean   : 2.3564  ","Mean   : 2.373  ","Mean   : 2.4226  ","Mean   : 2.2909  ","Mean   : 2.6231  ","Mean   : 2.6704  "
"","3rd Qu.: 4.579  ","3rd Qu.: 4.0511  ","3rd Qu.: 5.040  ","3rd Qu.: 5.002  ","3rd Qu.: 4.482  ","3rd Qu.: 4.613  ","3rd Qu.: 4.4548  ","3rd Qu.: 4.0904  ","3rd Qu.: 4.5972  ","3rd Qu.: 3.7025  ","3rd Qu.: 3.684  ","3rd Qu.: 3.7855  ","3rd Qu.: 3.5635  ","3rd Qu.: 4.0273  ","3rd Qu.: 4.2222  "
"","Max.   :13.615  ","Max.   :13.7965  ","Max.   :13.582  ","Max.   :13.449  ","Max.   :13.178  ","Max.   :14.291  ","Max.   :12.6914  ","Max.   :12.6725  ","Max.   :12.6221  ","Max.   :12.4353  ","Max.   :11.977  ","Max.   :12.1017  ","Max.   :13.8878  ","Max.   :12.3634  ","Max.   :12.1041  "
