"","PGBC_SRR5196886","PGBC_SRR5196887","PGBC_SRR5196888","PGBC_SRR5196889","PGBC_SRR5196890","PGBC_SRR5196891","PGBC_SRR5196892","PGBC_SRR5196893","PGBC_SRR5196898","QGBC_SRR5196894","QGBC_SRR5196895","QGBC_SRR5196896","QGBC_SRR5196897","QGBC_SRR5196899","QGBC_SRR5196900"
"","Min.   : 0.000  ","Min.   : 0.0000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.0000  ","Min.   : 0.000  ","Min.   : 0.0000  ","Min.   : 0.000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  "
"","1st Qu.: 1.060  ","1st Qu.: 0.7828  ","1st Qu.: 1.883  ","1st Qu.: 1.794  ","1st Qu.: 1.221  ","1st Qu.: 1.168  ","1st Qu.: 0.973  ","1st Qu.: 0.7112  ","1st Qu.: 1.017  ","1st Qu.: 0.6294  ","1st Qu.: 0.697  ","1st Qu.: 0.7123  ","1st Qu.: 0.6093  ","1st Qu.: 0.8516  ","1st Qu.: 0.7188  "
"","Median : 2.743  ","Median : 2.3451  ","Median : 3.435  ","Median : 3.354  ","Median : 2.729  ","Median : 2.844  ","Median : 2.652  ","Median : 2.3274  ","Median : 2.794  ","Median : 2.0170  ","Median : 2.055  ","Median : 2.0930  ","Median : 1.9320  ","Median : 2.3306  ","Median : 2.2998  "
"","Mean   : 3.009  ","Mean   : 2.6536  ","Mean   : 3.613  ","Mean   : 3.545  ","Mean   : 3.030  ","Mean   : 3.088  ","Mean   : 2.918  ","Mean   : 2.6497  ","Mean   : 3.015  ","Mean   : 2.3724  ","Mean   : 2.389  ","Mean   : 2.4383  ","Mean   : 2.3066  ","Mean   : 2.6408  ","Mean   : 2.6875  "
"","3rd Qu.: 4.609  ","3rd Qu.: 4.0716  ","3rd Qu.: 5.063  ","3rd Qu.: 5.028  ","3rd Qu.: 4.510  ","3rd Qu.: 4.638  ","3rd Qu.: 4.477  ","3rd Qu.: 4.1212  ","3rd Qu.: 4.627  ","3rd Qu.: 3.7248  ","3rd Qu.: 3.706  ","3rd Qu.: 3.8089  ","3rd Qu.: 3.5988  ","3rd Qu.: 4.0423  ","3rd Qu.: 4.2420  "
"","Max.   :13.615  ","Max.   :13.7965  ","Max.   :13.582  ","Max.   :13.449  ","Max.   :13.178  ","Max.   :14.291  ","Max.   :12.691  ","Max.   :12.6725  ","Max.   :12.622  ","Max.   :12.4353  ","Max.   :11.977  ","Max.   :12.1017  ","Max.   :13.8878  ","Max.   :12.3634  ","Max.   :12.1041  "
