"","PGBC_SRR5196886","PGBC_SRR5196887","PGBC_SRR5196888","PGBC_SRR5196889","PGBC_SRR5196890","PGBC_SRR5196891","PGBC_SRR5196892","PGBC_SRR5196893","PGBC_SRR5196898","QGBC_SRR5196894","QGBC_SRR5196895","QGBC_SRR5196896","QGBC_SRR5196897","QGBC_SRR5196899","QGBC_SRR5196900"
"","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.0000  ","Min.   : 0.000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.000  ","Min.   : 0.0000  "
"","1st Qu.: 1.401  ","1st Qu.: 1.079  ","1st Qu.: 2.370  ","1st Qu.: 2.253  ","1st Qu.: 1.706  ","1st Qu.: 1.638  ","1st Qu.: 1.287  ","1st Qu.: 0.9616  ","1st Qu.: 1.329  ","1st Qu.: 0.7089  ","1st Qu.: 0.8406  ","1st Qu.: 0.7977  ","1st Qu.: 0.7293  ","1st Qu.: 1.042  ","1st Qu.: 0.8482  "
"","Median : 3.227  ","Median : 2.719  ","Median : 3.837  ","Median : 3.781  ","Median : 3.214  ","Median : 3.344  ","Median : 3.091  ","Median : 2.7243  ","Median : 3.237  ","Median : 2.3192  ","Median : 2.3593  ","Median : 2.4027  ","Median : 2.2231  ","Median : 2.680  ","Median : 2.7153  "
"","Mean   : 3.315  ","Mean   : 2.920  ","Mean   : 3.968  ","Mean   : 3.907  ","Mean   : 3.413  ","Mean   : 3.462  ","Mean   : 3.209  ","Mean   : 2.9190  ","Mean   : 3.304  ","Mean   : 2.5565  ","Mean   : 2.5888  ","Mean   : 2.6199  ","Mean   : 2.4987  ","Mean   : 2.853  ","Mean   : 2.9322  "
"","3rd Qu.: 4.922  ","3rd Qu.: 4.408  ","3rd Qu.: 5.367  ","3rd Qu.: 5.316  ","3rd Qu.: 4.867  ","3rd Qu.: 4.956  ","3rd Qu.: 4.787  ","3rd Qu.: 4.4473  ","3rd Qu.: 4.937  ","3rd Qu.: 3.9753  ","3rd Qu.: 3.9418  ","3rd Qu.: 4.0310  ","3rd Qu.: 3.8510  ","3rd Qu.: 4.304  ","3rd Qu.: 4.5265  "
"","Max.   :13.615  ","Max.   :13.797  ","Max.   :13.582  ","Max.   :13.449  ","Max.   :13.178  ","Max.   :14.291  ","Max.   :12.691  ","Max.   :12.6725  ","Max.   :12.622  ","Max.   :12.4353  ","Max.   :11.9773  ","Max.   :12.1017  ","Max.   :13.8878  ","Max.   :12.363  ","Max.   :12.1041  "
