"","PGBC_SRR5196886","PGBC_SRR5196887","PGBC_SRR5196888","PGBC_SRR5196889","PGBC_SRR5196890","PGBC_SRR5196891","PGBC_SRR5196892","PGBC_SRR5196893","PGBC_SRR5196898","QGBC_SRR5196894","QGBC_SRR5196895","QGBC_SRR5196896","QGBC_SRR5196897","QGBC_SRR5196899","QGBC_SRR5196900"
"","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  "
"","1st Qu.: 0.7292  ","1st Qu.: 0.6639  ","1st Qu.: 0.6857  ","1st Qu.: 0.6276  ","1st Qu.: 0.2309  ","1st Qu.: 0.1477  ","1st Qu.: 0.8076  ","1st Qu.: 0.6587  ","1st Qu.: 0.830  ","1st Qu.: 1.351  ","1st Qu.: 1.076  ","1st Qu.: 1.490  ","1st Qu.: 1.081  ","1st Qu.: 1.324  ","1st Qu.: 1.077  "
"","Median : 1.5713  ","Median : 1.4792  ","Median : 1.5863  ","Median : 1.5450  ","Median : 1.0279  ","Median : 0.8367  ","Median : 1.7165  ","Median : 1.4917  ","Median : 1.871  ","Median : 2.324  ","Median : 1.948  ","Median : 2.528  ","Median : 2.036  ","Median : 2.303  ","Median : 2.136  "
"","Mean   : 2.1268  ","Mean   : 1.9978  ","Mean   : 2.0818  ","Mean   : 2.0464  ","Mean   : 1.6532  ","Mean   : 1.5451  ","Mean   : 2.2410  ","Mean   : 2.0457  ","Mean   : 2.350  ","Mean   : 2.760  ","Mean   : 2.393  ","Mean   : 2.958  ","Mean   : 2.479  ","Mean   : 2.768  ","Mean   : 2.675  "
"","3rd Qu.: 3.1617  ","3rd Qu.: 2.8725  ","3rd Qu.: 3.0402  ","3rd Qu.: 2.9531  ","3rd Qu.: 2.4271  ","3rd Qu.: 2.3105  ","3rd Qu.: 3.2764  ","3rd Qu.: 2.9586  ","3rd Qu.: 3.409  ","3rd Qu.: 3.780  ","3rd Qu.: 3.298  ","3rd Qu.: 4.029  ","3rd Qu.: 3.440  ","3rd Qu.: 3.787  ","3rd Qu.: 3.804  "
"","Max.   :15.6581  ","Max.   :15.9826  ","Max.   :14.9955  ","Max.   :15.2481  ","Max.   :15.4623  ","Max.   :15.4019  ","Max.   :15.8808  ","Max.   :16.0101  ","Max.   :15.597  ","Max.   :16.182  ","Max.   :16.188  ","Max.   :16.122  ","Max.   :16.024  ","Max.   :15.853  ","Max.   :15.841  "
