"","PGBC_SRR5196886","PGBC_SRR5196887","PGBC_SRR5196888","PGBC_SRR5196889","PGBC_SRR5196890","PGBC_SRR5196891","PGBC_SRR5196892","PGBC_SRR5196893","PGBC_SRR5196898","QGBC_SRR5196894","QGBC_SRR5196895","QGBC_SRR5196896","QGBC_SRR5196897","QGBC_SRR5196899","QGBC_SRR5196900"
"","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  "
"","1st Qu.: 0.7346  ","1st Qu.: 0.6697  ","1st Qu.: 0.6883  ","1st Qu.: 0.6362  ","1st Qu.: 0.229  ","1st Qu.: 0.1451  ","1st Qu.: 0.8274  ","1st Qu.: 0.6649  ","1st Qu.: 0.8452  ","1st Qu.: 1.381  ","1st Qu.: 1.105  ","1st Qu.: 1.519  ","1st Qu.: 1.098  ","1st Qu.: 1.351  ","1st Qu.: 1.090  "
"","Median : 1.6022  ","Median : 1.5064  ","Median : 1.6056  ","Median : 1.5651  ","Median : 1.035  ","Median : 0.8397  ","Median : 1.7503  ","Median : 1.5331  ","Median : 1.9097  ","Median : 2.368  ","Median : 1.982  ","Median : 2.572  ","Median : 2.067  ","Median : 2.335  ","Median : 2.176  "
"","Mean   : 2.1517  ","Mean   : 2.0220  ","Mean   : 2.1025  ","Mean   : 2.0678  ","Mean   : 1.667  ","Mean   : 1.5603  ","Mean   : 2.2682  ","Mean   : 2.0703  ","Mean   : 2.3766  ","Mean   : 2.797  ","Mean   : 2.423  ","Mean   : 2.996  ","Mean   : 2.511  ","Mean   : 2.803  ","Mean   : 2.707  "
"","3rd Qu.: 3.1849  ","3rd Qu.: 2.9141  ","3rd Qu.: 3.0855  ","3rd Qu.: 2.9952  ","3rd Qu.: 2.453  ","3rd Qu.: 2.3452  ","3rd Qu.: 3.3160  ","3rd Qu.: 2.9753  ","3rd Qu.: 3.4569  ","3rd Qu.: 3.829  ","3rd Qu.: 3.331  ","3rd Qu.: 4.043  ","3rd Qu.: 3.478  ","3rd Qu.: 3.845  ","3rd Qu.: 3.841  "
"","Max.   :15.6581  ","Max.   :15.9826  ","Max.   :14.9955  ","Max.   :15.2481  ","Max.   :15.462  ","Max.   :15.4019  ","Max.   :15.8808  ","Max.   :16.0101  ","Max.   :15.5970  ","Max.   :16.182  ","Max.   :16.188  ","Max.   :16.122  ","Max.   :16.024  ","Max.   :15.853  ","Max.   :15.841  "
